Nome: SAO SIMAO
Codigo Estacao: A011
Latitude: -18.969142
Longitude: -50.633449
Altitude: 492.45
Situacao: Operante
Data Inicial: 2006-07-14
Data Final: 2023-10-11
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2006-07-31;1;null;null;22,86849;7,6;null;
2006-08-31;3;15,6;959,094163;24,461667;10;3,448809;
2006-09-30;8;51,4;958,343636;24,184129;9,4;3,243359;
2006-10-31;19;110,8;955,683333;25,175806;9,8;2,991398;
2006-11-30;15;150,4;954,78256;25,247899;9,1;2,716244;
2006-12-31;23;221,8;955,255835;24,886001;11,6;2,761359;
2007-01-31;26;524;955,269086;24,845699;9,4;2,667339;
2007-02-28;17;182;955,299139;25,540722;9,9;2,525653;
2007-03-31;10;131,2;956,924853;26,043145;7,2;2,413294;
2007-04-30;3;34,4;957,466389;25,849444;8;2,439306;
2007-05-31;2;41,4;959,198128;22,263424;9,4;2,777609;
2007-06-30;0;0;960,694819;22,389807;6,8;2,925749;
2007-07-31;6;28;960,146334;21,444587;10,4;3,076479;
2007-08-31;0;0;960,146575;23,168531;9,2;3,63684;
2007-09-30;1;,6;958,546389;27,067361;9,3;3,944444;
2007-10-31;10;116,4;955,597476;27,205037;9,3;2,976689;
2007-11-30;17;64,4;954,500399;25,479136;9,1;2,63837;
2007-12-31;20;135,8;954,500403;25,226613;9,4;2,740591;
2008-01-31;25;392;954,588575;24,325269;8,4;2,724328;
2008-02-29;22;268,6;955,88056;23,916848;9,1;2,298651;
2008-03-31;13;90;955,776852;24,381327;6,1;1,98642;
2008-04-30;17;104,2;955,718194;24,020556;10,2;2,007083;
2008-05-31;4;13;959,475637;21,171312;8,2;2,216702;
2008-06-30;1;,2;960,465139;21,954028;7,2;2,590972;
2008-07-31;null;0;961,270639;22,238032;7,9;3,331515;
2008-08-31;2;null;null;null;9,3;null;
2008-09-30;null;null;null;null;8,4;null;
2008-10-31;8;null;null;null;8,5;null;
2008-11-30;16;179,8;954,707886;25,24212;9,6;2,832325;
2008-12-31;13;189,2;953,758199;25,317742;10,3;2,61828;
2009-01-31;21;199,2;955,577969;24,700123;7,9;2,426186;
2009-02-28;19;213,2;955,565436;24,985362;8,5;2,208604;
2009-03-31;19;188,6;955,363575;25,173387;7;1,567339;
2009-04-30;4;3,8;957,486389;24,131944;7;1,230139;
2009-05-31;3;20;958,652425;22,956452;9,2;2,033602;
2009-06-30;7;24,4;960,699306;20,331806;7,9;2,181111;
2009-07-31;2;7;959,904973;22,49664;10,6;2,362366;
2009-08-31;6;14,2;959,300538;23,018414;9,4;3,090457;
2009-09-30;13;125,2;957,964722;24,855833;11,6;2,256528;
2009-10-31;14;113,4;955,228017;24,921983;10,1;1,965805;
2009-11-30;18;238,2;954,485139;25,74;10,4;1,980417;
2009-12-31;25;283;954,890054;24,581048;8,8;1,982796;
2010-01-31;24;352,8;955,913062;24,850794;10,1;1,877676;
2010-02-28;17;88;955,953869;25,794494;8,7;1,770685;
2010-03-31;13;227,4;955,444489;25,736828;8,9;1,638038;
2010-04-30;3;65,4;957,970278;24,312778;6,2;1,564583;
2010-05-31;5;10;958,777688;21,690726;7;1,467742;
2010-06-30;3;6,4;961,278611;21,483472;7,7;2,11375;
2010-07-31;1;2,4;960,761425;22,591398;7,9;2,911425;
2010-08-31;null;0;960,345127;23,258931;9,3;2,997814;
2010-09-30;4;16,6;956,950833;26,288889;10,3;3,536389;
2010-10-31;12;133,8;955,785484;25,481452;11,9;2,463038;
2010-11-30;12;207,2;954,041944;24,848889;11;2,219167;
2010-12-31;21;293,4;952,818011;25,028226;9,7;1,675403;
2011-01-31;19;217,8;953,871237;24,908468;7,8;1,746102;
2011-02-28;15;140;955,565923;24,945089;7,6;1,673065;
2011-03-31;21;441,8;954,716897;23,963988;8,6;1,959646;
2011-04-30;6;43,6;957,279445;24,285139;7,1;1,898056;
2011-05-31;1;7,8;959,288978;21,871505;6,8;1,256452;
2011-06-30;1;25,8;959,897778;20,805972;9,8;2,29125;
2011-07-31;0;0;959,745833;22,538575;10,4;2,914382;
2011-08-31;1;4,6;959,087769;23,907796;9,5;3,00914;
2011-09-30;3;16,6;958,73375;25,866528;10,7;3,032639;
2011-10-31;14;211;955,384677;24,865054;13,2;3,130107;
2011-11-30;6;154,4;954,997083;24,825417;7,8;2,378611;
2011-12-31;17;169;954,298656;25,127419;9,7;2,032258;
2012-01-31;null;null;955,159961;24,558226;8,1;2,087051;
2012-02-29;9;18,4;956,116954;25,20704;9,6;2,005891;
2012-03-31;23;35,8;956,858737;25,05914;7,2;1,52164;
2012-04-30;13;17,6;956,914028;24,623056;6,8;1,581944;
2012-05-31;9;8,6;959,718194;21,450379;6,5;1,718683;
2012-06-30;1;null;null;null;8,3;null;
2012-07-31;null;null;null;null;7,6;null;
2012-08-31;null;0;961,758294;23,349282;8,8;3,382262;
2012-09-30;5;76,8;958,714306;26,1975;9,8;2,984861;
2012-10-31;5;30,8;955,322715;27,727419;8,3;2,714516;
2012-11-30;14;148,2;953,794722;25,985972;9,6;2,346111;
2012-12-31;14;153,6;954,926344;26,439651;8;2,376613;
2013-01-31;25;245,8;955,236156;25,047312;7,3;2,317339;
2013-02-28;12;48,6;956,278125;24,798214;7,2;2,114732;
2013-03-31;null;null;956,429972;24,991236;9,2;2,179806;
2013-04-30;null;null;958,262222;23,219167;8,5;1,882778;
2013-05-31;3;11,2;958,874866;23,179436;7,5;2,326882;
2013-06-30;5;25,8;959,758851;22,810795;9,9;2,268194;
2013-07-31;2;,8;961,566193;20,946856;7,8;2,56205;
2013-08-31;0;0;960,166935;22,27621;8,4;3,03414;
2013-09-30;5;13;958,322917;25,146806;8,3;3,02375;
2013-10-31;12;44,4;956,750538;25,779032;12;2,502016;
2013-11-30;null;null;954,810972;25,767778;9,4;2,426944;
2013-12-31;null;null;953,578629;25,718145;9,5;1,995027;
2014-01-31;null;null;957,145699;25,596909;7,9;1,843279;
2014-02-28;11;132;956,048066;25,494494;7,8;2,242113;
2014-03-31;18;201;956,775134;24,654973;7,9;1,881586;
2014-04-30;8;69,2;957,678194;24,735139;6,8;1,520556;
2014-05-31;2;2,2;959,123656;21,915323;5,7;1,745565;
