Nome: GOIAS
Codigo Estacao: A014
Latitude: -15.93972221
Longitude: -50.14138888
Altitude: 512.86
Situacao: Operante
Data Inicial: 2007-07-17
Data Final: 2023-10-11
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2007-07-31;2;null;null;null;null;null;
2007-08-31;0;0;956,287494;26,251537;5,9;1,938517;
2007-09-30;0;0;955,062222;29,1875;7,1;2,011111;
2007-10-31;10;75;952,527285;28,165054;7;1,523521;
2007-11-30;12;null;951,459667;26,3265;9,2;1,361833;
2007-12-31;25;218,6;952,42957;24,929704;6,3;1,175134;
2008-01-31;25;347;952,639516;24,405914;5,9;1,176613;
2008-02-29;22;319,2;953,445115;24,453571;5,9;1,048707;
2008-03-31;26;230,2;953,31772;24,319988;5,4;1,023289;
2008-04-30;17;167,8;952,749861;24,882222;7,8;,936111;
2008-05-31;1;12,2;955,561507;24,287249;4,9;1,066322;
2008-06-30;0;0;956,878611;23,665694;6,8;1,140556;
2008-07-31;0;0;957,736694;23,877823;6,8;1,50457;
2008-08-31;1;,6;954,873118;26,563306;7,6;1,652419;
2008-09-30;8;38,4;954,326389;27,783194;7,6;1,726667;
2008-10-31;14;77;953,502419;27,740323;8,3;1,596505;
2008-11-30;20;225,6;952,212083;25,45;7;1,212917;
2008-12-31;24;459,2;951,982661;24,312903;5,9;1,155242;
2009-01-31;21;289;953,307544;25,025567;5,9;1,202969;
2009-02-28;23;276,6;953,222082;24,714182;7;1,074625;
2009-03-31;24;69,8;952,812634;25,318817;5;1,088307;
2009-04-30;28;9,8;954,433056;24,451806;5,3;,980695;
2009-05-31;9;4,8;955,516667;24,010753;4,7;1,0125;
2009-06-30;2;16,4;956,97875;23,194861;6,3;1,192639;
2009-07-31;1;,6;956,60914;24,530242;6,6;1,375403;
2009-08-31;3;27,8;955,729032;25,974462;7,7;1,808602;
2009-09-30;11;103,2;954,814444;27,317083;5,4;1,237917;
2009-10-31;18;258,4;952,629885;25,368534;6,5;1,243247;
2009-11-30;21;249,4;952,453611;25,357361;5,8;1,131667;
2009-12-31;21;557,4;953,144758;24,425134;6,1;1,220565;
2010-01-31;25;73,2;953,561214;25,618472;5;1,179147;
2010-02-28;18;158,6;953,354911;26,165625;6,6;1,273809;
2010-03-31;25;167,8;953,36828;25,629435;7,9;1,276344;
2010-04-30;4;85,2;954,472222;25,809028;5,7;1,259306;
2010-05-31;0;0;954,898949;25,171285;6,2;1,266569;
2010-06-30;1;3,8;957,529722;24,423056;5,6;1,354028;
2010-07-31;1;2,8;957,090726;25,494624;6,9;2,008065;
2010-08-31;0;0;956,53989;26,245372;7,3;1,678249;
2010-09-30;1;1,4;953,553194;29,909583;8,4;2,257778;
2010-10-31;13;154,6;952,60121;27,212366;6,2;1,311559;
2010-11-30;9;112,4;951,958194;25,053056;5,6;1,159583;
2010-12-31;null;null;950,81586;25,140457;6,7;1,127285;
2011-01-31;null;null;951,899866;24,379436;6,3;,981989;
2011-02-28;13;89,4;953,144643;24,835565;5;,954167;
2011-03-31;26;406,4;952,662522;24,081136;5,3;1,051063;
2011-04-30;6;71,4;954,130278;25,504861;5,7;1,230556;
2011-05-31;0;0;955,231317;24,783468;6,5;1,121505;
2011-06-30;2;36;956,426981;23,334263;5,7;1,051419;
2011-07-31;0;0;956,404301;24,244489;6,3;1,255107;
2011-08-31;0;0;955,527688;27,079301;6,6;1,635081;
2011-09-30;2;7,4;955,081667;28,462083;6,8;1,838056;
2011-10-31;12;null;952,750144;25,87996;7,3;1,390129;
2011-11-30;7;null;null;null;4,4;null;
2011-12-31;17;null;null;23,793542;7,4;null;
2012-01-31;28;670,4;953,553091;23,688306;6,9;1,135215;
2012-02-29;15;null;null;24,091667;5,9;null;
2012-03-31;16;151,6;953,944881;25,540667;6,5;1,017356;
2012-04-30;7;70,2;953,791069;26,23538;6;,951075;
2012-05-31;2;11,6;955,89609;24,632533;5,2;1,081925;
2012-06-30;4;44,4;956,740139;24,822222;5,8;1,048611;
2012-07-31;0;0;956,889078;24,537237;5,9;1,390025;
2012-08-31;null;0;957,85616;25,982041;6,7;2,264373;
2012-09-30;4;13,8;955,4275;28,31875;8,1;1,692639;
2012-10-31;8;23,6;952,549684;28,771914;8;1,532679;
2012-11-30;26;289,8;952,11;24,757083;5,8;1,247917;
2012-12-31;19;149,2;952,588341;26,001385;5,8;1,021003;
2013-01-31;25;393;953,411828;24,303226;6,1;1,16828;
2013-02-28;20;123,2;953,462539;25,416;4,9;1,025492;
2013-03-31;22;135,6;953,770803;25,778361;6,5;,94971;
2013-04-30;10;98,4;954,920556;25,095278;6,2;,840833;
2013-05-31;2;31,4;955,600976;24,950123;5,6;,85277;
2013-06-30;5;9,4;956,482295;24,409041;6,6;1,091926;
2013-07-31;0;0;957,466515;24,392456;6,8;1,578839;
2013-08-31;0;0;956,094758;26,003091;6,7;1,861694;
2013-09-30;4;27,8;954,733611;27,720556;7,9;1,83625;
2013-10-31;13;143,4;953,767777;26,650088;7;1,452063;
2013-11-30;23;238;952,495266;24,78064;7,2;1,117023;
2013-12-31;27;308,8;952,052016;24,604167;7,1;1,303091;
2014-01-31;23;228,2;954,498521;24,905511;6,3;,825672;
2014-02-28;21;174,4;953,535268;24,729613;6,5;,982738;
2014-03-31;22;289,8;954,165237;24,78403;7,3;1,087097;
2014-04-30;16;76,8;954,679861;25,32375;5,9;1,125417;
2014-05-31;1;,8;955,465311;24,736431;6,3;,832679;
2014-06-30;2;1,2;956,836667;24,164583;6,7;1,022639;
2014-07-31;1;,6;958,569489;24,548387;6,2;1,334812;
2014-08-31;0;0;956,640054;26,765323;8;1,585081;
2014-09-30;6;39,2;954,452953;28,484378;6,8;1,695912;
2014-10-31;7;73,6;953,809093;28,404494;6,9;1,480844;
2014-11-30;17;254,4;953,007222;25,40875;7,7;1,086944;
2014-12-31;25;244;953,747703;24,640679;5,6;1,130318;
2015-01-31;23;156,8;954,585963;26,086612;9,3;,787769;
2015-02-28;20;459,8;954,32872;24,858333;6;1,14881;
2015-03-31;25;208,8;954,343809;24,611455;6,6;1,048485;
2015-04-30;15;80;954,64683;25,251389;5,3;,807639;
2015-05-31;7;74,8;956,268548;24,416801;7,1;,8625;
2015-06-30;0;0;958,021944;24,382778;6,4;1,188056;
2015-07-31;2;2,6;957,42379;24,459274;6,6;,959543;
2015-08-31;1;4,6;956,370565;26,308064;6,3;1,230108;
2015-09-30;2;26,4;953,752989;29,032566;6,4;1,326854;
2015-10-31;5;66,6;953,300941;29,428495;7,4;1,157392;
2015-11-30;12;82;952,515835;27,507952;6,2;,977395;
2015-12-31;18;127;954,196189;26,643335;7,9;1,153205;
2016-01-31;24;430,4;953,100392;24,51154;5,4;1,153833;
2016-02-29;19;127,2;954,475112;26,101168;6,5;,684108;
2016-03-31;14;161,2;955,065656;26,234017;5,2;,579926;
2016-04-30;null;null;954,482937;27,369109;5,1;,939812;
2016-05-31;2;1,4;956,44947;26,753139;6,7;,990161;
2016-06-30;0;0;958,05875;24,781806;5,8;1,139444;
2016-07-31;0;0;957,311694;25,273925;7;1,043548;
2016-08-31;5;43,4;956,043145;26,696505;6,3;1,197849;
2016-09-30;5;65,6;954,877361;28,435139;7,2;1,026667;
2016-10-31;15;115;953,23078;26,811425;8,1;1,011022;
2016-11-30;24;203;952,7325;25,461667;5,2;,933333;
2016-12-31;15;12,4;953,30457;25,754839;6,8;,988844;
2017-01-31;19;196,6;953,793683;25,702285;6;,871774;
2017-02-28;24;254,8;953,763988;24,731696;6,5;,994643;
2017-03-31;20;288,8;953,979435;25,516532;6,1;,819355;
2017-04-30;13;96,4;954,449716;25,828138;6,6;,738948;
2017-05-31;null;null;null;null;5,2;null;
2017-06-30;null;null;957,466146;24,346007;5,8;,999826;
2017-07-31;0;0;960,011559;23,331048;7,4;,817339;
2017-08-31;0;0;955,6;27,147715;7,4;,983199;
2017-09-30;5;8,6;955,669028;28,888056;7,8;1,838333;
2017-10-31;5;55,4;952,562769;29,470027;6,9;1,04086;
2017-11-30;19;229,6;952,315933;25,603879;7,2;,797063;
2017-12-31;24;309,8;952,824059;24,64879;5,2;1,11465;
2018-01-31;23;244;953,561097;24,945167;8;,947791;
2018-02-28;19;175,6;953,076385;25,040787;6,6;1,033793;
2018-03-31;17;139,6;953,544624;25,428629;4,9;,649462;
2018-04-30;13;64,6;955,440417;25,014722;0;0;
2018-05-31;1;11,4;956,595699;24,577823;0;0;
2018-06-30;0;0;957,72026;24,299028;0;0;
2018-07-31;0;0;957,530774;24,4714;,1;,000134;
2018-08-31;3;7,2;956,526075;27,224059;,1;,000269;
2018-09-30;7;23,6;953,589028;28,153611;0;0;
2018-10-31;21;140,8;953,16648;26,7625;0;0;
2018-11-30;21;233,8;953,05;24,724722;0;0;
2018-12-31;22;377,8;954,154751;25,296248;,1;,000134;
2019-01-31;22;207,6;955,193151;25,969355;0;0;
2019-02-28;19;183,8;954,052462;25,382156;0;0;
2019-03-31;13;null;null;25,469591;4,6;null;
2019-04-30;17;131;954,707886;25,290556;4,5;,922361;
2019-05-31;5;6,4;955,245833;25,673387;4,3;1,0125;
2019-06-30;0;0;958,047639;24,538611;6,1;1,502639;
2019-07-31;null;0;957,641982;23,799195;7,2;1,496035;
2019-08-31;null;null;null;27,199621;8,2;null;
2019-09-30;null;null;null;30,566898;6,2;null;
2019-10-31;12;72;952,896811;28,159415;7;1,513577;
2019-11-30;13;null;null;26,541717;4,9;null;
2019-12-31;18;175,6;953,010484;26,168817;6,2;1,239604;
2020-01-31;24;602,2;953,263844;25,435618;7,8;1,432527;
2020-02-29;23;534,4;954,254098;25,108396;7,8;1,074694;
2020-03-31;21;334,2;954,036571;25,193011;5,4;,882124;
2020-04-30;12;125;955,498841;25,274813;5,3;,989354;
2020-05-31;1;2;956,944355;23,685887;5,4;,99328;
2020-06-30;0;0;957,327361;24,04;6,7;1,307639;
2020-07-31;0;0;957,089534;24,357907;6,3;1,420477;
2020-08-31;0;0;956,335461;26,132983;6,7;1,754745;
2020-09-30;3;3,2;954,549444;29,319028;7,6;1,855556;
2020-10-31;11;282,8;952,754301;28,107392;7;1,461559;
2020-11-30;12;196;953,145972;26,261667;7,1;1,26125;
2020-12-31;16;220;953,061805;25,792917;6,6;1,073333;
2021-01-31;12;229,8;953,227222;25,747361;8,2;,799167;
2021-02-28;22;309;952,768452;24,55878;6,9;,858333;
2021-03-31;16;232;954,130994;24,46611;5,3;,798585;
2021-04-30;6;118,2;954,415809;24,992198;7;,903303;
2021-05-31;1;19;956,34287;24,64993;5,2;,821681;
2021-06-30;0;0;956,946957;24,057259;6;,950054;
2021-07-31;0;0;958,34304;23,321704;5,9;1,145115;
2021-08-31;1;1;956,37794;27,210612;8,2;1,649141;
2021-09-30;2;24,2;953,981063;29,431075;6,4;1,311498;
2021-10-31;13;208,6;953,233571;27,315995;7,4;1,387736;
2021-11-30;23;383;952,537173;24,940742;5,1;,961063;
2021-12-31;23;263,2;951,564469;25,432129;6,1;1,104424;
2022-01-31;22;448;953,122587;24,946149;6,8;1,156083;
2022-02-28;25;346,4;953,536012;24,645607;5,7;,840832;
2022-03-31;16;97,2;953,641508;25,467839;5,7;,854538;
2022-04-30;2;,8;953,971117;26,597419;7;,90434;
2022-05-31;0;0;956,433579;23,854574;6,2;,995765;
2022-06-30;0;0;956,251461;24,326341;6,8;1,108074;
2022-07-31;0;0;957,103141;24,49251;6;1,285107;
2022-08-31;0;0;956,028606;26,734672;6,8;1,709964;
2022-09-30;4;18,8;954,20718;28,627554;8,1;1,665254;
2022-10-31;12;96;953,250982;27,574199;7;1,521616;
2022-11-30;15;283;952,778871;25,299469;7,2;1,466993;
2022-12-31;25;466;952,461875;24,131247;6,7;,985823;
2023-01-31;23;328;954,061758;24,13608;7,3;1,006037;
2023-02-28;18;null;954,139769;25,672685;5,7;,755312;
2023-03-31;18;175;954,607796;24,873387;8;,637903;
2023-04-30;9;72,2;954,138056;25,555833;6,3;,799583;
2023-05-31;0;0;956,160887;24,935349;5,9;,831183;
2023-06-30;0;0;957,821695;24,028448;4,6;,818247;
2023-07-31;0;0;957,750707;24,940322;6,6;1,072177;
2023-08-31;1;,4;955,654765;27,255513;6,6;1,163371;
2023-09-30;8;46,6;954,103823;29,410664;8,1;1,51436;
2023-10-31;4;null;null;null;null;null;

