Nome: ITAPACI
Codigo Estacao: A015
Latitude: -14.97972221
Longitude: -49.53944444
Altitude: 551
Situacao: Operante
Data Inicial: 2007-02-02
Data Final: 2023-10-11
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2007-02-28;20;null;950,029715;23,880718;5,8;1,334719;
2007-03-31;10;58,4;950,715515;25,028237;7,8;1,255067;
2007-04-30;9;48,8;951,030459;24,769656;7,5;1,130091;
2007-05-31;4;12;951,977618;23,054751;5,4;1,244396;
2007-06-30;null;0;953,9524;21,345665;5,2;1,179938;
2007-07-31;1;null;953,453395;22,161859;5,3;1,316843;
2007-08-31;0;0;953,208199;22,146611;7,6;1,464592;
2007-09-30;5;10,8;952,03;25,727222;6;1,560833;
2007-10-31;13;159,2;949,340457;26,675538;12,9;1,593011;
2007-11-30;11;null;948,2525;25,821167;8,4;1,733833;
2007-12-31;26;273,4;949,221727;24,615726;7,6;1,459672;
2008-01-31;20;310,4;949,410618;24,266936;8,1;1,36707;
2008-02-29;21;218,4;950,2125;24,07247;7;1,299569;
2008-03-31;20;225,2;950,037233;23,631273;6;1,14468;
2008-04-30;15;95,8;949,480695;24,16;6,8;1,053333;
2008-05-31;2;18,8;952,173375;22,645424;5,3;1,058088;
2008-06-30;null;null;null;null;5,4;null;
2008-07-31;null;null;null;null;null;null;
2008-08-31;null;null;null;null;null;null;
2008-09-30;7;null;null;null;8,1;null;
2008-10-31;14;60,2;950,150672;27,092339;9,2;1,814919;
2008-11-30;22;202,6;948,999722;25,247639;7,8;1,624028;
2008-12-31;24;94,8;948,860081;24,237634;6,2;1,451613;
2009-01-31;21;317,4;950,074562;24,882796;7,7;1,362821;
