Nome: POSSE
Codigo Estacao: A017
Latitude: -14.08916666
Longitude: -46.36638888
Altitude: 830
Situacao: Operante
Data Inicial: 2007-04-17
Data Final: 2023-10-11
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2007-04-30;null;null;null;null;null;null;
2007-05-31;3;18,2;922,011159;24,549257;6,2;2,453752;
2007-06-30;null;0;924,121053;22,874987;6,3;2,611067;
2007-07-31;0;0;923,4799;23,604167;6,9;2,752884;
2007-08-31;1;,4;923,774486;23,33771;7,3;3,234286;
2007-09-30;1;,2;922,996944;25,667083;8,3;3,490417;
2007-10-31;4;43,8;919,859005;27,181855;6,8;2,733602;
2007-11-30;13;null;918,211667;25,524833;5,9;2,002667;
2007-12-31;17;197,8;919,35672;24,294624;6;2,093952;
2008-01-31;17;177,4;919,395565;24,289651;6,9;2,001882;
2008-02-29;21;175;920,183305;23,417857;7,6;1,785;
2008-03-31;18;199,8;920,036809;23,155737;6;1,835776;
2008-04-30;13;143,6;919,624167;23,914167;5,8;1,631528;
2008-05-31;1;5,2;922,029956;23,504763;5,5;2,11551;
2008-06-30;0;0;923,674583;22,56625;7;2,664444;
2008-07-31;0;0;924,64207;21,966935;6,6;2,719892;
2008-08-31;1;,2;922,360215;24,35457;7,1;2,862366;
2008-09-30;5;24,4;921,646667;26,281944;7,3;2,706667;
2008-10-31;4;29,4;920,656048;27,526075;7,6;2,981452;
2008-11-30;18;318,6;919,269722;24,103611;6,9;2,047917;
2008-12-31;25;268,6;919,207258;23,04422;5,1;2,013038;
2009-01-31;15;168,8;920,25121;24,415726;6,5;2,080242;
2009-02-28;15;154,2;919,907887;24,304911;7,1;1,811012;
2009-03-31;16;157,4;919,499217;24,710425;6,3;1,541351;
2009-04-30;19;234,4;921,204861;23,069306;6,3;1,791806;
2009-05-31;5;84,8;922,376309;22,591263;5,2;2,00672;
