Nome: GURUPI
Codigo Estacao: A019
Latitude: -11.74499999
Longitude: -49.05166666
Altitude: 274
Situacao: Operante
Data Inicial: 2006-12-19
Data Final: 2023-10-11
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2006-12-31;null;null;null;null;null;null;
2007-01-31;9;null;null;null;null;null;
2007-02-28;24;283,2;979,581696;24,647173;7,6;1,569048;
2007-03-31;11;141,4;979,303495;25,702823;7,4;1,393952;
2007-04-30;9;19;979,59625;26,234861;5,6;1,239444;
2007-05-31;0;0;980,085138;25,923385;7,9;1,640412;
2007-06-30;null;0;982,143729;23,94434;8,2;1,729731;
2007-07-31;1;,2;981,541447;24,445992;9,5;1,697336;
2007-08-31;0;0;981,159543;24,922605;9,1;1,954509;
2007-09-30;1;16;980,359028;26,912778;9,8;2,027917;
2007-10-31;7;148,2;977,882527;28,085484;8,4;1,85793;
2007-11-30;15;null;977,278167;26,087167;7,9;1,639;
2007-12-31;17;237,8;978,080914;25,682124;7,1;1,465591;
2008-01-31;14;193,8;978,347177;25,362634;7,6;1,295968;
2008-02-29;22;303,2;979,391351;24,787351;9;1,407931;
2008-03-31;18;245,8;979,168364;24,603549;10,9;1,24892;
2008-04-30;21;164,4;978,342639;25,128889;7,8;1,101667;
2008-05-31;0;0;980,410671;24,591474;6,4;1,212997;
2008-06-30;0;0;981,974861;23,125694;7,3;1,606806;
2008-07-31;0;0;982,810081;22,725134;8,1;1,761559;
2008-08-31;1;17,4;979,977823;25,301075;8;1,607661;
2008-09-30;6;200,6;979,299167;27,899722;7,9;1,636806;
2008-10-31;7;26,4;978,595833;28,324731;10,4;1,968011;
2008-11-30;17;257,2;977,98936;26,121588;6,4;1,587675;
2008-12-31;23;213,4;978,176344;25,216129;8;1,692339;
2009-01-31;15;174,8;979,042876;25,976478;7,3;1,436559;
2009-02-28;21;316,4;978,89375;24,915476;7,5;1,294494;
2009-03-31;15;201,6;978,435402;25,805376;5,9;1,206837;
2009-04-30;19;189,2;979,963195;25,265278;6,2;1,121944;
2009-05-31;13;84,2;980,91828;24,436425;5,6;1,198387;
2009-06-30;3;1,4;981,984167;24,121528;6,2;1,301111;
2009-07-31;0;0;981,861156;23,995968;7,8;1,427823;
2009-08-31;1;,4;980,715591;26,137366;7,7;1,628226;
2009-09-30;10;77;979,86125;27,747778;10,5;1,241389;
2009-10-31;18;226,8;978,347845;25,866954;7,1;1,338506;
2009-11-30;16;134,6;977,906805;26,359028;8,4;1,457917;
2009-12-31;23;360,8;979,079032;25,336828;6,7;1,26129;
2010-01-31;18;191;979,20325;25,918463;5,9;1,199866;
2010-02-28;15;75,8;978,708036;26,361012;7,1;1,088691;
2010-03-31;18;82,8;979,106548;26,443452;5,9;1,106399;
2010-04-30;null;null;null;null;null;null;
2010-05-31;2;1,6;979,593952;26,647177;4,3;,929167;
2010-06-30;0;0;982,312778;24,231667;5,5;,999861;
2010-07-31;0;0;982,152419;24,204032;5,7;1,345833;
2010-08-31;null;0;981,574167;24,809632;6,3;1,209541;
2010-09-30;2;2,6;979,044861;27,121806;6,6;1,334444;
2010-10-31;10;153,8;978,075269;27,763844;9,7;1,329973;
2010-11-30;20;271,4;977,561389;25,891667;7,6;1,224306;
2010-12-31;21;220,4;976,759946;25,691263;6,7;1,105376;
2011-01-31;27;309,6;977,945833;24,69086;6,6;,989785;
2011-02-28;16;269;978,924851;24,829316;9,8;,875893;
2011-03-31;23;299,8;978,567086;25,054028;5,5;,90937;
2011-04-30;18;146,4;979,404028;25,688194;5,3;,797361;
2011-05-31;10;117;980,037097;25,073656;5,9;,855645;
2011-06-30;2;9,8;981,340278;23,9875;4,8;,977639;
2011-07-31;0;0;981,458064;23,620161;6,9;1,169489;
2011-08-31;0;0;980,610215;25,915323;6,8;1,251081;
2011-09-30;0;0;980,211389;26,972639;6,1;1,284444;
2011-10-31;16;222,4;977,965995;26,370161;6,8;1,496774;
2011-11-30;22;210,4;978,584028;25,021667;6,2;1,160556;
2011-12-31;17;192,4;978,415995;25,605914;6,9;1,134274;
2012-01-31;27;355,8;979,419624;24,428629;8,7;1,037366;
2012-02-29;19;196,8;979,108477;24,940948;7,1;1,015086;
2012-03-31;18;193;979,325134;25,431989;6,4;,839113;
2012-04-30;7;69,2;978,882083;26,509028;6,6;,797639;
2012-05-31;2;18,8;980,616936;25,354032;5;1,054435;
2012-06-30;2;7,6;981,586111;25,06;6,2;,996528;
2012-07-31;0;0;981,665188;23,995833;6;1,191129;
2012-08-31;null;0;982,668971;24,247222;6,6;1,4226;
2012-09-30;2;6,8;980,519445;27,750278;6,3;1,369722;
2012-10-31;6;45,4;978,007527;28,375672;8,8;1,57043;
2012-11-30;16;197,6;978,193472;26,198194;6,5;1,198472;
2012-12-31;15;119,8;978,016398;26,305645;7;1,127016;
2013-01-31;25;408,6;979,51707;25,410215;5,6;1,260349;
2013-02-28;13;206,6;978,607143;26,039434;6,7;1,083631;
2013-03-31;17;226,6;979,331083;25,914943;6,1;1,092306;
2013-04-30;12;124,8;980,030139;26,153333;4,3;,957083;
2013-05-31;4;24;980,53172;25,662903;4,4;,953091;
2013-06-30;2;2;981,303548;25,275543;5,6;1,188308;
2013-07-31;0;0;982,003898;25,065188;6;1,34086;
2013-08-31;0;0;980,623387;26,198925;6,5;1,442607;
2013-09-30;6;19,4;979,580972;28,133889;6,7;1,578333;
2013-10-31;11;76;979,007258;28,184946;7,2;1,630511;
2013-11-30;19;154,2;977,950694;26,129583;7,1;1,342917;
2013-12-31;26;455,2;978,410081;25,125941;7,1;1,407527;
2014-01-31;22;177,4;979,885484;25,316398;7,5;1,149731;
2014-02-28;17;298,4;979,032589;25,232887;5,4;1,141518;
2014-03-31;20;212,8;979,685215;25,432661;6,1;,961828;
2014-04-30;15;93,6;980,064861;25,796667;6,1;1,027639;
2014-05-31;3;28,4;980,365054;26,115054;5,7;,964919;
2014-06-30;0;0;981,718194;24,698472;5,8;1,127917;
2014-07-31;0;0;983,390457;24,675269;5,8;1,403898;
2014-08-31;0;0;981,725538;25,847984;6;1,372178;
2014-09-30;8;60,8;979,845695;28,000833;8,4;1,447639;
2014-10-31;10;164,2;979,348925;27,263307;6,3;1,415323;
2014-11-30;16;277;978,554028;26,410833;5,6;1,1425;
2014-12-31;18;199;979,378629;25,884812;5,5;1,289382;
2015-01-31;20;80,8;980,117987;26,162909;5,9;1,120074;
2015-02-28;20;129,4;980,125149;25,542113;6,1;1,204762;
2015-03-31;22;169,2;979,882994;25,31375;6,2;1,03716;
2015-04-30;20;235,6;980,154167;25,626111;7,3;,989722;
2015-05-31;9;50,2;981,234946;25,447446;5,3;1,033602;
2015-06-30;2;,4;982,814445;24,455972;5,2;1,178056;
2015-07-31;0;0;982,3375;24,666801;5,4;1,243548;
2015-08-31;0;0;981,320833;25,537097;6,2;1,293414;
2015-09-30;4;6,8;978,966111;28,873889;6,9;1,113611;
2015-10-31;4;1,8;978,623118;29,486962;6,4;1,266801;
2015-11-30;12;200,2;978,010417;27,923472;6,2;1,249583;
2015-12-31;10;59,2;979,375;28,193683;6,5;1,25914;
2016-01-31;13;null;null;null;7,1;null;
2016-02-29;8;29;979,516379;27,716523;4,7;1,037644;
2016-03-31;20;213,8;980,337903;26,862231;6,7;,928226;
2016-04-30;6;28,6;979,42625;27,091528;7,7;,935972;
2016-05-31;0;0;981,175672;26,680242;5,2;,928763;
2016-06-30;1;,2;982,825972;25,5375;5,5;1,142639;
2016-07-31;0;0;982,227957;24,890323;6,1;1,235081;
2016-08-31;0;0;980,877823;26,901747;6,1;1,264113;
2016-09-30;6;25,2;980,075278;28,254722;6,4;1,3225;
2016-10-31;8;66;978,423375;28,059076;7,3;1,541252;
2016-11-30;10;213,8;977,829028;27,6675;6,1;1,343472;
2016-12-31;18;174;978,751344;26,532124;7,5;1,337903;
2017-01-31;18;245,4;979,301613;26,001882;6,2;1,168548;
2017-02-28;19;341,2;979,624554;24,966071;6,9;1,196429;
2017-03-31;15;287,8;979,452285;26,02043;8,3;1,021505;
2017-04-30;15;149,8;979,727361;26,507639;5,2;,933889;
2017-05-31;2;null;null;26,274123;5,5;null;
2017-06-30;0;0;981,894167;24,701111;5,6;1,108056;
