Nome: GOIANESIA
Codigo Estacao: A022
Latitude: -15.22027777
Longitude: -48.98999999
Altitude: 667.01
Situacao: Operante
Data Inicial: 2007-06-01
Data Final: 2023-10-11
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2007-06-30;null;null;940,807735;null;6;1,372696;
2007-07-31;null;null;null;null;7,6;null;
2007-08-31;null;null;940,530257;null;7,5;null;
2007-09-30;null;null;null;null;7;null;
2007-10-31;null;null;null;null;11,3;null;
2007-11-30;6;null;null;null;7,2;null;
2007-12-31;22;321,8;936,186425;23,94207;6,5;1,326747;
2008-01-31;23;313;936,328763;23,56371;8,5;1,354973;
2008-02-29;21;258;937,087831;23,435876;7,6;1,2002;
2008-03-31;16;237,4;936,916358;23,352006;5;1,289198;
2008-04-30;10;89,8;936,449444;23,832083;6,3;1,18;
2008-05-31;0;0;939,134175;23,06198;4,7;1,1956;
2008-06-30;0;0;940,640417;22,37125;5,5;1,230417;
2008-07-31;null;null;null;null;null;null;
2008-08-31;null;null;null;null;null;null;
2008-09-30;4;null;null;null;6,9;null;
2008-10-31;8;26;937,279973;27,288844;11,6;1,953629;
2008-11-30;21;372,8;935,972361;24,388575;6,8;1,674444;
2008-12-31;25;313,8;935,824462;23,349194;6;1,374731;
2009-01-31;19;235,2;937,04699;24,244267;5,6;1,372972;
2009-02-28;21;171,8;936,858915;24,047078;6,5;1,271077;
2009-03-31;13;126,2;936,462231;24,520564;7,7;1,228629;
2009-04-30;18;184,8;938,083889;23,398194;5,1;1,140417;
2009-05-31;3;7;939,269355;22,915188;5,4;1,11828;
2009-06-30;1;52,6;940,570833;22,009028;7,8;1,167361;
2009-07-31;0;0;940,452419;23,096774;5,5;1,271102;
2009-08-31;3;31,8;939,726882;24,143145;5,6;1,682124;
2009-09-30;6;63,4;938,608774;26,053985;8,2;1,861178;
2009-10-31;19;206,8;936,370546;24,20977;9,1;1,503448;
2009-11-30;20;128,6;936,175833;24,604861;7,2;1,418194;
2009-12-31;22;303;936,925672;23,523118;7,1;1,246774;
2010-01-31;18;254,4;937,319135;24,438478;8,2;1,040445;
2010-02-28;11;118;937,082887;25,012649;8,3;1,228571;
2010-03-31;17;121,4;937,136022;24,706989;5,7;1,150538;
2010-04-30;6;88,2;938,2275;24,451944;5,1;,953055;
2010-05-31;0;0;938,417204;24,152016;5,6;,989113;
2010-06-30;0;0;941,309722;22,87;6,4;1,041667;
2010-07-31;0;0;941,20121;23,496505;6,9;1,374328;
2010-08-31;null;0;940,576987;24,434106;6,9;1,443037;
2010-09-30;2;3,4;938,015;27,086528;6,8;1,562917;
2010-10-31;16;141,8;936,431855;26,093952;10,2;1,569893;
2010-11-30;23;324,2;935,790833;23,607361;8;1,1875;
2010-12-31;20;341,2;934,564919;24,139919;6,5;1,288172;
2011-01-31;21;183,6;935,719892;23,632527;7,3;1,257258;
2011-02-28;19;160,8;936,805952;23,713393;8,3;1,029762;
2011-03-31;20;169,2;936,393765;23,559136;6,4;1,026469;
2011-04-30;8;23,4;937,951945;24,4475;8,3;1,120833;
2011-05-31;3;4,8;938,908199;23,604167;7;1,03629;
2011-06-30;2;8,2;940,116667;22,386667;4,8;1,103194;
2011-07-31;null;null;null;null;6,4;null;
2011-08-31;1;null;939,347826;26,001812;6,7;1,779167;
2011-09-30;1;3,2;939,214861;26,869306;7,1;1,994722;
2011-10-31;17;185,4;936,613441;23,938038;7,8;1,778898;
2011-11-30;18;349;936,524861;23,503472;5,3;1,443472;
2011-12-31;23;222;936,443817;23,332796;6,5;1,36586;
2012-01-31;26;241;937,346237;22,645699;7,4;1,244355;
2012-02-29;null;null;937,325718;23,684483;7;1,235489;
2012-03-31;null;null;937,431727;24,346561;5,5;1,020348;
2012-04-30;6;null;937,508179;25,102623;5,9;,926698;
2012-05-31;4;17;939,639516;23,335484;6,2;1,056317;
