Nome: ALTO PARAISO DE GOIAS
Codigo Estacao: A024
Latitude: -14.13305554
Longitude: -47.52333332
Altitude: 1264.7
Situacao: Operante
Data Inicial: 2007-06-03
Data Final: 2023-10-11
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2007-06-30;null;null;879,112856;18,810681;7,4;2,537567;
2007-07-31;0;0;878,573264;19,580914;6,9;2,50353;
2007-08-31;0;0;878,556621;19,641649;9,7;3,540638;
2007-09-30;0;0;878,270139;22,192222;8,1;3,203333;
2007-10-31;6;78,2;875,62628;23,132299;6,8;2,528728;
2007-11-30;17;null;874,034667;21,245;7,5;2,055;
2007-12-31;21;142,6;874,869758;20,803898;6,6;2,167473;
2008-01-31;18;235,4;874,890188;20,664651;6,4;2,026344;
2008-02-29;20;265,6;875,598966;20,212351;6,9;1,970862;
2008-03-31;23;268,2;875,377724;19,953449;6,4;1,957642;
2008-04-30;21;208,6;875,075;20,289167;5,3;1,926111;
2008-05-31;2;3,2;877,338137;19,030382;5,9;2,072873;
2008-06-30;0;0;878,629306;18,165972;6,7;2,149028;
2008-07-31;0;0;879,377823;17,813441;8;2,690323;
2008-08-31;0;0;877,49664;20,30121;7,3;2,432661;
2008-09-30;8;65,8;877,186667;22,329167;7,3;2,303611;
2008-10-31;5;37,4;876,431855;23,313172;7,1;2,571102;
2008-11-30;21;443;874,683472;20,633194;5,8;1,828056;
2008-12-31;24;377;874,114181;19,801282;7,1;2,249269;
2009-01-31;18;181,2;875,657884;20,710857;6,1;1,986788;
2009-02-28;null;null;null;null;null;null;
2009-03-31;7;null;null;null;null;null;
2009-04-30;22;290,4;876,469305;20,016528;6,2;1,944583;
2009-05-31;12;52,4;877,48629;18,835887;5,8;2,338306;
2009-06-30;7;18,8;878,582639;18,423333;6,3;2,120417;
2009-07-31;0;0;878,751344;18,900538;6,5;1,890726;
2009-08-31;5;15,2;878,204704;19,754704;7,2;2,406855;
2009-09-30;9;78,4;877,455972;22,15625;6,9;2,049444;
2009-10-31;23;217,2;875,004885;20,80273;6,4;1,782328;
2009-11-30;21;145,8;874,962222;21,145556;6,6;1,777639;
2009-12-31;22;303,4;875,487366;20,374193;6;1,976344;
2010-01-31;20;363,4;875,972727;20,987683;5,5;1,564284;
2010-02-28;14;76,6;875,859226;21,552232;8;1,90997;
2010-03-31;23;253,8;875,879704;21,132527;6,1;1,844355;
2010-04-30;10;112,4;876,749167;20,467917;6,3;1,763611;
2010-05-31;6;45,6;876,97285;20,462903;5,5;1,264516;
2010-06-30;0;0;879,391944;18,678333;7,4;1,773333;
2010-07-31;0;0;879,264919;18,686156;8,6;2,867339;
2010-08-31;0;0;878,871166;19,493759;7,5;2,855552;
2010-09-30;1;,4;877,13375;22,335;7,8;3,146806;
2010-10-31;21;166,4;875,412366;22,393817;6,1;2,014247;
2010-11-30;23;248,2;874,430139;20,239028;7,6;1,859167;
2010-12-31;null;null;873,314516;20,660215;7,6;1,913844;
2011-01-31;null;null;874,339785;20,610081;6,2;2,065323;
2011-02-28;null;null;875,25119;20,531994;6;1,542262;
2011-03-31;null;null;874,949506;20,175647;6,4;1,710855;
2011-04-30;13;54,2;876,455278;20,175972;6;2,160278;
2011-05-31;3;37,8;877,141532;19,119355;6,1;2,291667;
2011-06-30;0;0;878,174692;18,563267;7,5;2,074921;
2011-07-31;0;0;878,372177;18,837769;9,1;2,76828;
2011-08-31;0;0;878,249194;21,060753;7,6;2,454704;
2011-09-30;0;0;878,179722;22,16375;8;2,868333;
2011-10-31;20;232;875,168145;20,257527;7,3;2,281989;
2011-11-30;24;187;875,022361;19,698889;6;2,203611;
2011-12-31;23;169,2;874,958333;20,278495;6,2;1,98078;
2012-01-31;26;356,2;875,561962;19,527823;6,3;1,960215;
2012-02-29;16;198,6;875,70431;20,090086;6,5;2,051724;
2012-03-31;13;121,6;876,167526;20,957638;5,8;1,699275;
2012-04-30;null;null;876,232361;21,277222;6,6;1,797361;
