Nome: RIO VERDE
Codigo Estacao: A025
Latitude: -17.78527777
Longitude: -50.965
Altitude: 780.11
Situacao: Operante
Data Inicial: 2007-05-16
Data Final: 2023-10-11
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2007-05-31;2;null;null;null;4,8;null;
2007-06-30;null;0;929,670344;21,657184;7,5;1,856499;
2007-07-31;6;21;929,000316;21,083082;7,7;2,196406;
2007-08-31;0;0;929,057772;22,574941;9,8;2,474305;
2007-09-30;1;,4;927,923333;25,915556;9,3;2,624722;
2007-10-31;12;109;925,243683;25,256183;9;2,320027;
2007-11-30;13;null;923,665833;24,025167;9;2,438833;
2007-12-31;24;228,8;924,189464;23,330353;9;2,460484;
2008-01-31;26;300,4;924,237366;22,566935;11,5;2,534409;
2008-02-29;21;286,4;925,311437;22,719345;8,8;2,113621;
2008-03-31;20;402,6;925,187171;22,59474;5,8;1,805743;
2008-04-30;19;219,2;925,071667;22,767083;7,1;1,707361;
2008-05-31;6;27,2;928,263517;20,814943;5,2;1,416252;
2008-06-30;3;,6;929,340972;21,178889;6,5;1,761528;
2008-07-31;0;0;930,162903;21,410618;7,6;2,173656;
2008-08-31;2;6,4;927,499865;23,838575;8,2;2,329167;
2008-09-30;4;14,6;927,299318;24,140254;8,8;2,127826;
2008-10-31;10;106;926,384543;24,750806;9,2;2,404436;
2008-11-30;24;227,8;924,298472;23,355972;10,7;2,090139;
2008-12-31;18;132;923,48414;23,426747;8,4;2,431989;
2009-01-31;22;145,4;925,117345;23,435788;11,4;2,212979;
2009-02-28;19;171;925,152882;23,271199;7,2;2,206034;
2009-03-31;23;283,2;924,890054;23,609543;6,8;1,967339;
2009-04-30;12;39;926,771528;22,575556;6,9;1,532083;
2009-05-31;4;15,6;927,795161;22,0036;6,5;1,696774;
2009-06-30;8;33;929,410139;19,927222;6;1,535972;
2009-07-31;2;5,4;928,936828;22,097446;7,6;1,829301;
2009-08-31;4;23,4;928,261962;22,588441;6,6;2,075806;
2009-09-30;13;90,8;927,321528;24,195556;7;2,269861;
2009-10-31;14;181,2;924,890905;23,448453;7,6;2,083613;
2009-11-30;null;null;null;null;6,8;null;
2009-12-31;null;null;null;null;7;null;
2010-01-31;null;null;null;null;8,3;null;
2010-02-28;null;null;null;null;8,4;null;
2010-03-31;null;null;null;null;6,5;null;
2010-04-30;6;58,2;927,175556;22,895972;6,8;1,671806;
2010-05-31;2;9,4;927,664651;20,82957;6,4;1,424059;
2010-06-30;0;0;930,115278;21,010833;7,9;1,671528;
2010-07-31;1;21;929,669221;21,755242;8,2;2,041801;
2010-08-31;0;0;929,291743;22,641941;9,8;2,005172;
2010-09-30;2;3,2;926,330278;25,763611;9,3;2,436528;
2010-10-31;9;94,8;925,15793;24,437366;8,1;2,070699;
2010-11-30;4;15,8;923,691667;23,42375;7,6;2,213333;
2010-12-31;null;null;922,594758;23,500134;8,4;2,110484;
2011-01-31;null;null;923,596909;23,305376;8,4;2,188979;
2011-02-28;9;null;925,073512;22,93642;8,6;1,938333;
2011-03-31;23;395,8;924,201386;22,5742;8,7;2,161214;
2011-04-30;11;67,6;926,613068;23,064022;6,6;1,781449;
2011-05-31;1;,6;928,145699;20,877016;5,5;1,281183;
2011-06-30;1;57,4;928,779861;20,205278;8,3;1,815833;
2011-07-31;0;0;928,775134;21,595699;8,3;2,16707;
2011-08-31;2;4;928,226882;23,725;7,4;2,272177;
2011-09-30;3;10,4;927,9875;24,907222;9,3;2,442083;
2011-10-31;18;249;924,884005;22,988441;9,2;2,534005;
2011-11-30;11;130;924,432035;23,243871;8,8;2,275453;
2011-12-31;17;161,4;924,085104;23,094279;6,9;2,370979;
2012-01-31;26;204,4;925,026747;22,101747;8,9;2,426882;
2012-02-29;18;324,8;925,670833;23,191379;7,1;2,182328;
2012-03-31;19;195,8;926,300824;23,341356;8,9;1,781001;
2012-04-30;16;70,8;926,330097;23,374499;6;1,571806;
2012-05-31;4;null;null;20,633594;6,7;null;
2012-06-30;10;17,4;929,220882;21,062868;5,7;1,492252;
2012-07-31;2;1;929,487573;20,76922;6,6;1,475758;
2012-08-31;null;0;930,597197;22,192083;8,4;2,167185;
2012-09-30;7;84,4;928,089722;25,156111;8,3;1,848055;
2012-10-31;9;42,6;925,005376;26,067473;7,1;1,857661;
2012-11-30;21;234,6;923,593055;23,723611;7,9;1,57375;
2012-12-31;20;171,6;924,701613;24,310349;7,8;,491667;
2013-01-31;28;523,6;924,833468;22,978226;9,2;,23078;
2013-02-28;19;167,8;925,748958;22,983482;6,3;,252827;
2013-03-31;22;445,8;925,911945;23,548276;7,8;,262639;
2013-04-30;16;97,6;927,424861;21,922222;6;,121389;
2013-05-31;2;1,4;928,087161;21,926578;5,6;,167397;
2013-06-30;5;1,2;928,877572;21,879058;6,2;,134438;
2013-07-31;1;,2;930,19519;20,394448;6,3;,270547;
2013-08-31;0;0;928,997226;21,90925;7,1;,561547;
2013-09-30;2;,4;927,543611;24,019306;6,4;,661528;
2013-10-31;13;66,4;926,154167;24,112366;8,8;,979839;
2013-11-30;18;306,4;924,42625;23,510833;7,6;2,188194;
2013-12-31;22;115;923,433468;23,671774;9,9;2,20793;
2014-01-31;16;84,2;926,650538;23,444758;7,5;2,20672;
2014-02-28;17;160,4;925,510119;23,788393;8,1;2,458185;
