Nome: MINEIROS
Codigo Estacao: A026
Latitude: -17.45472222
Longitude: -52.60111111
Altitude: 862
Situacao: Operante
Data Inicial: 2007-11-23
Data Final: 2023-10-11
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2007-11-30;4;null;null;null;null;null;
2007-12-31;23;288,4;931,034005;23,419208;6,1;1,594355;
2008-01-31;25;254,4;931,011559;22,988575;6,8;1,690457;
2008-02-29;23;360,8;932,149138;22,820238;7,4;1,294195;
2008-03-31;19;254,8;932,096337;22,815231;6,3;1,081206;
2008-04-30;21;196,8;931,965556;22,462222;6,7;1,095694;
2008-05-31;17;40,4;935,186118;20,075675;5,7;,979147;
2008-06-30;13;2,8;936,229861;null;4,3;,951667;
2008-07-31;1;,2;936,797154;null;6,3;1,073335;
2008-08-31;2;4;934,1125;null;6,5;1,297177;
2008-09-30;6;47,8;934,098889;null;7,4;1,414722;
2008-10-31;13;154,6;933,160215;null;7,9;1,586694;
2008-11-30;13;null;931,085574;null;6,8;1,338485;
2008-12-31;null;null;930,425269;23,7751;7;1,724731;
2009-01-31;null;null;932,002525;22,968246;8,8;1,500187;
2009-02-28;null;null;931,92247;null;6,6;1,305438;
2009-03-31;null;null;931,816129;null;11;1,154839;
2009-04-30;null;null;933,714583;null;5,6;,894305;
2009-05-31;null;null;934,676698;null;5,9;,907598;
2009-06-30;3;12,2;936,411389;18,931111;5,1;1,107639;
2009-07-31;1;2;935,860753;20,326075;7,7;1,172715;
2009-08-31;5;31,4;935,016532;21,968683;7,3;1,464785;
2009-09-30;14;57,8;934,154988;24,155266;9,9;1,668526;
2009-10-31;14;115,8;931,524459;24,266379;7,2;1,535051;
2009-11-30;20;241,4;931,087639;24,447917;7,3;1,685694;
2009-12-31;28;330,2;931,566667;23,304704;6,8;1,648925;
2010-01-31;19;36,6;932,067639;24,20404;7,9;1,828927;
2010-02-28;3;null;null;null;null;null;
2010-03-31;19;630,8;932,080511;24,469355;7,2;1,3125;
2010-04-30;9;45;934,085694;22,602222;5,9;1,108472;
2010-05-31;14;25,6;934,827285;19,620699;5,6;,997043;
2010-06-30;4;4,8;936,9975;19,260278;5,7;,831389;
2010-07-31;2;,6;936,367339;20,418952;7,6;1,236828;
2010-08-31;1;,2;936,029565;21,056491;7,7;1,221757;
2010-09-30;2;9,8;932,860694;25,457361;7,8;1,367639;
2010-10-31;12;159,6;932,079704;24,631855;6,3;1,43414;
2010-11-30;17;230,6;930,663333;23,619444;7;1,330833;
2010-12-31;23;285,8;929,562769;23,670027;7;1,201344;
2011-01-31;24;159,6;930,550807;23,609677;6,6;1,048656;
2011-02-28;20;221,4;931,947321;23,561309;6,5;1,223363;
2011-03-31;28;395,2;931,112039;23,032537;6,9;1,490701;
2011-04-30;23;107,2;933,489306;22,583889;6;1,088611;
2011-05-31;20;7,6;935,19207;19,736828;4,9;,90336;
2011-06-30;13;19,2;935,710556;18,659028;8;1,159167;
2011-07-31;3;,6;935,578763;20,215323;7,1;1,301747;
2011-08-31;1;3,8;935,049597;22,351613;8,1;1,545565;
2011-09-30;6;23,8;934,739861;24,579167;8,5;1,628611;
2011-10-31;17;190,6;931,609274;23,59422;7,2;1,702016;
2011-11-30;17;90,8;931,339722;23,337083;7;1,583889;
2011-12-31;16;null;930,588542;23,767361;7,4;1,347743;
2012-01-31;null;null;null;null;9,3;null;
2012-02-29;12;null;null;22,95098;8,4;null;
2012-03-31;27;119,4;933,412366;23,002688;5,6;,950403;
2012-04-30;23;null;933,286378;23,184776;5,3;,730609;
2012-05-31;3;null;null;null;null;null;
2012-06-30;20;44,8;936,175417;19,812361;6,2;,775278;
2012-07-31;9;2;936,492473;18,592876;5,8;,824597;
2012-08-31;null;0;937,10071;21,429167;7,7;1,128667;
2012-09-30;6;36,8;934,885;23,896944;9,4;1,202639;
2012-10-31;11;102,2;931,951479;25,127554;7,5;1,159409;
2012-11-30;21;270,4;930,667222;23,797639;8,3;,993195;
2012-12-31;20;133;931,557796;24,675403;6,2;1,044624;
2013-01-31;24;414;931,723118;23,699731;6,8;1,137231;
2013-02-28;22;145,2;932,669048;23,206994;6,8;1,054316;
2013-03-31;20;214,4;932,761861;24,062213;6,1;,923417;
2013-04-30;22;129;934,385139;22,007361;5,6;,710833;
