Nome: PARAUNA
Codigo Estacao: A027
Latitude: -16.9625
Longitude: -50.42555554
Altitude: 678.74
Situacao: Operante
Data Inicial: 2008-03-28
Data Final: 2023-10-11
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2008-03-31;null;null;null;null;null;null;
2008-04-30;12;131,8;935,442917;23,782917;10,5;1,405417;
2008-05-31;3;12,6;938,640597;21,73968;6,1;1,37292;
2008-06-30;0;0;939,766806;21,903611;6,7;1,387917;
2008-07-31;0;0;940,638172;21,65793;7,7;1,640188;
2008-08-31;0;0;937,900538;24,755242;7,4;1,810753;
2008-09-30;6;15,8;937,553056;25,588472;7;1,893056;
2008-10-31;8;39,6;936,632796;26,400941;8,7;1,976478;
2008-11-30;19;177,8;934,768472;24,704444;10,2;1,60375;
2008-12-31;21;189,8;934,155645;24,168145;6,5;1,940188;
2009-01-31;21;192,4;935,680055;24,502454;8,3;1,513815;
2009-02-28;14;234,4;935,677854;24,457048;7,1;1,49141;
2009-03-31;20;203,2;935,386021;24,375;6,6;1,342608;
2009-04-30;9;139,4;937,1225;23,397222;8,1;1,033056;
2009-05-31;5;17,6;938,231452;22,873925;4,8;1,226747;
2009-06-30;6;13;939,88875;20,849722;5,3;1,15;
2009-07-31;1;3,6;939,425134;23,001613;6,3;1,40336;
2009-08-31;4;21,2;938,692339;23,900538;7,2;1,754973;
2009-09-30;9;120,8;937,713472;25,299722;6,9;1,467083;
2009-10-31;13;194;935,200287;24,360489;9,5;1,339368;
2009-11-30;16;184;934,861389;24,823472;5,4;1,397222;
2009-12-31;27;280,8;935,364113;23,533602;8,2;1,566398;
2010-01-31;17;240,2;935,994159;24,669428;7,6;1,534335;
2010-02-28;16;165,4;935,972321;25,220833;7,8;1,355208;
2010-03-31;23;206,8;935,706387;24,782878;8,9;1,392117;
2010-04-30;6;48,6;937,45125;23,944722;5,1;1,119861;
2010-05-31;3;11,4;938,001613;22,29328;3,8;1,147984;
2010-06-30;2;,4;940,569306;21,922917;4,6;1,130833;
2010-07-31;0;0;940,089516;23,006183;6,8;1,275403;
2010-08-31;0;0;939,68916;23,668543;5,2;1,271026;
2010-09-30;2;10,8;936,68875;27,259167;6,2;1,519028;
2010-10-31;8;122,4;935,502151;25,983333;7,4;1,527688;
2010-11-30;16;148,2;934,277083;24,475694;5,6;1,269583;
2010-12-31;21;279;933,149866;24,386962;6,8;1,127151;
2011-01-31;21;249,6;934,160484;24,113441;5,3;1,289382;
2011-02-28;22;331,6;935,604694;23,943371;9;1,082129;
2011-03-31;21;327,2;934,856897;23,596081;6,7;1,099328;
2011-04-30;8;46,2;936,937778;24,217222;4,9;1,211806;
2011-05-31;0;0;938,40154;22,428214;4,7;1,080633;
2011-06-30;2;33;939,291528;21,290139;5,8;1,279861;
2011-07-31;0;0;939,300806;22,484274;6,9;1,369355;
2011-08-31;1;1;938,610618;25,028629;6,3;1,585753;
2011-09-30;3;,8;938,284444;26,535833;5,9;1,706944;
2011-10-31;15;195,6;935,34901;24,370516;7,3;1,571444;
2011-11-30;1;null;null;null;null;null;
2011-12-31;20;null;934,914639;23,62468;8,9;1,489054;
2012-01-31;19;null;935,955403;22,869258;7;1,698629;
2012-02-29;12;null;null;23,575781;8,4;null;
2012-03-31;10;95,4;936,697294;24,575947;6;1,096359;
2012-04-30;9;47,8;936,655278;24,818611;5;,977083;
2012-05-31;7;27,8;938,971429;22,049696;5;1,034251;
2012-06-30;4;7,6;939,631329;22,896184;5;1,196727;
2012-07-31;0;0;939,905797;22,424486;5,1;1,252846;
2012-08-31;null;0;940,952884;23,913732;6,7;1,51469;
2012-09-30;null;null;null;28,171135;5,3;null;
2012-10-31;null;null;null;null;null;null;
2012-11-30;12;null;null;24,786932;8,8;null;
2012-12-31;21;128,4;935,213306;25,329032;10,5;1,223387;
2013-01-31;22;232,6;935,594758;23,949731;8,8;1,771102;
2013-02-28;17;141,8;936,241816;24,396875;7,2;1,070536;
2013-03-31;16;174,6;936,418722;24,748851;6,3;1,225528;
2013-04-30;13;92,2;937,837548;23,191111;5,2;,929137;
2013-05-31;2;10,2;938,543548;23,077554;5,7;1,154973;
2013-06-30;5;6,4;939,39916;22,807303;4,8;1,058595;
2013-07-31;1;,4;940,67642;21,806498;5,6;1,339353;
2013-08-31;0;0;939,388096;23,405084;5,1;1,423919;
2013-09-30;3;50,6;937,930833;25,68625;6,3;1,695972;
2013-10-31;14;125,4;936,675139;25,1825;6;1,380417;
2013-11-30;17;null;935,207821;24,309644;7,8;1,296805;
2013-12-31;20;183,6;934,08011;24,512662;8,5;1,607093;
2014-01-31;2;null;null;null;5,4;null;
2014-02-28;null;null;null;null;5;null;
2014-03-31;null;null;null;null;6,6;null;
2014-04-30;null;null;null;null;4,4;null;
2014-05-31;2;null;938,505775;22,262913;3,8;,623471;
2014-06-30;1;,8;939,765507;22,471618;4,5;,757506;
2014-07-31;5;66,2;941,653898;21,957796;5,1;,852016;
2014-08-31;0;0;939,839756;24,310729;5,5;,890603;
2014-09-30;5;42,4;937,545471;26,276721;7,3;,922802;
2014-10-31;7;40,2;936,73629;27,18293;6,5;1,007796;
2014-11-30;12;167,2;935,475972;25,075694;6,4;,855139;
2014-12-31;25;323;936,138978;23,674597;6,4;,964247;
2015-01-31;10;82,6;937,208468;26,166935;8,4;,831721;
2015-02-28;18;168,2;936,715107;24,383405;6,7;1,017611;
2015-03-31;23;286,2;936,873352;23,803472;6,2;,679089;
2015-04-30;13;130,6;937,345556;24,308472;4,6;,371806;
2015-05-31;11;80,6;939,181212;22,422721;4,5;,508409;
2015-06-30;0;0;941,063206;22,334402;4,7;,600888;
2015-07-31;2;10,6;940,276508;22,94827;5,4;,64141;
2015-08-31;null;0;939,292796;24,486539;4,9;,793746;
2015-09-30;null;null;null;null;null;null;
2015-10-31;8;null;936,354647;28,529327;6;1,029006;
2015-11-30;18;245,2;935,293788;26,114659;5,5;,966048;
2015-12-31;19;233,8;937,081855;25,427893;5,1;,856545;
2016-01-31;26;330;935,110295;24,229052;5,9;1,350505;
2016-02-29;17;158;937,26791;25,179816;6,8;,822932;
2016-03-31;16;142,2;937,819332;25,202947;7,1;,809134;
2016-04-30;1;5,4;937,544408;25,742307;5;,816787;
2016-05-31;2;1,4;939,690628;24,046839;4;,571617;
2016-06-30;1;,8;941,148889;22,278611;4,2;,61;
2016-07-31;0;0;940,345565;23,346102;5,3;,760484;
2016-08-31;7;42,8;939,137634;24,537634;5,4;,832258;
2016-09-30;4;23,8;938,210833;26,225556;4,4;,832083;
2016-10-31;13;118,4;936,110887;25,674866;6,6;,921237;
2016-11-30;20;159;935,451806;24,192083;6,1;,905694;
2016-12-31;22;147,6;935,897312;24,748118;6,3;,968683;
2017-01-31;17;156,6;936,563844;24,358871;6,9;,861828;
2017-02-28;20;188,8;936,224405;24,315476;5,9;,903274;
2017-03-31;16;205,4;936,61707;24,681855;5,1;,664516;
2017-04-30;7;132,4;937,501944;24,43625;4,1;,66;
2017-05-31;3;38,6;938,400269;23,949059;3,8;,543548;
2017-06-30;0;0;940,373194;22,214306;6,1;,772361;
2017-07-31;0;0;943,113844;20,521237;5,8;1,077285;
2017-08-31;null;null;null;null;4,4;null;
2017-09-30;2;null;null;null;null;null;
2017-10-31;4;48,2;935,664113;27,696774;4,9;,955376;
2017-11-30;17;226,6;934,818611;24,64875;6,2;,659722;
2017-12-31;20;76;935,138844;24,185081;7,7;,956317;
2018-01-31;null;null;936,010484;24,626344;5,4;,694086;
2018-02-28;null;null;935,476644;24,458547;4,8;,516259;
2018-03-31;null;null;935,976461;25,2187;5,1;,718508;
2018-04-30;10;27,4;937,799444;23,266944;4,5;,7075;
2018-05-31;1;13,2;939,672446;22,297984;4,1;,920161;
2018-06-30;0;0;940,640555;22,632361;5,2;,999444;
2018-07-31;0;0;940,457258;22,724462;5,1;1,031183;
2018-08-31;0;0;939,770968;24,426613;5,4;1,033468;
2018-09-30;7;39,2;936,709861;25,761667;6,3;1,168333;
2018-10-31;15;180,2;935,931452;25,78535;7,2;1,068817;
2018-11-30;21;295,4;935,362083;24,018472;5,1;1,291389;
2018-12-31;16;120,2;936,513879;25,115749;5,9;1,273644;
2019-01-31;19;158,8;937,90914;25,421102;9;1,143414;
2019-02-28;17;127,4;936,360863;25,088244;5,7;1,255357;
2019-03-31;18;190,6;937,404301;24,769624;6;1,033468;
2019-04-30;12;118,6;937,401389;24,456111;6,1;,867917;
2019-05-31;3;19;938,282393;23,669758;3,4;,759543;
2019-06-30;0;0;941,04282;22,518726;5,2;1,069191;
2019-07-31;1;2,6;940,574059;22,169892;4,8;1,157258;
2019-08-31;1;1;940,848925;24,856855;5,7;1,318011;
2019-09-30;2;20,6;937,276111;28,721389;5,5;1,407639;
2019-10-31;10;76,4;935,97164;27,056183;5,2;1,292204;
2019-11-30;15;120,4;935,007639;25,780417;6,4;1,271528;
2019-12-31;18;295,8;935,7125;24,845699;6,1;1,092204;
2020-01-31;21;291,6;935,442742;25,199059;5;1,460618;
2020-02-29;20;363;936,604167;24,396264;6,1;1,238649;
2020-03-31;16;168,4;936,571061;24,734777;4,7;,93542;
2020-04-30;11;173,2;938,352222;23,811944;4,1;,818194;
2020-05-31;3;7,6;939,922715;21,108333;3,7;,924597;
