Nome: CRISTALINA
Codigo Estacao: A036
Latitude: -16.78499999
Longitude: -47.61305555
Altitude: 1211.08
Situacao: Operante
Data Inicial: 2007-12-13
Data Final: 2023-10-11
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2007-12-31;8;null;null;20,878333;6,6;null;
2008-01-31;18;233,8;879,923253;21,006989;7,1;2,90914;
2008-02-29;20;227;880,704598;21,282589;7;2,364856;
2008-03-31;20;195,8;880,504784;20,687198;6,5;2,539345;
2008-04-30;10;95,2;880,345278;21,546389;5,6;2,111806;
2008-05-31;0;0;882,970833;19,396102;6,5;2,082796;
2008-06-30;0;0;884,375278;18,773194;6,4;2,217917;
2008-07-31;0;0;885,279167;17,70578;8,1;2,252957;
2008-08-31;0;0;883,144624;20,619624;6,6;2,418145;
2008-09-30;6;30;882,57;22,1875;6,3;2,460417;
2008-10-31;5;40,8;881,872446;23,712769;7,2;2,777151;
2008-11-30;17;289;879,77625;21,257778;8;2,464306;
2008-12-31;22;235,6;879,25672;20,799193;7,1;2,329167;
2009-01-31;21;274,6;880,753886;21,330686;6,4;2,050666;
2009-02-28;14;245,2;880,778785;21,682952;6,6;2,008366;
2009-03-31;11;152,2;880,345699;21,961022;6,2;1,739919;
2009-04-30;19;235,8;881,804028;20,139861;5,6;1,867222;
2009-05-31;8;29,6;882,997715;19,058199;9,5;2,192473;
2009-06-30;5;10,8;884,128194;18,191806;5,4;1,650833;
2009-07-31;0;0;884,220968;19,970833;5,6;1,873925;
2009-08-31;5;23,8;883,785349;19,726613;7,3;2,525538;
2009-09-30;8;41,6;882,843237;22,427319;6,7;1,906341;
2009-10-31;20;270,4;880,129167;21,30977;6,4;1,99181;
2009-11-30;18;224,6;880,02625;22,329861;6,4;2,150556;
2009-12-31;24;335,2;880,364919;20,614113;7,6;2,790188;
2010-01-31;20;290,6;881,253226;21,857917;7,5;2,326536;
2010-02-28;13;131;881,254911;22,307143;7,4;2,583482;
2010-03-31;15;128,6;880,822446;21,961694;7,4;2,618011;
2010-04-30;5;50,2;882,302639;20,441528;7,9;2,507778;
2010-05-31;3;16,4;882,369489;20,329704;7,2;2,044624;
2010-06-30;2;,8;885,122083;18,094722;9,1;2,377083;
2010-07-31;0;0;885,125672;18,207796;9,2;3,236962;
2010-08-31;0;0;884,622043;19,387231;8,2;2,882124;
2010-09-30;2;44,6;882,583889;22,0975;9;3,450833;
2010-10-31;12;120,8;880,499199;22,730797;7,2;2,528167;
2010-11-30;21;390,2;879,333333;20,639306;6,7;2,557639;
2010-12-31;21;348,2;878,159543;21,665591;7,4;2,602554;
2011-01-31;18;303,2;879,352285;21,25121;6,9;2,784005;
2011-02-28;13;138,2;880,432143;22,011607;6,6;2,339286;
2011-03-31;24;590,4;879,902015;20,778868;7,7;2,637384;
2011-04-30;8;48,8;881,968611;20,478611;7,3;2,618472;
2011-05-31;4;4;882,804856;18,942017;6,4;2,130295;
2011-06-30;4;2,6;883,664952;18,168025;7,1;2,355417;
2011-07-31;0;0;884,02621;18,675807;10,2;2,824194;
2011-08-31;0;0;883,728764;21,234543;9,4;2,802957;
2011-09-30;0;0;883,676944;22,153889;7,8;3,290972;
2011-10-31;19;514,6;880,469951;20,244419;7,8;3,069197;
2011-11-30;14;96,2;880,037222;20,343611;7,4;3,227083;
2011-12-31;25;453,8;879,795564;20,57957;7,2;2,718414;
2012-01-31;22;321,6;880,673387;20,185887;7;2,64328;
2012-02-29;11;197,4;881,123707;21,054167;7,4;2,710058;
2012-03-31;15;190,4;881,589382;21,359812;6,6;2,237097;
2012-04-30;10;54,4;881,650556;21,546944;7;2,276528;
2012-05-31;11;45;883,509274;18,371505;6,5;2,566129;
2012-06-30;10;75,4;884,322536;19,320658;7,4;2,219897;
2012-07-31;1;1,4;884,44207;18,514113;8,7;2,482124;
2012-08-31;null;0;885,839343;18,053889;7,9;3,294604;
2012-09-30;5;83,2;883,860972;22,094028;7,8;2,786528;
2012-10-31;8;82,4;881,132124;23,167876;7,4;2,766935;
2012-11-30;26;219,6;879,315139;21,281389;7;2,664167;
2012-12-31;19;91,2;880,29664;22,81828;6,4;2,294086;
2013-01-31;24;390,2;880,651882;21,007527;6,2;2,470833;
2013-02-28;12;107,6;881,097173;22,042411;6,6;2,397321;
2013-03-31;20;251,4;881,458009;21,709914;7,1;2,439861;
2013-04-30;11;109,2;882,465556;19,970833;6,7;2,282222;
2013-05-31;6;21,2;883,189651;19,561828;7,4;2,341264;
2013-06-30;7;8;884,085063;19,046881;6,9;2,425707;
2013-07-31;1;,8;884,90765;18,833579;7,6;2,57337;
2013-08-31;0;0;883,969489;19,47836;7,3;2,966398;
2013-09-30;5;39,8;883,034861;21,250972;8,1;3,315972;
2013-10-31;15;157,2;881,745833;21,133871;7,4;2,84086;
2013-11-30;17;250;879,952361;21,094861;7,3;2,729306;
2013-12-31;25;366,8;879,086962;21,118683;7,3;2,786425;
2014-01-31;11;64,6;882,035887;21,787634;7,4;2,656855;
2014-02-28;10;115;881,152232;21,41131;7,4;2,88631;
2014-03-31;19;252,6;881,681855;21,028091;7;2,712097;
2014-04-30;13;158;882,206477;21,05154;6,1;2,281616;
2014-05-31;1;,2;883,025941;19,845833;6;2,256989;
2014-06-30;4;1,6;884,326528;18,826806;6,9;2,580694;
2014-07-31;6;12;886,095161;18,011559;7,8;2,864382;
2014-08-31;0;0;884,740591;20,60793;7,6;2,664247;
2014-09-30;4;21,6;882,816528;22,830278;8,4;3,377917;
2014-10-31;8;44,6;882,106855;23,110081;7,4;3,306452;
2014-11-30;19;170,2;880,48;21,740833;7,2;2,840694;
2014-12-31;22;417,6;881,130645;20,720027;7,3;2,998387;
2015-01-31;7;41,8;882,272855;23,430113;7,2;2,408731;
2015-02-28;16;94,2;881,651339;21,606399;7,4;2,951042;
2015-03-31;25;373,8;881,680376;20,940278;9,4;2,000269;
2015-04-30;19;175,4;882,116528;21,245417;5,7;1,901667;
2015-05-31;12;22,4;883,740457;19,029973;6,9;2,618011;
2015-06-30;3;,6;885,61875;18,409167;6,7;2,556806;
2015-07-31;1;,8;885,022043;19,268683;7;2,629032;
2015-08-31;0;0;884,451344;20,403091;7,7;2,744489;
2015-09-30;5;30;882,18625;24,381111;8,3;2,645139;
2015-10-31;5;63;881,849462;25,372312;8;2,849193;
2015-11-30;15;168,2;880,344306;23,641806;7,2;2,563472;
2015-12-31;13;null;882,191848;22,852898;7,8;2,382971;
2016-01-31;28;466,2;880,182661;21,304032;7,6;2,97836;
2016-02-29;12;176,8;882,247701;23,345833;6,8;2,106465;
2016-03-31;16;169,4;882,872312;22,237769;6,8;2,162769;
2016-04-30;4;25,2;882,653056;22,255833;6,7;2,061528;
2016-05-31;2;5;884,284274;20,908602;6,9;1,884274;
2016-06-30;1;,2;885,404583;19,505556;7,2;2,290139;
2016-07-31;0;0;884,905108;20,093817;7,3;2,449059;
2016-08-31;5;15,8;883,981586;21,070296;8,1;2,623656;
2016-09-30;7;24;882,984583;23,544167;8,4;2,841944;
2016-10-31;10;96,6;881,074059;23,147312;8,9;2,922446;
2016-11-30;19;375;880,365694;21,164028;7,5;2,802639;
2016-12-31;16;214,6;880,936559;21,76371;8,8;2,878226;
2017-01-31;13;163;881,334005;22,353495;6,5;1,818817;
2017-02-28;17;232,8;881,212351;21,16756;7,8;1,991518;
2017-03-31;12;122,2;881,44543;22,367608;6,7;1,923387;
2017-04-30;6;11,2;882,290972;21,86125;7;1,967361;
2017-05-31;4;70,4;883,264651;20,318145;7,1;1,647177;
2017-06-30;0;0;884,819167;18,804583;9,1;2,092778;
2017-07-31;0;0;887,182661;16,260618;8;3,152554;
2017-08-31;0;0;883,77957;21,060081;7,8;2,540995;
2017-09-30;2;4,6;884,519861;20,663472;7,4;3,252778;
2017-10-31;9;80,2;881,252688;23,839785;8,2;2,801479;
2017-11-30;23;419,8;879,953472;21,17;7,8;2,48875;
2017-12-31;20;243,4;880,018817;21,410081;19,7;3,028187;
2018-01-31;17;134,8;880,970833;22,062769;20;3,668479;
2018-02-28;18;367;880,373958;21,293006;5,8;,838988;
2018-03-31;16;103,6;880,921237;22,288172;5,7;,095296;
2018-04-30;9;null;883,522705;19,89697;0;0;
2018-05-31;2;15;884,147312;18,878495;0;0;
2018-06-30;0;0;885,156806;19,2425;0;0;
