Nome: SILVANIA
Codigo Estacao: A037
Latitude: -16.67972221
Longitude: -48.61805554
Altitude: 952
Situacao: Operante
Data Inicial: 2010-10-07
Data Final: 2023-10-11
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2010-10-31;12;null;null;23,378333;5,4;null;
2010-11-30;24;236,8;905,816667;22,107639;7,2;1,465694;
2010-12-31;23;204;904,634005;22,745027;8,4;1,422715;
2011-01-31;20;265,2;905,765323;22,067473;6,7;1,416936;
2011-02-28;20;153,2;906,973809;22,288988;5,1;1,215327;
2011-03-31;26;411;906,38704;22,028978;7,9;1,366512;
2011-04-30;8;29,2;908,42875;21,96625;5;1,20375;
2011-05-31;2;,4;909,482392;20,212903;4,2;1,090457;
2011-06-30;4;10,8;910,442222;19,289861;6,1;1,185139;
2011-07-31;0;0;910,683065;19,960215;5,3;1,265323;
2011-08-31;0;0;910,159409;22,299328;7,2;1,442602;
2011-09-30;0;0;909,955972;23,900278;5,9;1,534181;
2011-10-31;21;251,4;907,006586;21,751613;9,2;1,59281;
2011-11-30;17;157,8;906,560048;21,939752;5,9;1,636189;
2011-12-31;26;358;906,378763;21,698925;6,7;1,375249;
2012-01-31;28;441,6;907,286962;20,83414;8;1,307773;
2012-02-29;15;175,8;907,610489;22,096264;6,3;1,322247;
2012-03-31;20;186,2;908,103629;22,279435;5,3;1,196091;
2012-04-30;16;108;908,13375;22,444444;5,9;1,149149;
2012-05-31;8;46,6;910,241532;19,647984;8,3;1,166363;
2012-06-30;5;7,4;910,965556;20,353056;6,9;1,197361;
2012-07-31;2;12,8;911,150403;19,732392;6,1;1,221647;
2012-08-31;null;0;912,501325;20,022778;5,2;1,564277;
