Nome: ARAGUATINS
Codigo Estacao: A044
Latitude: -5.6436111
Longitude: -48.11194444
Altitude: 130.71
Situacao: Operante
Data Inicial: 2009-03-11
Data Final: 2023-10-11
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2009-03-31;10;null;null;26,530278;5,7;null;
2009-04-30;25;330,6;996,485417;25,907361;6,5;1,473472;
2009-05-31;24;244,2;996,771237;25,868952;4,3;1,351075;
2009-06-30;8;17;997,488056;26,649583;4,6;1,448611;
2009-07-31;2;15,2;997,449328;27,365995;5;1,582527;
2009-08-31;3;16,8;996,596237;28,043817;6;1,794758;
2009-09-30;0;0;996,506111;28,604722;6,7;1,883056;
2009-10-31;7;27,2;994,738362;28,373563;5,2;1,820833;
2009-11-30;2;null;null;null;null;null;
2009-12-31;null;null;null;null;null;null;
2010-01-31;null;null;null;null;null;null;
2010-02-28;null;null;null;null;null;null;
2010-03-31;null;null;null;null;null;null;
2010-04-30;null;null;null;null;null;null;
2010-05-31;null;null;null;null;null;null;
2010-06-30;1;null;null;null;null;null;
2010-07-31;1;,2;997,172446;27,616129;5,3;1,545833;
2010-08-31;2;4,4;996,908967;28,010791;6,6;1,61788;
2010-09-30;1;11,8;995,140139;29,551667;7,9;1,749861;
2010-10-31;12;152,2;995,000269;28,144758;7,2;1,88414;
2010-11-30;12;118,6;993,740556;27,488056;5,1;1,608056;
2010-12-31;20;177,6;993,425269;26,383199;5,8;1,439919;
2011-01-31;22;321,6;994,375807;25,591129;7;1,485349;
2011-02-28;25;277,6;995,305655;25,660714;6;1,602827;
2011-03-31;23;256;995,069311;25,923209;7,9;1,539381;
2011-04-30;26;216,2;995,552639;26,199861;5,3;1,388333;
2011-05-31;10;136,6;995,647312;27,017339;5,5;1,449059;
2011-06-30;2;5,6;996,851528;27,265972;4,8;1,564583;
2011-07-31;3;8;996,975134;26,874462;6,1;1,631183;
2011-08-31;1;2,2;996,868145;28,156048;5,4;1,685081;
2011-09-30;0;0;996,505139;29,31;5,4;1,902361;
2011-10-31;14;222,2;994,25336;27,817608;5;1,738038;
2011-11-30;14;177,6;994,589028;26,596389;5,3;1,601528;
2011-12-31;14;50,8;994,564113;26,837366;6,1;1,596505;
2012-01-31;22;219,4;995,416398;25,778495;5,8;1,543817;
2012-02-29;21;270,8;995,23046;25,276006;7,6;1,488362;
2012-03-31;26;202,4;995,838844;25,972177;6,6;1,451075;
2012-04-30;17;97,6;995,414306;26,6325;5,8;1,368194;
2012-05-31;11;38,2;996,376479;26,944624;4,5;1,36922;
2012-06-30;10;21;997,670694;26,319861;5,1;1,424167;
2012-07-31;3;11,4;997,179839;26,797715;4,5;1,449597;
2012-08-31;null;0;997,658372;28,100417;5,5;1,703667;
2012-09-30;4;59,2;997,1675;29,020833;7,2;1,907222;
2012-10-31;13;74,2;994,877554;27,927016;5,1;1,70457;
2012-11-30;15;191,8;994,538194;27,082083;8,5;1,5175;
2012-12-31;17;246,8;994,52043;26,340457;6,1;1,447984;
2013-01-31;23;408,2;995,817742;26,176882;5,8;1,507258;
2013-02-28;20;180,2;994,875893;26,102232;6;1,435268;
2013-03-31;22;235,6;995,656833;26,769397;7,3;1,538167;
2013-04-30;21;283,2;996,199167;26,766389;4,6;1,391389;
2013-05-31;14;111,8;996,588306;26,98172;5,1;1,401882;
2013-06-30;11;63,4;997,157361;26,635202;4,5;1,390644;
2013-07-31;5;4,4;997,887038;26,926315;5,6;1,474731;
2013-08-31;2;,8;996,468952;27,824731;5,5;1,564516;
2013-09-30;8;51,8;996,143194;28,243611;5,5;1,840694;
2013-10-31;11;124,8;995,650134;27,800269;6,5;1,794892;
2013-11-30;14;203,4;994,317778;26,553333;6,1;1,605694;
2013-12-31;13;107,2;994,934274;26,734274;6,8;1,489113;
2014-01-31;23;338;995,994355;25,845968;5,6;1,534409;
2014-02-28;21;282;995,181101;25,688839;7,3;1,449851;
2014-03-31;24;361,2;995,910081;25,986962;7,5;1,497177;
2014-04-30;24;189;996,347084;26,356389;5,7;1,460972;
2014-05-31;11;54,4;996,363172;26,998387;4,5;1,394892;
2014-06-30;1;5,8;997,041944;27,410694;5,4;1,479444;
2014-07-31;1;1,8;998,79086;27,320161;4,8;1,572043;
2014-08-31;3;6;997,535618;28,114919;5,5;1,652688;
2014-09-30;6;27;996,704583;28,072361;6,9;1,887222;
2014-10-31;13;153,2;995,796371;27,701747;5,3;1,685484;
2014-11-30;13;130,8;994,946111;27,297778;5,5;1,656389;
2014-12-31;13;103,8;995,500538;26,847446;5,4;1,5625;
2015-01-31;20;148,8;996,583462;26,04124;4,9;1,482667;
2015-02-28;19;144,6;996,415327;25,911161;5,7;1,572321;
2015-03-31;20;441;996,189636;25,861389;5,3;1,426436;
2015-04-30;15;69;996,420417;26,774028;4,9;1,412639;
2015-05-31;9;90;996,81707;26,82164;4;1,32715;
2015-06-30;5;7,2;998,039028;27,287639;4,8;1,401818;
2015-07-31;5;41,4;997,769892;27,312769;5,8;1,469355;
2015-08-31;1;2,8;996,968011;28,165995;5,5;1,638575;
2015-09-30;3;24,6;996,244167;28,957222;5,7;2,013472;
2015-10-31;7;45;995,655914;29,623925;7;2,049328;
2015-11-30;11;54,2;994,692083;28,422917;7,1;1,844722;
2015-12-31;12;59;995,945968;27,660215;9;1,611156;
2016-01-31;16;null;null;26,17451;5,6;null;
2016-02-29;14;111;995,816954;27,652443;5,8;1,604741;
2016-03-31;20;157,4;996,684409;27,068548;5,9;1,509946;
2016-04-30;16;216,6;995,629306;27,323611;4,2;1,371806;
2016-05-31;12;67,2;997,368683;27,256989;4,5;1,278226;
2016-06-30;4;8,8;998,603472;27,082222;5,9;1,356806;
2016-07-31;2;1;997,775807;27,722043;5,5;1,409274;
2016-08-31;2;6,6;997,170296;28,721774;5,1;1,610484;
2016-09-30;12;126,4;996,85125;28,559444;6;1,815972;
2016-10-31;7;31,6;994,998624;28,230045;5,6;1,761671;
2016-11-30;3;null;null;null;4,8;null;
2016-12-31;null;null;null;null;6,3;null;
2017-01-31;null;null;null;null;3,6;null;
2017-02-28;8;null;null;null;5,8;null;
2017-03-31;22;327;996,022984;26,127419;5,4;1,446371;
2017-04-30;23;132,6;995,988194;26,658611;4,8;1,337917;
2017-05-31;9;65,4;996,508871;27,420833;5;1,412769;
2017-06-30;4;5,2;997,232083;27,415556;5;1,542778;
2017-07-31;2;18,2;999,172312;27,390054;5,5;1,677151;
2017-08-31;2;23,8;996,896371;28,378495;5,1;1,633065;
2017-09-30;1;5,4;996,301528;29,70625;5,9;1,830139;
2017-10-31;2;,8;994,773243;29,478234;5,7;2,03413;
2017-11-30;11;189,8;994,331465;27,496121;7,2;1,717385;
2017-12-31;18;136;994,953763;26,824328;5,1;1,56586;
2018-01-31;20;283,4;995,516129;26,177151;5,6;1,53293;
2018-02-28;25;266;995,754613;25,504018;6,2;1,557887;
2018-03-31;25;355,6;995,72379;26,181317;5,7;1,503898;
2018-04-30;21;316;996,54125;26,164722;5,2;1,414028;
2018-05-31;8;25,4;997,009677;27,193548;4,9;1,493414;
2018-06-30;4;3,2;998,037778;27,124028;5,1;1,555278;
2018-07-31;1;3,2;997,729839;27,772984;5,6;1,562231;
2018-08-31;null;null;998,211885;28,110915;5,2;1,779536;
2018-09-30;null;null;null;null;4,9;null;
2018-10-31;null;null;null;null;5,8;null;
2018-11-30;null;null;null;null;4,8;null;
2018-12-31;4;null;null;null;8,4;null;
2019-01-31;21;255;996,903091;26,15793;6,2;1,507124;
2019-02-28;21;239;996,336309;26,291667;5,7;1,464732;
2019-03-31;25;360,4;996,88293;26,085215;5,7;1,462903;
2019-04-30;17;156,2;996,44625;26,78;5,9;1,403472;
2019-05-31;12;117,6;996,139516;27,28293;5,2;1,403898;
2019-06-30;1;null;998,199653;27,415799;6;1,54184;
2019-07-31;null;null;null;null;5,2;null;
2019-08-31;null;null;null;null;5,2;null;
2019-09-30;null;null;null;null;null;null;
2019-10-31;4;null;null;null;5,5;null;
2019-11-30;1;null;null;null;null;null;
2019-12-31;7;null;null;null;5,9;null;
2020-01-31;21;401,4;996,491816;26,439732;6;1,590179;
2020-02-29;15;null;996,783877;26,617754;5,4;1,552899;
2020-03-31;15;null;null;26,341477;5,6;null;
2020-04-30;11;null;null;null;4,5;null;
2020-05-31;5;null;null;null;null;null;
2020-06-30;null;null;null;null;null;null;
2020-07-31;null;null;null;null;null;null;
2020-08-31;null;null;null;null;null;null;
2020-09-30;null;null;null;null;null;null;
2020-10-31;2;null;null;null;null;null;
2020-11-30;4;null;null;null;5,6;null;
2020-12-31;4;null;null;26,830556;4,3;null;
2021-01-31;7;null;null;null;4,2;null;
2021-02-28;null;null;null;null;null;null;
2021-03-31;null;null;null;null;null;null;
2021-04-30;null;null;null;null;null;null;
2021-05-31;null;null;null;null;null;null;
2021-06-30;null;null;null;null;null;null;
2021-07-31;null;null;null;null;null;null;
2021-08-31;null;null;null;null;null;null;
2021-09-30;null;null;null;null;null;null;
2021-10-31;null;null;null;null;null;null;
2021-11-30;null;null;null;null;null;null;
2021-12-31;null;null;null;null;null;null;
2022-01-31;null;null;null;null;null;null;
2022-02-28;null;null;null;null;null;null;
2022-03-31;null;null;null;null;null;null;
2022-04-30;null;null;null;null;null;null;
2022-05-31;null;null;null;null;null;null;
2022-06-30;null;null;null;null;null;null;
2022-07-31;null;null;null;null;null;null;
2022-08-31;null;null;null;null;null;null;
2022-09-30;null;null;null;null;null;null;
2022-10-31;null;null;null;null;null;null;
2022-11-30;null;null;null;null;null;null;
2022-12-31;null;null;null;null;null;null;
2023-01-31;null;null;null;null;null;null;
2023-02-28;null;null;null;null;null;null;
2023-03-31;7;null;null;null;null;null;
2023-04-30;null;null;null;null;null;null;
2023-05-31;null;null;null;null;null;null;
2023-06-30;null;null;null;null;null;null;
2023-07-31;null;null;null;null;null;null;
2023-08-31;1;null;null;null;null;null;
2023-09-30;1;8;995,90988;29,942724;6,3;1,806498;
2023-10-31;1;null;null;null;null;null;

