Nome: SANTA FE DO ARAGUAIA
Codigo Estacao: A048
Latitude: -7.124191
Longitude: -48.781267
Altitude: 171
Situacao: Operante
Data Inicial: 2016-07-29
Data Final: 2023-10-11
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2016-07-31;1;null;null;null;null;null;
2016-08-31;1;11,2;989,152554;27,365591;8,3;2,115457;
2016-09-30;11;144,2;988,849167;27,020278;11,9;2,073333;
2016-10-31;10;95,8;987,150544;26,413359;null;null;
2016-11-30;16;147;986,429306;26,124028;null;null;
2016-12-31;15;101,4;987,310215;25,55121;null;null;
2017-01-31;21;179;988,063844;25,277823;null;null;
2017-02-28;18;328,8;988,208929;25,035714;null;null;
2017-03-31;25;355;988,182393;25,655376;null;null;
2017-04-30;23;188,2;988,255;25,780694;null;null;
2017-05-31;13;57,6;988,690726;26,63078;null;null;
2017-06-30;4;23,6;989,595139;25,689583;7,7;2,024028;
2017-07-31;0;0;991,578763;25,675941;8,1;2,712366;
2017-08-31;2;49;988,797984;27,563038;7,9;1,967473;
2017-09-30;1;1,2;988,331389;28,47125;7,8;2,550139;
2017-10-31;7;29,8;986,708796;27,849494;11,3;2,304998;
2017-11-30;7;null;null;null;8,6;null;
2017-12-31;18;227,2;987,21207;25,261528;null;null;
2018-01-31;24;211,4;987,788575;24,890054;null;null;
2018-02-28;23;234,8;987,991518;24,775744;null;null;
2018-03-31;28;410,2;988,025941;25,284677;null;null;
2018-04-30;19;148,6;988,830972;25,571806;null;null;
2018-05-31;8;58,2;989,277823;25,95121;6,9;null;
2018-06-30;0;0;990,310972;25,746806;7;1,967222;
2018-07-31;0;0;989,91371;26,486559;7;2,127151;
2018-08-31;5;48,4;989,923925;26,700941;6,8;1,909409;
2018-09-30;9;74,4;987,526944;26,867917;7,5;1,946806;
2018-10-31;10;179,8;987,277823;26,711828;8,7;1,92729;
2018-11-30;16;278,2;986,816528;25,750694;10,5;1,910986;
2018-12-31;16;185,8;988,678763;25,426613;6,9;1,786589;
2019-01-31;22;333;989,16586;24,858333;null;null;
2019-02-28;21;222,8;988,521469;25,467817;null;null;
2019-03-31;22;443,4;989,022312;25,579839;null;null;
2019-04-30;20;263,6;988,634722;25,860972;null;null;
2019-05-31;5;null;null;null;9,5;null;
2019-06-30;null;null;null;null;null;null;
2019-07-31;null;null;null;null;null;null;
2019-08-31;null;null;null;null;null;null;
2019-09-30;null;null;null;null;null;null;
2019-10-31;12;null;null;25,933333;6,8;null;
2019-11-30;18;170,2;986,626806;25,641667;12,1;1,746011;
2019-12-31;15;114,8;986,985484;25,89422;8;1,8375;
2020-01-31;22;252,6;988,623738;25,606849;8,2;1,883462;
2020-02-29;22;321,4;988,791835;25,503673;7,3;1,828898;
2020-03-31;26;531,4;988,689739;25,618351;7,4;1,949352;
2020-04-30;22;428;989,235139;25,752778;6,9;1,809058;
2020-05-31;10;50,2;989,726747;26,373387;6,1;1,776344;
2020-06-30;3;15,6;989,897917;26,019028;7,9;2,288611;
2020-07-31;0;0;989,494758;25,900134;8,9;2,478612;
2020-08-31;1;7,6;988,9066;26,903611;9,1;2,514912;
2020-09-30;3;null;null;27,388447;7,8;null;
2020-10-31;3;null;null;null;6,7;null;
2020-11-30;null;null;null;null;9,9;null;
2020-12-31;null;null;null;null;10,9;null;
2021-01-31;null;null;null;null;null;null;
2021-02-28;null;null;null;null;null;null;
2021-03-31;null;null;null;null;null;null;
2021-04-30;null;null;null;null;null;null;
2021-05-31;null;null;null;null;null;null;
2021-06-30;null;null;null;null;null;null;
2021-07-31;null;null;null;null;null;null;
2021-08-31;null;null;null;null;null;null;
2021-09-30;null;null;null;null;null;null;
2021-10-31;null;null;null;null;null;null;
2021-11-30;null;null;null;null;null;null;
2021-12-31;null;null;null;null;null;null;
2022-01-31;null;null;null;null;null;null;
2022-02-28;null;null;null;null;null;null;
2022-03-31;null;null;null;null;null;null;
2022-04-30;15;null;987,719712;25,972917;7,4;1,75186;
2022-05-31;4;22,2;989,461559;25,885215;8;1,788844;
2022-06-30;9;60,2;989,219353;25,713506;7;1,80129;
2022-07-31;0;0;989,602548;26,406317;7,6;2,20502;
2022-08-31;1;1,6;988,914516;27,415457;8,4;2,18414;
2022-09-30;3;30,8;987,99804;27,637869;12;2,192183;
2022-10-31;7;79,4;987,036205;27,514011;8,8;2,045332;
2022-11-30;21;238,6;987,550442;25,325458;8,5;2,144981;
2022-12-31;21;213,8;987,390618;25,093891;8,3;1,674639;
2023-01-31;19;157,8;988,458315;25,116781;7,6;1,69248;
2023-02-28;21;null;988,200931;25,642081;7,4;1,800027;
2023-03-31;25;381,4;988,616271;25,255572;7,8;1,819804;
2023-04-30;21;255,6;987,987361;25,903194;5,9;1,640435;
2023-05-31;10;130,2;989,116123;26,545006;6,6;1,733629;
2023-06-30;0;0;990,191667;26,623419;6,6;1,951006;
2023-07-31;0;0;990,365416;26,634905;7,8;2,108403;
2023-08-31;6;31,6;989,022312;27,39328;9,1;2,026613;
2023-09-30;7;151,2;988,072764;27,664747;8,7;1,829942;
2023-10-31;4;null;null;null;null;null;

