Nome: RIO SONO
Codigo Estacao: A050
Latitude: -9.793363
Longitude: -47.132732
Altitude: 291
Situacao: Operante
Data Inicial: 2016-08-02
Data Final: 2023-10-11
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2016-08-31;null;null;null;27,948148;null;null;
2016-09-30;4;24,2;976,085223;28,54305;7,9;2,167844;
2016-10-31;5;18,8;974,290874;28,355196;10;2,132726;
2016-11-30;13;71,8;973,722615;27,530556;6,4;1,850162;
2016-12-31;14;142,6;974,559898;26,695617;7,3;1,695517;
2017-01-31;19;259,2;975,240252;25,358602;6,8;1,444232;
2017-02-28;23;null;975,644499;24,757659;8,9;1,500817;
2017-03-31;20;134,8;975,421846;25,611994;6;1,337561;
2017-04-30;12;156;975,572222;26,45375;null;null;
2017-05-31;2;2;976,285507;26,451566;null;null;
2017-06-30;null;0;977,489194;24,509052;null;null;
2017-07-31;0;0;980,029839;23,52957;null;null;
2017-08-31;null;0;976,639784;26,479178;null;null;
2017-09-30;null;0;976,4646;28,510519;null;null;
2017-10-31;2;10;973,8432;29,539656;null;null;
2017-11-30;18;140,4;973,921115;26,42662;null;null;
2017-12-31;26;358,8;974,519271;25,431834;5,3;1,469147;
2018-01-31;23;210,4;975,145383;25,052466;7,5;1,533497;
2018-02-28;23;364,2;975,243317;24,894035;6,1;1,420245;
2018-03-31;16;259;975,425573;25,414667;7,7;1,485635;
2018-04-30;15;112,2;976,292162;25,623068;6,3;1,46061;
2018-05-31;3;6,8;977,031941;25,460295;6,6;1,696742;
2018-06-30;1;,6;978,221452;23,863398;5,8;1,791965;
2018-07-31;0;0;978,085753;23,772177;6,6;1,804839;
2018-08-31;2;12,8;977,538441;26,220161;7;2,038172;
2018-09-30;null;null;974,657102;27,951431;7,9;1,818792;
2018-10-31;15;332,6;974,536091;26,511338;6,9;1,52549;
2018-11-30;20;295;974,334263;25,758656;6,9;1,563507;
2018-12-31;19;345,2;976,129704;25,249176;6,4;1,53885;
2019-01-31;17;138,2;976,401747;25,555108;7,4;1,500672;
2019-02-28;20;246;975,818922;25,067085;8,5;1,460384;
2019-03-31;23;267,8;976,248019;25,453758;7,9;1,437535;
2019-04-30;17;165,8;976,021727;25,829958;7,4;1,392729;
2019-05-31;10;null;975,944097;25,73941;6,3;1,449306;
2019-06-30;null;null;null;null;null;null;
2019-07-31;null;null;null;23,947588;6,8;null;
2019-08-31;null;null;null;24,862845;8,7;null;
2019-09-30;null;null;null;null;null;null;
2019-10-31;12;null;974,661375;27,613584;8,9;1,826366;
2019-11-30;17;160,4;973,782114;26,896806;6,5;1,629004;
2019-12-31;13;158,2;974,092876;27,161156;7,1;1,645699;
2020-01-31;24;285,8;975,800467;25,968811;5,6;1,48885;
2020-02-29;19;184,4;976,057265;25,8188;11,4;1,468197;
2020-03-31;25;290,4;976,069057;25,638295;7;1,495734;
2020-04-30;16;278,4;976,693333;26,004861;5,4;1,512639;
2020-05-31;12;39,4;977,535081;26,246102;6,3;1,685081;
2020-06-30;0;0;978,045694;24,711944;7;1,987222;
2020-07-31;0;0;977,788844;24,122849;7,5;2,069624;
2020-08-31;0;0;977,025403;25,632258;7,6;2,096102;
2020-09-30;1;,4;975,777228;27,871715;7,8;2,208967;
2020-10-31;9;79,4;974,374832;28,051518;6,5;1,833159;
2020-11-30;17;266;974,78062;26,495393;6,7;1,814599;
2020-12-31;18;182,2;974,681167;26,266241;8,4;1,489126;
2021-01-31;17;null;974,748883;25,465007;6,4;1,386783;
2021-02-28;24;416,2;975,225757;24,910397;6,1;1,564609;
2021-03-31;22;272,2;975,321864;25,681962;7,4;1,382761;
2021-04-30;14;200,2;975,577083;25,448472;6,4;1,464306;
2021-05-31;1;,2;976,991263;25,146774;5,7;1,491129;
2021-06-30;1;null;977,339103;24,754197;7,2;1,594224;
2021-07-31;null;null;null;null;6,9;null;
2021-08-31;null;null;null;null;7,2;null;
2021-09-30;null;null;null;null;5,8;null;
2021-10-31;null;null;null;null;5,1;null;
2021-11-30;null;null;null;null;4,2;null;
2021-12-31;null;null;null;null;6,7;null;
2022-01-31;null;null;null;null;4,2;null;
2022-02-28;null;null;null;null;3,4;null;
2022-03-31;null;null;null;null;5,5;null;
2022-04-30;null;null;null;null;6,5;null;
2022-05-31;null;null;null;null;6,2;null;
2022-06-30;null;null;null;null;5,9;null;
2022-07-31;null;null;null;null;6,6;null;
2022-08-31;null;null;null;null;7,8;null;
2022-09-30;null;null;null;null;7;null;
2022-10-31;null;null;null;null;6,7;null;
2022-11-30;null;null;null;null;6,1;null;
2022-12-31;null;null;null;null;5;null;
2023-01-31;null;null;null;null;4;null;
2023-02-28;1;null;null;null;6,4;null;
2023-03-31;21;181,8;975,979813;25,224488;7,1;1,392564;
2023-04-30;15;101,4;975,354909;26,153291;7,3;1,38436;
2023-05-31;5;64,6;976,805462;26,300042;6,3;1,533084;
2023-06-30;0;0;978,209483;25,44727;6,6;1,776149;
2023-07-31;null;0;978,451281;24,829911;8,6;1,821012;
2023-08-31;3;2,2;976,86707;26,397715;6,2;1,86922;
2023-09-30;7;31;975,487684;28,343625;9,8;1,963023;
2023-10-31;6;null;null;null;null;null;

