Nome: SANTA ROSA DO TOCANTINS
Codigo Estacao: A052
Latitude: -11.42888888
Longitude: -48.18499999
Altitude: 306
Situacao: Operante
Data Inicial: 2015-08-13
Data Final: 2023-10-11
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2015-08-31;null;null;null;null;null;null;
2015-09-30;1;,2;976,601667;28,810972;7,3;2,267361;
2015-10-31;3;23,8;976,287634;29,163306;8,8;2,405914;
2015-11-30;19;175,6;975,603889;27,365278;9,6;2,139609;
2015-12-31;17;101,4;976,961828;27,459812;9,7;2,164919;
2016-01-31;28;330;977,293817;25,175;8,1;2,010081;
2016-02-29;13;83,2;977,087931;26,890805;5,2;1,837644;
2016-03-31;20;161,8;977,864113;26,785215;null;null;
2016-04-30;7;11,4;976,963472;27,163056;null;null;
2016-05-31;3;2,4;978,694355;27,081855;null;null;
2016-06-30;2;19,8;980,348472;26,152639;null;null;
2016-07-31;0;0;979,75578;25,909946;null;null;
2016-08-31;0;0;978,445565;28,07621;8,5;null;
2016-09-30;4;11;977,666528;28,622361;8,9;null;
2016-10-31;8;null;976,016939;27,794694;10,5;null;
2016-11-30;15;78,6;975,378889;27,669306;6,9;2,216389;
2016-12-31;22;255;976,314247;26,135753;null;null;
2017-01-31;18;157,8;976,884579;25,226786;null;null;
2017-02-28;16;131,6;977,273462;24,542191;null;null;
2017-03-31;7;null;null;25,77029;null;null;
2017-04-30;null;null;null;null;null;null;
2017-05-31;2;null;null;null;null;null;
2017-06-30;0;0;979,405694;25,065417;7,4;2,417361;
2017-07-31;0;0;982,171102;23,601613;7,7;3,214651;
2017-08-31;0;0;978,310484;26,870565;8;2,400672;
2017-09-30;0;0;978,285695;28,733333;8,4;3,215833;
2017-10-31;6;56,4;975,374866;29,699194;7;2,4375;
2017-11-30;19;197,8;975,598889;26,276945;9,1;2,232917;
2017-12-31;23;293,2;976,293952;25,270699;10,7;2,0125;
2018-01-31;22;158,4;976,833736;24,725806;7;1,672177;
2018-02-28;26;358,4;976,789435;24,769048;8,3;1,813839;
2018-03-31;25;358;977,015188;25,46586;9,3;1,930914;
2018-04-30;17;106,8;978,182917;25,040139;8,8;1,850278;
2018-05-31;5;4,2;978,903091;25,373253;7;2,138038;
2018-06-30;0;0;980,192917;24,539306;5,9;2,1975;
2018-07-31;0;0;979,979301;24,459812;6,6;2,427957;
2018-08-31;2;5,4;979,187097;26,975941;6,7;2,478763;
2018-09-30;null;null;976,204028;28,258056;7,1;2,139444;
2018-10-31;null;null;976,110258;27,161351;9,4;2,163985;
2018-11-30;12;null;976,005579;25,991728;null;null;
2018-12-31;null;null;null;null;null;null;
2019-01-31;null;null;null;null;null;null;
