Nome: CRISTALINA (FAZENDA SANTA MONICA)
Codigo Estacao: A056
Latitude: -16.39944444
Longitude: -47.62583332
Altitude: 932
Situacao: Operante
Data Inicial: 2018-01-24
Data Final: 2023-10-11
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2018-01-31;1;null;null;null;null;null;
2018-02-28;18;272,4;907,067378;21,946642;10,6;1,99289;
2018-03-31;13;99,6;907,552364;23,120177;7,3;1,981608;
2018-04-30;12;87,6;909,786667;21,255278;6,4;1,81125;
2018-05-31;2;15,4;911,037527;19,516268;8,4;1,629683;
2018-06-30;null;0;911,972092;19,362049;6,6;1,548172;
2018-07-31;0;0;911,918011;18,783333;7,3;1,644893;
2018-08-31;4;4,6;911,172984;21,569489;6,8;2,156317;
2018-09-30;5;62,4;908,255593;23,146768;10,3;2,393599;
2018-10-31;14;146;907,397733;24,091456;9,8;2,554961;
2018-11-30;20;326,8;907,320646;21,776999;7,9;2,499958;
2018-12-31;14;267;908,169963;22,588353;8,4;2,267251;
2019-01-31;9;60,8;909,427723;23,128506;8,3;1,759613;
2019-02-28;14;153;907,967081;23,179937;9,7;1,984207;
2019-03-31;17;211,8;908,818198;22,765112;8,3;1,928296;
2019-04-30;14;125;908,858611;22,405278;8,6;1,486111;
2019-05-31;6;83,6;909,635484;21,160887;5,5;1,322177;
2019-06-30;1;3,8;912,516944;18,796528;6,4;1,762917;
2019-07-31;1;1,4;912,056452;18,43871;7,2;1,963978;
2019-08-31;null;0;912,559182;20,854048;7,7;2,149907;
2019-09-30;4;8,6;909,473611;23,847083;8,8;2,556528;
2019-10-31;7;61,8;907,58026;24,851987;9,5;2,608088;
2019-11-30;16;173;906,538774;23,80311;12,3;2,427762;
2019-12-31;17;165,2;907,303097;23,192765;7,1;1,949486;
2020-01-31;20;470,8;907,053267;22,85862;7,9;2,153986;
2020-02-29;20;292,6;908,382502;22,268516;8,7;2,088512;
2020-03-31;18;188,4;908,189095;22,551028;7,6;2,009958;
2020-04-30;10;155,2;909,710972;21,9075;8,4;1,825972;
2020-05-31;6;44,8;911,076478;18,956048;6,5;1,535484;
2020-06-30;4;,8;911,827778;18,596667;5,3;1,584445;
2020-07-31;0;0;911,584005;18,627419;6,7;1,941129;
2020-08-31;0;0;911,168683;19,722043;8,4;2,47043;
2020-09-30;2;10,6;909,830906;22,833829;9,1;2,303515;
2020-10-31;14;142,8;907,388172;24,241129;9,8;2,721505;
2020-11-30;15;160;907,508056;22,658472;7,9;2,3775;
2020-12-31;14;295,8;907,26987;22,717612;9,5;1,776713;
2021-01-31;10;null;907,518324;22,343552;6,5;1,594954;
2021-02-28;22;381,8;906,6016;22,067203;9,7;2,050772;
2021-03-31;11;107;908,074874;22,60366;8,5;1,896752;
2021-04-30;9;161,8;908,649444;21,348195;6;1,504861;
2021-05-31;1;,2;910,553898;20,011828;5,2;1,150134;
2021-06-30;0;0;911,194444;18,799861;6,6;1,456806;
2021-07-31;0;0;912,507124;17,765188;6,4;1,550403;
2021-08-31;0;0;911,45914;19,891532;8,6;1,833871;
2021-09-30;null;0;908,907659;24,500862;9,7;2,237996;
2021-10-31;null;null;null;null;8,3;null;
2021-11-30;13;null;906,538024;22,314281;9,5;2,396518;
2021-12-31;21;414,2;905,568175;22,01686;10,4;2,038667;
2022-01-31;18;186,8;907,201211;21,965222;7,4;1,955475;
2022-02-28;23;297,6;907,53243;22,310048;6,9;1,582806;
2022-03-31;7;82,6;907,856616;23,042603;7,7;1,691592;
2022-04-30;3;59;908,484384;22,348635;7,5;1,381347;
2022-05-31;1;6,4;910,470968;18,923387;6,8;1,274462;
2022-06-30;0;0;910,612047;18,672525;5;1,210698;
2022-07-31;null;0;911,730791;18,300429;8;1,553889;
2022-08-31;0;0;910,823071;20,249346;8,6;1,971067;
2022-09-30;2;33,2;909,087069;22,891962;10;2,324214;
2022-10-31;5;null;907,95839;23,80157;10,7;2,646189;
2022-11-30;14;null;906,714833;21,577474;10;2,266861;
2022-12-31;18;null;906,239797;21,929058;9,2;2,349692;
2023-01-31;13;null;907,821356;21,673321;7,8;1,546753;
2023-02-28;11;null;908,205267;23,262392;7,3;1,816922;
2023-03-31;11;null;908,652248;22,895869;10,3;1,830915;
2023-04-30;15;91;908,406854;21,895018;6,8;1,553086;
2023-05-31;null;0;910,521256;19,709607;6,3;,957271;
2023-06-30;3;3,8;912,14454;18,758477;6,2;1,212213;
2023-07-31;0;0;912,243864;19,435928;6,8;1,413073;
2023-08-31;2;2,2;910,372849;21,457393;8,8;1,801478;
2023-09-30;null;null;909,125381;24,53872;9,5;2,364111;
2023-10-31;3;null;null;null;null;null;

