Nome: PARQUE ESTADUAL CHANDLESS
Codigo Estacao: A102
Latitude: -9.35833333
Longitude: -69.92638888
Altitude: 184.51
Situacao: Pane
Data Inicial: 2008-08-04
Data Final: 2023-10-11
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2008-08-31;null;null;null;null;null;null;
2008-09-30;5;null;991,726167;24,946;3,2;,519333;
2008-10-31;19;136,8;990,329704;25,472177;3,2;,489651;
2008-11-30;21;251,4;988,607597;25,197367;3,1;,334632;
2008-12-31;27;378,2;988,691129;24,897715;2,5;,290591;
2009-01-31;26;252,8;990,156545;24,793928;3,2;,277004;
2009-02-28;24;244,4;989,426881;24,640368;2,7;,30533;
2009-03-31;25;51,8;989,492204;24,732661;2,6;,25793;
2009-04-30;30;329,2;990,91875;24,853194;2,7;,290556;
2009-05-31;14;null;null;25,110156;2,7;null;
2009-06-30;14;69,2;993,235635;23,509821;2,7;,401131;
2009-07-31;15;26,4;992,611559;23,697043;3,4;,359543;
2009-08-31;14;70,8;991,377016;24,622446;2,8;,44543;
2009-09-30;6;79,4;991,343333;25,562083;3,8;,575;
2009-10-31;15;104,8;988,848707;25,975718;4,2;,501724;
2009-11-30;22;314,8;987,439583;25,804167;4,4;,433611;
2009-12-31;25;407;989,163441;25,215726;3,7;,426613;
2010-01-31;26;312,6;989,343121;25,433321;3;,467265;
2010-02-28;19;null;null;25,870644;3,1;null;
2010-03-31;null;null;null;null;null;null;
2010-04-30;null;null;null;null;null;null;
2010-05-31;null;null;null;null;null;null;
2010-06-30;null;null;null;null;null;null;
2010-07-31;null;null;null;null;null;null;
2010-08-31;null;null;null;null;null;null;
2010-09-30;null;null;null;null;null;null;
2010-10-31;null;null;null;null;null;null;
2010-11-30;null;null;null;null;null;null;
2010-12-31;null;null;null;null;null;null;
2011-01-31;null;null;null;null;null;null;
2011-02-28;null;null;null;null;null;null;
2011-03-31;null;null;null;null;null;null;
2011-04-30;null;null;null;null;null;null;
2011-05-31;null;null;null;null;null;null;
2011-06-30;null;null;null;null;null;null;
2011-07-31;null;null;null;null;null;null;
2011-08-31;null;null;null;null;null;null;
2011-09-30;null;null;null;null;null;null;
2011-10-31;null;null;null;null;null;null;
2011-11-30;null;null;null;null;null;null;
2011-12-31;null;null;null;null;null;null;
2012-01-31;null;null;null;null;null;null;
2012-02-29;null;null;null;null;null;null;
2012-03-31;null;null;null;null;null;null;
2012-04-30;null;null;null;null;null;null;
2012-05-31;null;null;null;null;null;null;
2012-06-30;null;null;null;null;null;null;
2012-07-31;null;null;null;null;null;null;
2012-08-31;null;null;null;null;null;null;
2012-09-30;null;null;null;null;null;null;
2012-10-31;9;null;null;25,667544;6,2;null;
2012-11-30;13;null;null;25,510971;5,3;null;
2012-12-31;null;null;null;null;null;null;
2013-01-31;24;427,8;993,51358;25,050154;4,4;,708796;
2013-02-28;24;194,8;987,502976;24,944643;6,2;,595685;
2013-03-31;28;484,6;988,285972;25,165517;5,4;,577639;
2013-04-30;11;null;null;null;null;null;
2013-05-31;null;null;null;null;null;null;
2013-06-30;null;null;null;null;null;null;
2013-07-31;null;null;null;null;null;null;
2013-08-31;null;null;null;null;null;null;
2013-09-30;null;null;null;null;null;null;
2013-10-31;null;null;null;null;null;null;
2013-11-30;null;null;null;null;null;null;
2013-12-31;null;null;null;null;null;null;
2014-01-31;null;null;null;null;null;null;
2014-02-28;null;null;null;null;null;null;
2014-03-31;null;null;null;null;null;null;
2014-04-30;null;null;null;null;null;null;
2014-05-31;null;null;null;null;null;null;
2014-06-30;null;null;null;null;null;null;
2014-07-31;9;null;null;null;null;null;
2014-08-31;20;23,2;991,910887;24,030376;4,8;,828226;
2014-09-30;18;119,8;989,920556;25,340556;5,5;,894583;
2014-10-31;26;203,4;989,543145;24,881183;6;,876613;
2014-11-30;24;369,6;988,152222;24,906944;4,8;,944028;
2014-12-31;30;369;988,528629;25,043952;5,2;,980108;
2015-01-31;27;303,2;990,395979;24,471202;5,2;,803021;
2015-02-28;25;277,8;989,385566;24,915327;4;,818304;
2015-03-31;24;411,2;989,514905;24,879167;4,3;,810972;
2015-04-30;28;202,6;990,295278;24,91625;4,9;,808889;
2015-05-31;24;105;991,185618;24,54086;4,7;,783064;
2015-06-30;null;null;992,431667;24,155278;4,1;,687778;
2015-07-31;27;25;992,119355;24,076882;5,5;,778226;
2015-08-31;23;103,6;990,464785;25,724328;4,4;,757392;
