Nome: RIO BRANCO
Codigo Estacao: A104
Latitude: -9.67972221
Longitude: -68.16527777
Altitude: 163
Situacao: Operante
Data Inicial: 2008-07-10
Data Final: 2023-10-11
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2008-07-31;null;null;null;null;6,2;null;
2008-08-31;null;null;null;null;11,6;null;
2008-09-30;7;148,8;986,109444;26,000556;9,5;2,290833;
2008-10-31;13;136,4;984,98293;25,932258;9;2,239382;
2008-11-30;20;196,6;983,175501;25,854559;7,1;2,119215;
2008-12-31;22;364,2;983,319489;24,974194;7,1;1,929301;
2009-01-31;24;256,2;984,723177;25,048814;7,9;1,964797;
2009-02-28;23;193,4;984,058605;24,589441;7,4;1,946474;
2009-03-31;24;284,8;984,157258;24,935618;6;1,402285;
2009-04-30;25;329,4;985,6425;24,659861;5;,586389;
2009-05-31;20;99,6;985,970161;24,879032;5,5;,692876;
2009-06-30;12;71,4;988,015;22,962639;6,4;,912917;
2009-07-31;9;12,2;987,310349;24,15121;7,7;,690457;
2009-08-31;5;35,8;985,963978;26,002419;8,8;1,466667;
2009-09-30;6;108,4;985,98875;26,377639;7,3;2,246389;
2009-10-31;8;76,2;983,378017;26,688075;7;1,776293;
2009-11-30;15;176;982,088056;26,161111;6;1,822778;
2009-12-31;27;461;983,87379;24,85578;8,2;1,649731;
2010-01-31;27;255,8;984,068512;25,454289;7,5;1,737928;
2010-02-28;19;190,4;983,688095;25,864137;7,2;1,32619;
2010-03-31;26;188,8;984,371237;25,730645;8,1;1,078091;
2010-04-30;11;83;985,467917;25,890417;6,5;1,173611;
2010-05-31;9;13,4;986,57957;24,284543;7,8;1,219489;
2010-06-30;3;21,2;987,92;25,172917;6,6;1,098472;
2010-07-31;6;10,4;987,857527;23,881989;7;1,621909;
2010-08-31;4;6,4;986,86564;26,277862;7,7;1,582023;
2010-09-30;4;7,2;984,49375;27,667778;7,9;1,956111;
2010-10-31;13;99;984,170968;26,511156;8,3;1,69664;
2010-11-30;21;134,8;982,913056;25,554444;9,3;1,644306;
2010-12-31;20;138,8;982,289516;25,197849;7;1,825134;
2011-01-31;23;176,2;982,858737;24,912231;6,5;1,621774;
2011-02-28;21;277;984,139583;24,562054;6,7;1,357292;
2011-03-31;22;167,6;983,888055;24,666913;5,6;1,102342;
2011-04-30;25;238,4;984,906389;25,012917;6,4;,976944;
2011-05-31;8;41,2;986,353495;24,440457;7,3;1,169489;
2011-06-30;9;28,8;986,769861;24,771528;6,9;1,130139;
2011-07-31;1;4;986,549866;25,240726;8,2;1,650134;
2011-08-31;5;21;986,762769;25,545161;10,9;1,518414;
2011-09-30;8;146,4;986,421111;26,496945;6,7;,983472;
2011-10-31;18;157,8;983,329704;25,424194;7,4;,841801;
2011-11-30;16;222,2;982,983333;26,104028;7,2;,888611;
2011-12-31;23;223,2;983,572177;25,199194;9,2;,830376;
2012-01-31;27;521,6;984,269758;24,464651;7,2;,648656;
2012-02-29;27;535,4;984,226006;24,286638;5,2;,362931;
2012-03-31;24;260,2;985,499059;24,741398;5,8;,281183;
2012-04-30;18;80,8;985,159305;25,221389;7,3;,273472;
2012-05-31;2;20,4;986,482527;24,845699;6,3;,148656;
2012-06-30;10;108,2;987,848472;24,25;8;,201111;
2012-07-31;3;30,6;988,066764;24,205645;6,2;,607771;
2012-08-31;5;16,2;987,664554;25,669028;7,8;1,754359;
2012-09-30;6;59,2;986,545972;26,69625;10,1;1,948889;
2012-10-31;15;278,6;984,37164;25,996371;8,4;1,732392;
2012-11-30;21;281,2;983,393333;25,793055;7,4;1,840694;
2012-12-31;24;230,6;983,63414;25,097446;6,2;1,751479;
2013-01-31;23;370,8;985,048656;25,358737;7,6;1,781855;
2013-02-28;22;282,2;984,480952;25,250298;5,6;1,806399;
2013-03-31;24;257,2;985,254417;25,123707;5,9;1,650389;
2013-04-30;12;63,4;986,074167;25,404306;7;1,871111;
2013-05-31;17;81,2;986,825;24,66371;5,7;1,46922;
2013-06-30;16;33,8;987,06596;25,152083;5,8;1,167197;
2013-07-31;null;null;988,756025;24,015954;6,4;1,513102;
2013-08-31;8;71,8;987,480193;24,253514;7,5;2,00756;
2013-09-30;9;null;986,155769;25,980609;8,6;1,955128;
2013-10-31;17;140,8;985,014382;25,362366;7,9;1,288441;
2013-11-30;22;233,8;983,127361;25,360278;7,4;1,626806;
2013-12-31;22;244,4;983,765323;25,528629;6,3;2,021774;
2014-01-31;26;391,2;984,876344;24,868145;5,5;1,846505;
2014-02-28;23;250,4;984,568452;24,854762;6,5;1,728125;
2014-03-31;26;312,8;985,509005;24,84328;6,7;1,47715;
2014-04-30;18;155,8;988,089167;25,044583;5,2;,780417;
2014-05-31;20;null;null;25,277381;5;null;
2014-06-30;null;null;null;null;null;null;
2014-07-31;null;null;null;null;null;null;
2014-08-31;null;null;null;null;null;null;
2014-09-30;null;null;null;null;null;null;
2014-10-31;null;null;null;null;null;null;
2014-11-30;null;null;null;null;null;null;
2014-12-31;13;null;null;24,984524;6,4;null;
2015-01-31;26;297,8;986,113026;24,381978;7;1,35772;
2015-02-28;23;284,8;985,099405;24,920685;7,5;1,609821;
2015-03-31;11;null;null;null;null;null;
2015-04-30;null;null;null;null;null;null;
2015-05-31;5;null;null;null;null;null;
2015-06-30;null;null;null;null;null;null;
2015-07-31;null;null;null;null;null;null;
2015-08-31;null;null;null;null;null;null;
