Nome: HUMAITA
Codigo Estacao: A112
Latitude: -7.5525
Longitude: -63.07138888
Altitude: 53.56
Situacao: Operante
Data Inicial: 2008-04-24
Data Final: 2023-10-11
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2008-04-30;3;null;null;null;null;null;
2008-05-31;21;179;1005,249065;25,125888;6,9;1,427139;
2008-06-30;10;13,2;1006,172639;24,773611;5,3;1,338056;
2008-07-31;0;0;1005,697849;26,19664;5,1;1,151344;
2008-08-31;3;24;1003,55793;27,865591;6,7;1,280511;
2008-09-30;14;95,8;1004,650972;26,840833;7,4;1,464861;
2008-10-31;12;81,8;1003,842204;26,847984;9,3;1,496237;
2008-11-30;21;266,8;1002,385918;26,553786;7,6;1,194294;
2008-12-31;28;288;1002,710215;25,850538;6,4;1,235618;
2009-01-31;24;298,2;1003,914703;26,023329;6,1;1,369203;
2009-02-28;19;451;1003,354248;25,948214;5,7;1,42661;
2009-03-31;30;382,6;1003,366801;25,941129;7,3;1,222984;
2009-04-30;26;353;1004,558056;25,970972;6,3;1,136667;
2009-05-31;24;220,8;1004,929704;25,856183;6,1;1,091935;
2009-06-30;24;74,2;1006,078333;25,515;5,5;1,186806;
2009-07-31;14;20,6;1005,581586;25,949328;6,8;1,042608;
2009-08-31;10;43;1004,431048;26,737769;9,6;1,22621;
2009-09-30;11;75,6;1004,645139;27,224028;11,4;1,422917;
2009-10-31;18;160,2;1002,486925;27,221264;7,8;1,336925;
2009-11-30;18;182,2;1001,352361;26,97625;7,1;1,385972;
2009-12-31;24;246,4;1003,229839;25,942339;6,8;1,290054;
2010-01-31;21;294;1003,564761;26,140977;6,4;1,339982;
2010-02-28;null;null;null;null;null;null;
2010-03-31;null;null;null;null;null;null;
2010-04-30;null;null;null;null;null;null;
2010-05-31;null;null;null;null;null;null;
2010-06-30;null;null;null;null;null;null;
2010-07-31;3;46,8;1006,059946;25,603091;6,2;1,323925;
2010-08-31;1;3;1005,198575;26,660085;6,2;1,304831;
2010-09-30;9;null;1003,663848;28,017701;9,6;1,372865;
2010-10-31;null;null;null;null;null;null;
2010-11-30;null;null;null;null;null;null;
2010-12-31;16;253;1001,63125;26,205655;6,2;1,251786;
2011-01-31;25;322;1002,490591;25,763575;5,2;1,253226;
2011-02-28;24;362,8;1003,520089;25,669048;6;1,230804;
2011-03-31;24;407,4;1003,058284;25,834083;5;1,14293;
2011-04-30;20;224,6;1003,978611;25,969444;5,4;1,071806;
2011-05-31;17;155,4;1004,513844;25,940591;5;1,214651;
2011-06-30;3;22,8;1005,182778;26,069028;8,5;1,082917;
2011-07-31;3;8,2;1005,014919;26,298118;4,8;1,172581;
2011-08-31;2;7,4;1005,105376;27,113979;7,7;1,360618;
2011-09-30;15;116,6;1005,057361;27,181389;7,5;1,274722;
2011-10-31;17;119,6;1002,375403;26,604839;6,9;1,238844;
2011-11-30;18;191;1002,31875;26,321806;7,2;1,311806;
2011-12-31;23;260,2;1002,66586;26,305511;5,2;1,27043;
2012-01-31;28;209;1003,731989;25,575941;7,1;1,343817;
2012-02-29;27;223,4;1003,589511;25,349425;5,1;,919971;
2012-03-31;26;254,8;1004,463978;25,697312;7,2;,838978;
2012-04-30;22;495,2;1004,105417;26,041389;8,7;,680972;
2012-05-31;10;49,6;1005,052151;26,20914;7,3;,629839;
2012-06-30;15;78,2;1006,288194;25,68;8,1;,819028;
2012-07-31;3;4;1006,099866;25,540726;5,1;,815995;
2012-08-31;null;0;1005,749386;26,719306;5,8;,746985;
2012-09-30;4;null;null;null;null;null;
2012-10-31;2;null;null;null;null;null;
2012-11-30;25;260,2;1002,411389;26,81125;6,4;1,409028;
2012-12-31;27;239,4;1002,632392;26,039516;8,3;1,404301;
2013-01-31;25;486,6;1004,033199;26,206317;6,3;1,303495;
2013-02-28;25;318,4;1003,576934;25,963542;6,8;1,273661;
2013-03-31;21;336,4;1004,107222;26,522845;7,2;1,348472;
2013-04-30;19;214,6;1004,646806;26,403333;5,1;1,288472;
2013-05-31;4;null;null;null;5,9;null;
2013-06-30;null;null;null;null;null;null;
2013-07-31;null;null;null;null;null;null;
2013-08-31;null;null;null;null;null;null;
2013-09-30;null;null;null;null;null;null;
2013-10-31;null;null;null;null;null;null;
2013-11-30;null;null;null;null;null;null;
2013-12-31;null;null;null;null;null;null;
2014-01-31;null;null;null;null;null;null;
2014-02-28;null;null;null;null;null;null;
2014-03-31;null;null;null;null;null;null;
2014-04-30;null;null;null;null;null;null;
2014-05-31;null;null;null;null;null;null;
2014-06-30;null;null;null;null;null;null;
2014-07-31;null;null;null;null;null;null;
2014-08-31;null;null;null;null;null;null;
2014-09-30;2;null;null;null;null;null;
2014-10-31;19;219,6;1004,18871;26,367204;7,5;1,154704;
2014-11-30;19;176,6;1003,094028;26,210556;9,8;1,227917;
2014-12-31;21;565,2;1003,42836;26,425672;6,3;1,276344;
2015-01-31;29;243,8;1005,053985;25,907071;8,3;1,299573;
2015-02-28;23;373,4;1004,427232;25,921293;7,1;1,361103;
2015-03-31;24;365;1004,370359;26,304583;7,1;1,205603;
2015-04-30;26;298,8;1004,759444;26,319583;7,3;1,171389;
2015-05-31;21;194,6;1005,476613;26,188038;7,6;1,075134;
2015-06-30;20;32,8;1006,461667;26,207222;6,7;1,123194;
2015-07-31;9;21,8;1006,093683;26,13293;6,5;1,151882;
2015-08-31;5;9,8;1004,574059;27,677285;5,2;1,203091;
2015-09-30;7;58,2;1003,716389;28,470417;7,1;1,267778;
2015-10-31;13;214,4;1003,795564;27,949462;7,4;1,30121;
2015-11-30;13;129;1002,448472;27,768333;6,4;1,084028;
2015-12-31;19;150,6;1004,057796;26,984543;7,5;1,17043;
2016-01-31;3;null;null;null;null;null;
2016-02-29;null;null;null;null;null;null;
2016-03-31;null;null;null;null;null;null;
2016-04-30;null;null;null;null;null;null;
2016-05-31;null;null;null;null;null;null;
2016-06-30;null;null;null;null;null;null;
2016-07-31;null;null;null;null;null;null;
2016-08-31;null;null;null;null;null;null;
2016-09-30;5;null;null;null;12,4;null;
2016-10-31;13;144;1003,216345;27,435677;6,4;1,208935;
2016-11-30;17;168,2;1002,476944;26,685417;10,2;1,31125;
2016-12-31;23;320,8;1003,49664;26,065726;7,3;1,123387;
2017-01-31;25;576,8;1004,461425;25,826344;4;,198925;
2017-02-28;21;398,2;1004,233482;25,877232;5,5;,241072;
2017-03-31;25;499,2;1004,247446;26,137634;5;,141398;
2017-04-30;20;262,8;1004,748194;26,352917;5,9;,197361;
2017-05-31;21;77,8;1005,006586;26,718548;3,5;,11129;
2017-06-30;12;41,6;1005,962361;25,764167;3,6;,206944;
2017-07-31;1;,2;1007,770161;25,512903;4,8;,345296;
2017-08-31;8;69;1004,856989;27,595564;8,3;,169489;
2017-09-30;6;91;1004,762083;27,364445;9,2;,177083;
2017-10-31;22;148,8;1003,534543;26,841398;6,7;,19207;
2017-11-30;21;213,2;1002,441528;26,535694;7,5;,120833;
2017-12-31;27;341,6;1003,124328;25,92379;6,2;,198387;
2018-01-31;27;253,6;1003,833333;26,130511;6,1;,219624;
2018-02-28;27;448,4;1003,988988;25,849554;5,1;,1625;
2018-03-31;27;130,2;1003,963844;26,2125;5,7;,170296;
2018-04-30;25;275,8;1005,106528;26,085;6;,401389;
2018-05-31;19;134;1005,795296;26,048522;7,1;,788038;
2018-06-30;7;3,6;1007,324861;24,97875;6;1,215694;
2018-07-31;2;6,4;1006,482124;25,64086;5,1;,983737;
2018-08-31;10;39,8;1006,675538;26,449731;7;1,225538;
2018-09-30;12;62;1003,816964;27,198661;10,1;1,16756;
2018-10-31;15;161,8;1002,909952;27,220342;7,9;1,305154;
2018-11-30;21;234,8;1002,531902;26,631987;6,3;1,207905;
2018-12-31;21;392,4;1004,789919;25,849731;6,3;1,12957;
2019-01-31;27;388;1005,064785;26,096505;5,8;1,271102;
2019-02-28;26;314,8;1004,466518;26,286012;6,5;1,215774;
2019-03-31;22;253,8;1004,471481;26,444109;5,7;1,197639;
2019-04-30;4;null;null;null;null;null;
2019-05-31;null;null;null;null;null;null;
2019-06-30;null;null;null;null;null;null;
2019-07-31;null;null;null;null;null;null;
2019-08-31;null;null;null;null;null;null;
2019-09-30;null;null;null;null;null;null;
2019-10-31;14;null;null;26,275;5,7;null;
2019-11-30;20;247,2;1002,49364;26,688473;6,4;1,13721;
2019-12-31;23;332,4;1003,099141;26,331869;7,5;1,220828;
2020-01-31;9;null;null;null;5;null;
2020-02-29;7;null;null;null;null;null;
2020-03-31;null;null;null;null;null;null;
2020-04-30;null;null;null;null;null;null;
2020-05-31;null;null;null;null;null;null;
2020-06-30;null;null;null;null;null;null;
2020-07-31;3;6;1005,089644;26,32961;5,6;1,176634;
2020-08-31;3;17,4;1004,774723;26,559855;6,2;1,309731;
2020-09-30;6;null;1003,92589;27,44051;8,6;1,247475;
2020-10-31;12;67;1003,525289;27,207369;7,7;1,251871;
2020-11-30;15;null;null;26,893311;5;null;
2020-12-31;9;null;null;null;7,9;null;
2021-01-31;null;null;null;null;null;null;
2021-02-28;null;null;null;null;null;null;
2021-03-31;null;null;null;null;null;null;
2021-04-30;null;null;null;null;null;null;
2021-05-31;null;null;null;null;null;null;
2021-06-30;null;null;null;null;null;null;
2021-07-31;null;null;null;null;null;null;
2021-08-31;null;null;null;null;null;null;
2021-09-30;null;null;null;null;null;null;
2021-10-31;null;null;null;null;null;null;
2021-11-30;null;null;null;null;null;null;
2021-12-31;null;null;null;null;null;null;
2022-01-31;null;null;null;null;null;null;
2022-02-28;null;null;null;null;null;null;
2022-03-31;null;null;null;null;null;null;
2022-04-30;null;null;null;null;null;null;
2022-05-31;null;null;null;null;null;null;
2022-06-30;null;null;null;null;null;null;
2022-07-31;null;null;null;26,431188;4,2;null;
2022-08-31;9;49,8;1005,404167;26,39664;6,2;1,323521;
2022-09-30;7;21,2;1003,891944;27,862083;5,9;1,433611;
2022-10-31;9;null;1003,792949;27,290683;9,5;1,515487;
2022-11-30;null;null;null;null;null;null;
2022-12-31;null;null;null;null;null;null;
2023-01-31;null;null;null;null;null;null;
2023-02-28;null;null;null;null;null;null;
2023-03-31;null;null;null;null;null;null;
2023-04-30;null;null;null;null;null;null;
2023-05-31;null;null;null;null;null;null;
2023-06-30;8;103,6;1006,777639;25,363472;6;1,190695;
2023-07-31;2;1;1006,075;26,405914;4,5;1,087769;
2023-08-31;5;32,8;1004,711022;27,604436;7,7;1,100806;
2023-09-30;12;88;1003,623889;28,326806;6,9;1,274583;
2023-10-31;6;null;null;null;null;null;

