Nome: MANACAPURU
Codigo Estacao: A119
Latitude: -3.29472221
Longitude: -60.62833332
Altitude: 36.57
Situacao: Operante
Data Inicial: 2008-04-09
Data Final: 2023-10-11
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2008-04-30;14;null;null;26,222872;5,9;null;
2008-05-31;25;287,6;1006,454436;25,947446;5,1;1,410753;
2008-06-30;19;140,6;1007,216818;26,45119;4,4;1,306069;
2008-07-31;7;61,6;1007,224328;27,387903;7,5;1,480511;
2008-08-31;7;56,4;1005,261425;27,897984;10,6;1,513038;
2008-09-30;14;64,6;1005,988056;27,499722;7,4;1,632361;
2008-10-31;23;191,6;1005,277823;27,025403;5,6;1,498118;
2008-11-30;24;267;1003,904499;27,036202;7,4;1,425634;
2008-12-31;31;168,8;1004,326344;26,605376;8,8;1,529032;
2009-01-31;31;24,6;1005,488587;26,034718;5,5;1,419255;
2009-02-28;28;14,4;1004,936945;25,973458;5,6;1,644846;
2009-03-31;20;16,2;1005,024866;26,150672;6,2;1,605511;
2009-04-30;4;,8;1006,068056;26,6925;6,6;1,571389;
2009-05-31;4;,8;1006,467204;26,400538;5,1;1,441263;
2009-06-30;1;,2;1007,243056;26,45375;4,9;1,304583;
2009-07-31;0;0;1006,803226;27,74543;4,8;1,408871;
2009-08-31;3;,6;1005,639516;28,877957;5,1;1,664785;
2009-09-30;7;89;1005,704306;29,3075;6,3;1,920694;
2009-10-31;11;77,2;1003,727083;28,937787;5,2;1,682361;
2009-11-30;20;38;1002,538611;29,575972;5,8;1,811944;
2009-12-31;29;152,8;1004,42379;26,829435;5,2;1,439113;
2010-01-31;15;13,4;1004,831085;26,950171;6,3;1,789101;
