Nome: URUCARA
Codigo Estacao: A124
Latitude: -2.53472221
Longitude: -57.75805555
Altitude: 18.49
Situacao: Operante
Data Inicial: 2008-04-16
Data Final: 2023-10-11
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2008-04-30;9;null;null;null;null;null;
2008-05-31;23;258,8;1008,706007;25,867713;4,5;,899351;
2008-06-30;14;170,8;1009,478442;26,370127;5,7;,932494;
2008-07-31;7;54;1009,587366;27,115054;6,2;1,012097;
2008-08-31;7;46;1007,604032;28,11371;3,9;1,115457;
2008-09-30;4;44;1008,19625;27,970417;4,5;1,114722;
2008-10-31;16;109;1007,429435;27,765188;4,7;,933871;
2008-11-30;16;119,6;1006,157428;27,256715;4;,893363;
2008-12-31;21;250;1006,700672;26,604167;3,8;1,008871;
2009-01-31;22;235,4;1007,814943;26,436314;5,5;,910005;
2009-02-28;23;488,8;1007,421442;26,007833;4,1;1,056521;
2009-03-31;26;462;1007,47285;26,106855;3,6;,980108;
2009-04-30;23;259;1008,551111;26,339861;5,7;,976111;
2009-05-31;25;303,8;1008,980376;25,989919;3,9;,833468;
2009-06-30;20;162,8;1009,547639;26,504583;4,2;,941528;
2009-07-31;8;10;1009,263038;27,52957;5;1,232258;
2009-08-31;7;9,6;1008,159274;28,762366;4,7;1,411021;
2009-09-30;2;13;1008,252361;29,353611;5,4;1,554583;
2009-10-31;7;94,2;1006,143434;29,067379;4,8;1,351837;
2009-11-30;4;58;1005,194583;29,382778;4,9;1,315139;
2009-12-31;18;265,2;1006,787903;27,949597;5,3;1,115726;
2010-01-31;26;425,2;1007,34251;27,072727;4,1;1,018939;
2010-02-28;22;237;1006,530804;27,52128;5,1;1,058185;
2010-03-31;20;300,4;1007,257527;27,838172;4,3;1,090591;
2010-04-30;20;436,6;1007,873194;27,014722;4,4;,708194;
2010-05-31;20;287;1008,27621;27,168952;4;,636694;
2010-06-30;9;28;1009,768889;27,389861;3,6;,767778;
2010-07-31;16;86,8;1009,500538;26,895833;4,8;,760618;
2010-08-31;8;39,4;1009,181052;27,888178;3,6;,746719;
2010-09-30;null;null;null;null;null;null;
2010-10-31;null;null;null;null;null;null;
2010-11-30;13;114,6;1005,781389;27,881667;4,6;,808333;
2010-12-31;21;316,4;1005,672177;26,612231;5,2;,685484;
2011-01-31;25;306,8;1006,584677;26,147178;4,2;1;
2011-02-28;23;237,4;1007,598958;25,799851;3,7;,690923;
2011-03-31;22;126;1007,33124;26,194135;4,4;,752903;
2011-04-30;25;349,2;1008,129861;25,980139;3,4;,749444;
2011-05-31;23;262,2;1007,998925;26,571237;3,9;,777285;
2011-06-30;11;31,8;1008,800972;27,314028;3,9;,760556;
2011-07-31;7;15,2;1008,819758;27,555376;3,5;,977151;
2011-08-31;5;null;1008,538043;28,288043;3,7;,884783;
2011-09-30;5;34,8;1008,575139;28,725556;4,8;1,061667;
2011-10-31;13;148;1006,146993;28,008653;5,6;,951778;
2011-11-30;8;149,4;1006,160972;27,771667;5,1;1,0425;
2011-12-31;18;292,8;1006,292339;27,242876;4,2;,842204;
2012-01-31;25;329,2;1007,677151;25,822581;4,3;,897849;
2012-02-29;24;401,8;1007,526149;25,507902;4,8;,796121;
2012-03-31;27;427,6;1008,267204;25,921371;4,8;,707661;
2012-04-30;22;221,4;1007,882361;26,719861;4,1;,660972;
2012-05-31;21;94,4;1008,556317;26,736559;4,2;,817607;
2012-06-30;13;100,6;1009,759583;26,847083;3,3;,696528;
2012-07-31;18;189,8;1009,543145;26,575538;4,6;,565995;
2012-08-31;8;69,8;1009,566187;27,699861;5,2;,734889;
2012-09-30;5;1,8;1009,163056;28,658194;4,5;,81125;
2012-10-31;8;2,6;1006,683737;28,715726;3,5;,754167;
2012-11-30;null;null;1005,933611;29,123611;4,3;,715139;
2012-12-31;null;null;1006,534812;26,726344;4,6;,595968;
2013-01-31;18;14,4;1008,110081;26,516129;4;,634005;
2013-02-28;11;5,4;1007,314583;26,243155;4,1;,546577;
2013-03-31;null;null;1008,021083;26,297701;3,9;,576611;
2013-04-30;null;null;1008,549722;26,541667;4;,550694;
2013-05-31;null;null;1009,018145;26,504301;3,7;,535753;
2013-06-30;null;null;1009,141313;27,376338;4,8;,704331;
2013-07-31;null;null;1010,413978;26,522312;4,2;,621909;
2013-08-31;null;null;1008,887231;27,616263;5;,691129;
2013-09-30;null;null;1008,404722;27,850972;5;,695139;
2013-10-31;null;null;1007,420027;28,662769;3,9;,777688;
2013-11-30;1;null;1006,087917;27,246389;4,4;,750417;
2013-12-31;14;144,4;1006,944355;27,444758;4,9;,715726;
2014-01-31;19;186;1007,946102;27,032796;4,3;,858468;
2014-02-28;24;302,8;1007,457292;26,218304;4,3;,820089;
2014-03-31;25;336,6;1008,152688;26,131989;5,5;,899059;
2014-04-30;25;186,8;1008,553472;26,55;4,1;,615833;
2014-05-31;20;199,6;1008,727151;26,507527;3,6;,550269;
2014-06-30;15;118,2;1009,214583;27,038333;4,6;,700278;
2014-07-31;13;117,2;1010,871237;27,144489;4;,698656;
2014-08-31;7;41,2;1009,519624;27,997849;6,3;,766398;
