Nome: S. G. DA CACHOEIRA
Codigo Estacao: A134
Latitude: -0.125207
Longitude: -67.061246
Altitude: 79.67
Situacao: Operante
Data Inicial: 2011-08-30
Data Final: 2023-10-11
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2011-08-31;null;null;null;null;null;null;
2011-09-30;null;163,8;1002,097024;25,750595;4,4;,961012;
2011-10-31;null;205,8;999,175538;26,094086;2,9;,933871;
2011-11-30;null;157,2;999,119583;26,010417;4,4;,951667;
2011-12-31;null;259,2;999,273253;25,851747;3,7;,929301;
2012-01-31;null;373,4;1000,238306;25,28871;3,5;,885484;
2012-02-29;null;406,2;999,91796;24,781322;4,3;,922845;
2012-03-31;null;483,4;1000,814516;25,218011;4,2;,918414;
2012-04-30;null;274,2;1000,954583;25,31;3,8;,909444;
2012-05-31;null;337,4;1001,711559;25,177823;3,8;,852285;
2012-06-30;null;189,6;1002,910139;25,005833;3,5;,874306;
2012-07-31;null;246,8;1002,984005;24,765054;3,9;,883199;
2012-08-31;null;178,6;1003,005895;25,348194;3,9;,918568;
2012-09-30;null;184,4;1002,549306;25,872361;3;,9575;
2012-10-31;null;163,4;999,820833;26,382661;5,3;,907124;
2012-11-30;null;122,6;998,965417;26,880417;4,8;,916944;
2012-12-31;null;322,8;998,978898;26,069355;5;,875941;
2013-01-31;null;155,2;1000,241532;26,487634;4,4;,906183;
2013-02-28;null;415,2;1000,077976;25,350893;4,6;,919048;
2013-03-31;null;261;1000,301;26,226868;5;,897861;
2013-04-30;null;248;1001,002917;26,292083;3,9;,906389;
2013-05-31;null;487;1002,003763;25,486694;4,5;,864113;
2013-06-30;null;302,6;1002,307323;25,438649;3,5;,806124;
2013-07-31;null;164,2;1003,762757;24,585437;4,9;,958725;
2013-08-31;null;324;1002,519758;24,98172;3,6;,95457;
2013-09-30;null;285,4;1001,587083;25,541111;5,1;,945694;
2013-10-31;null;139;1000,34543;26,275672;6,1;,866532;
2013-11-30;null;350;998,846528;26,014445;4;,907917;
2013-12-31;null;209,4;999,678226;26,135887;3,4;,827419;
2014-01-31;null;359,4;1000,160484;26,029839;3,5;,85457;
2014-02-28;null;229;999,57247;26,058184;3,2;,871577;
2014-03-31;null;280,2;1000,276613;25,964919;4,2;,94086;
2014-04-30;null;338,2;1001,191069;25,990918;5,2;,893349;
2014-05-31;null;417,8;1001,447581;25,779032;4;,91885;
2014-06-30;null;298,6;1002,333889;25,5725;3,1;,802361;
2014-07-31;null;194;1004,055914;25,185215;4,4;,91112;
2014-08-31;null;278,6;1003,171125;24,869553;4,5;,836752;
2014-09-30;null;149;1001,3375;26,242222;5,9;,913194;
2014-10-31;null;215,6;1001,025;25,908468;4,1;,866532;
2014-11-30;null;189;999,632083;26,046111;3,1;,823194;
2014-12-31;null;374,2;999,684812;26,111828;3,4;,849462;
2015-01-31;null;null;1001,400435;25,638812;3,3;,856761;
2015-02-28;null;null;null;null;2,5;null;
2015-03-31;null;null;null;null;3,1;null;
2015-04-30;null;null;null;null;null;null;
2015-05-31;null;null;null;null;null;null;
2015-06-30;null;null;null;null;null;null;
2015-07-31;null;null;null;null;null;null;
2015-08-31;null;null;null;null;null;null;
2015-09-30;null;null;null;27,321591;3,6;null;
2015-10-31;null;123;1000,749059;26,319355;3,1;,895296;
2015-11-30;null;147,8;999,262917;26,597222;3,9;,819445;
2015-12-31;null;245;1000,440591;26,570296;3,8;,791532;
2016-01-31;null;171;999,725538;27,182124;3,3;null;
2016-02-29;null;147,6;999,828736;26,93592;3,1;,758929;
2016-03-31;null;286,2;1001,138441;26,866263;3,1;,841801;
2016-04-30;null;345;1000,929861;26,299444;4,2;,879444;
2016-05-31;null;451,6;1002,758602;25,871505;3,5;,821102;
2016-06-30;null;280,2;1004,140972;25,221111;3,4;,84505;
2016-07-31;null;255,4;1003,517876;24,972715;5,1;,778763;
2016-08-31;null;141,6;1002,569893;25,7625;4,6;,862366;
2016-09-30;null;170,6;1002,658333;25,82375;3,9;,894444;
2016-10-31;null;268,8;999,949164;26,170214;3,9;,835723;
2016-11-30;null;159,4;998,888611;26,546944;3,3;,802917;
2016-12-31;null;336,4;1000,098925;25,688441;3,3;,776478;
2017-01-31;null;284,4;1000,877822;25,527016;3;,752016;
2017-02-28;null;411,2;1000,484524;26,012054;4,8;,794223;
2017-03-31;null;263,6;1000,763978;25,772849;3,3;,799328;
2017-04-30;null;438,4;1001,066389;25,924444;2,9;,782083;
2017-05-31;null;176,2;1001,756183;26,069624;4,2;,775134;
2017-06-30;null;216;1002,494028;25,70625;4,6;,792222;
2017-07-31;null;243,8;1004,4;25,109543;4,7;,802016;
2017-08-31;null;162,6;1002,016801;26,075;9,6;,800742;
2017-09-30;null;123;1001,765417;26,256389;2,9;,771528;
2017-10-31;null;148,6;1000,269758;26,187903;3,5;,82957;
2017-11-30;null;280;998,750694;26,409722;3,6;,755417;
2017-12-31;null;241;999,606855;26,164382;4,7;,787097;
2018-01-31;null;262,2;1000,107258;25,958199;3,5;,781855;
2018-02-28;null;260,8;1000,110714;26,0375;3,4;,803274;
2018-03-31;null;195,4;999,852688;26,716801;3,2;,722984;
2018-04-30;null;423,6;1001,829722;25,430694;4,3;,785139;
2018-05-31;null;300,6;1002,478629;25,502016;3,2;,746371;
2018-06-30;null;202,2;1003,778333;24,465139;3,4;,839722;
2018-07-31;null;319,4;1003,477688;24,889113;3,6;,78172;
2018-08-31;null;219,2;1003,448253;25,378226;3,8;,847984;
2018-09-30;null;189,4;1000,761528;26,010556;4,7;,785139;
2018-10-31;null;95,6;999,635215;26,836156;3,3;,788844;
2018-11-30;null;340,4;999,115208;26,204523;null;null;
2018-12-31;null;338,4;1001,218139;25,496657;null;null;
2019-01-31;null;301,8;1001,112366;25,779032;null;null;
2019-02-28;null;164,4;1000,345969;26,458728;null;null;
2019-03-31;null;96,2;1000,473533;26,703594;null;null;
2019-04-30;null;231;1001,016528;25,799444;null;null;
2019-05-31;null;637,2;1001,645968;25,602016;null;null;
2019-06-30;null;201;1002,974861;25,454722;null;null;
2019-07-31;null;255,6;1003,406317;24,861559;null;null;
2019-08-31;null;196,6;1003,952686;25,312692;null;null;
2019-09-30;null;161,2;1001,735139;25,964722;null;null;
2019-10-31;null;195,2;1000,607626;25,439896;null;null;
2019-11-30;null;227;999,113368;26,105853;null;null;
2019-12-31;null;156,8;999,620161;26,189721;null;null;
2020-01-31;20;174,8;1000,55952;26,507603;null;null;
2020-02-29;13;80;1000,386068;27,178686;null;null;
2020-03-31;18;245,8;1000,351309;26,492113;null;null;
2020-04-30;22;271,2;1001,975694;26,014167;null;null;
2020-05-31;27;359;1002,808333;25,7;null;null;
2020-06-30;24;422;1002,589306;25,256805;null;null;
2020-07-31;27;223,2;1002,15578;25,331989;null;null;
2020-08-31;17;104,4;1002,126925;25,797558;null;null;
2020-09-30;10;null;null;26,641212;null;null;
2020-10-31;13;87;1000,441667;26,528161;null;null;
2020-11-30;2;null;null;null;null;null;
2020-12-31;null;null;null;null;null;null;
2021-01-31;null;null;null;null;null;null;
2021-02-28;null;null;null;null;null;null;
2021-03-31;null;null;null;null;null;null;
2021-04-30;null;null;null;null;null;null;
2021-05-31;null;null;null;null;null;null;
2021-06-30;null;null;null;null;null;null;
2021-07-31;null;null;null;null;null;null;
2021-08-31;null;null;null;null;null;null;
2021-09-30;null;null;null;null;null;null;
2021-10-31;null;null;null;null;null;null;
2021-11-30;null;null;null;null;null;null;
2021-12-31;null;null;null;null;null;null;
2022-01-31;null;null;null;null;null;null;
2022-02-28;null;null;null;null;null;null;
2022-03-31;null;null;null;null;null;null;
2022-04-30;null;null;null;null;null;null;
2022-05-31;6;null;null;null;null;null;
2022-06-30;23;359,6;1002,550238;24,73194;null;null;
2022-07-31;19;156,6;1002,29555;25,571773;null;null;
2022-08-31;24;245,2;1002,3827;25,323333;null;null;
2022-09-30;17;154,8;1001,055399;26,316202;null;null;
2022-10-31;17;169;1000,165726;26,171225;null;null;
2022-11-30;14;null;1000,301376;25,553127;null;null;
2022-12-31;24;null;999,651873;25,700814;null;null;
2023-01-31;21;null;1001,155458;25,043493;null;null;
2023-02-28;25;null;1000,845287;25,077062;null;null;
2023-03-31;19;238,4;1000,670389;25,753113;null;null;
2023-04-30;24;409;1000,517361;25,6075;null;null;
2023-05-31;21;267,8;1001,771848;25,847717;null;null;
2023-06-30;24;210;1003,397361;24,918889;null;null;
2023-07-31;26;224,8;1003,121237;25,485753;null;null;
2023-08-31;20;184;1001,79543;26,524597;null;null;
2023-09-30;13;171,2;1000,621039;27,007029;null;null;
2023-10-31;5;null;null;null;null;null;

