Nome: SAO LUIS
Codigo Estacao: A203
Latitude: -2.52666666
Longitude: -44.21361111
Altitude: 54.8
Situacao: Operante
Data Inicial: 2003-01-28
Data Final: 2023-10-11
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2003-01-31;null;null;null;null;null;null;
2003-02-28;25;450,4;1005,359899;25,897237;5;1,964519;
2003-03-31;29;539,8;1005,289247;25,604436;5,1;1,832661;
2003-04-30;27;402;1005,631667;25,956111;5,3;1,785555;
2003-05-31;18;null;null;26,190423;5,5;null;
2003-06-30;null;null;null;null;4,8;null;
2003-07-31;null;null;null;null;5,1;null;
2003-08-31;null;null;null;null;5,3;null;
2003-09-30;3;5,6;1006,268611;27,063472;5,8;3,087361;
2003-10-31;1;,2;1004,609543;27,45578;6;3,495833;
2003-11-30;3;4,4;1003,835139;27,605417;6,3;3,188611;
2003-12-31;4;null;null;27,633178;5,8;null;
2004-01-31;22;411;1004,404611;26,392754;5,6;2,227361;
2004-02-29;25;466,2;1005,403929;25,728273;4,9;1,780141;
2004-03-31;25;374,8;1004,632661;26,222581;5;1,782393;
2004-04-30;22;436,4;1005,035266;26,136353;4,9;1,541449;
2004-05-31;9;null;null;null;4,7;null;
2004-06-30;null;null;null;null;4,6;null;
2004-07-31;null;null;null;null;4,3;null;
2004-08-31;null;null;null;null;5;null;
2004-09-30;2;1,8;1005,947632;27,071089;6,4;3,09579;
2004-10-31;0;0;1004,65659;27,393752;5,9;3,400215;
2004-11-30;2;2,8;1003,977116;27,42867;5,7;3,256879;
2004-12-31;3;5,6;1004,24593;27,563905;5,9;2,924143;
2005-01-31;9;31,2;1003,808625;27,631437;5,4;2,510799;
2005-02-28;18;null;1003,706532;27,316135;5,2;2,043939;
2005-03-31;25;339;1005,255903;26,389576;5,3;1,415283;
2005-04-30;26;349,4;1004,947434;26,469825;4,6;1,205399;
2005-05-31;13;null;null;26,790411;4,4;null;
