Nome: SAO FELIX DO XINGU
Codigo Estacao: A216
Latitude: -6.63972221
Longitude: -51.95694444
Altitude: 211
Situacao: Pane
Data Inicial: 2016-11-14
Data Final: 2023-10-11
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2016-11-30;7;null;null;null;null;null;
2016-12-31;20;209,2;987,043145;25,44207;10,1;1,440591;
2017-01-31;21;228,4;987,871371;25,3375;6,9;1,539516;
2017-02-28;25;364,4;987,937946;25,132738;6;1,688393;
2017-03-31;28;415,6;987,934543;25,489382;8,3;1,612903;
2017-04-30;19;221,8;988,031389;25,801806;5,4;1,400966;
2017-05-31;15;55;988,351344;26,89328;7,1;1,429623;
2017-06-30;7;47,4;989,191667;26,252639;7,5;1,657222;
2017-07-31;0;0;991,036021;25,90578;6,8;2,092204;
2017-08-31;9;47,2;988,384409;28,061022;7,4;1,760081;
2017-09-30;5;12,6;987,812083;28,603333;8,6;1,830278;
2017-10-31;13;141,4;986,682124;27,479436;7,4;1,976882;
2017-11-30;20;157,2;986,204306;26,074444;12,1;1,623333;
2017-12-31;25;298,2;986,858468;25,596505;7,1;1,530511;
2018-01-31;22;304,2;987,381939;25,442935;7,3;1,515485;
2018-02-28;null;null;null;null;6,3;null;
2018-03-31;null;null;null;null;null;null;
2018-04-30;null;null;null;null;null;null;
2018-05-31;13;null;989,764931;25,666319;6;1,393056;
2018-06-30;2;,6;988,455278;25,832361;5,3;1,540417;
2018-07-31;4;19,2;989,008333;26,298925;6,1;1,60578;
2018-08-31;9;79,2;989,01828;26,763575;7,8;1,620161;
2018-09-30;15;114,6;986,609583;26,81625;9,6;1,632917;
2018-10-31;22;188,4;985,815054;26,568145;10;1,547715;
2018-11-30;19;275,4;985,402361;25,825694;12,4;1,443472;
2018-12-31;21;205,6;987,900269;25,529167;6,9;1,461425;
2019-01-31;24;228;988,629839;25,023925;9,4;1,466532;
2019-02-28;20;159;987,498214;25,595685;7,5;1,481994;
2019-03-31;26;184,8;988,476344;25,573656;7,4;1,523387;
2019-04-30;25;235,4;988,270555;26,178889;6,7;1,378889;
2019-05-31;20;82,8;987,455914;26,378898;7,5;1,363306;
2019-06-30;5;40;988,86125;25,934583;6,5;1,553472;
2019-07-31;6;34,2;989,216667;26,024597;6,7;1,629301;
2019-08-31;1;null;null;null;null;null;
2019-09-30;null;null;null;null;null;null;
2019-10-31;null;null;null;null;null;null;
2019-11-30;null;null;null;null;null;null;
2019-12-31;18;null;985,62;26,027333;10,3;1,574;
2020-01-31;28;291,6;987,717204;25,921505;6,3;1,673522;
2020-02-29;21;201,6;987,21954;25,91523;6,6;1,559626;
2020-03-31;19;265;988,273925;25,986022;8,3;1,800672;
2020-04-30;23;260;988,042361;25,923195;6,4;1,63125;
2020-05-31;19;123;988,658468;26,469758;8,2;1,604839;
2020-06-30;5;11;989,116204;26,216204;5,9;1,683642;
2020-07-31;null;null;null;null;null;null;
2020-08-31;null;null;null;null;null;null;
2020-09-30;null;null;null;null;null;null;
2020-10-31;null;null;null;null;null;null;
2020-11-30;null;null;null;null;null;null;
2020-12-31;9;null;null;null;null;null;
2021-01-31;21;305,2;985,740995;25,663844;8;1,659274;
2021-02-28;23;246,8;986,635268;25,260565;7,3;1,6;
2021-03-31;28;361,4;987,696237;25,192473;6;1,572177;
2021-04-30;18;300,4;986,801944;25,715278;9,2;1,447639;
2021-05-31;12;56,4;988,46922;25,993011;5,4;1,51828;
2021-06-30;4;14,6;988,111389;26,282083;5,8;1,528333;
2021-07-31;1;5,4;989,51129;26,683064;6,7;1,818414;
2021-08-31;5;42,2;987,68965;27,72043;8,1;1,885081;
2021-09-30;12;146;987,913793;27,139368;10,1;1,709195;
2021-10-31;19;223,8;987,060349;26,870565;11,5;1,693952;
2021-11-30;26;240,4;986,279028;25,842778;7,3;1,660139;
2021-12-31;27;387,6;985,465188;25,700807;6,1;1,640995;
2022-01-31;21;null;987,201098;25,285753;9;1,627554;
2022-02-28;null;null;987,489881;25,93631;7,1;1,637649;
2022-03-31;null;null;986,140726;25,399059;6,6;1,545027;
2022-04-30;null;null;987,195417;26,079028;5,9;1,540417;
2022-05-31;null;null;988,493414;26,19543;9,9;1,548253;
2022-06-30;null;null;987,781528;25,77375;10,5;1,555556;
2022-07-31;null;null;988,793576;26,666848;6,1;1,913137;
2022-08-31;null;null;null;null;null;null;
2022-09-30;null;null;null;null;null;null;
2022-10-31;null;null;null;null;null;null;
2022-11-30;null;null;null;null;null;null;
2022-12-31;null;null;null;null;null;null;
2023-01-31;null;null;null;null;null;null;
2023-02-28;null;null;null;null;null;null;
2023-03-31;null;null;null;null;null;null;
2023-04-30;null;null;null;null;null;null;
2023-05-31;null;null;null;null;null;null;
2023-06-30;null;null;null;null;null;null;
2023-07-31;null;null;null;null;null;null;
2023-08-31;null;null;null;null;null;null;
2023-09-30;null;null;null;null;null;null;
2023-10-31;null;null;null;null;null;null;

