Nome: TURIACU
Codigo Estacao: A219
Latitude: -1.66111111
Longitude: -45.37249999
Altitude: 35.86
Situacao: Operante
Data Inicial: 2008-06-09
Data Final: 2023-10-11
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2008-06-30;11;null;null;25,636842;7,9;null;
2008-07-31;23;142,8;1007,607124;26,132258;7,2;2,224731;
2008-08-31;9;48;1006,031183;26,890995;6,6;3,142204;
2008-09-30;4;4,2;1006,469028;27,384861;6,6;3,624444;
2008-10-31;1;1,2;1005,522043;27,749597;6,9;3,977419;
2008-11-30;1;,2;1004,240278;27,87625;7,2;3,942778;
2008-12-31;4;8,4;1004,068817;27,806317;7,1;3,50215;
2009-01-31;17;191,2;1005,29858;26,737442;7,6;2,992269;
2009-02-28;24;447,8;1004,766626;25,6972;7,4;2,282346;
2009-03-31;26;728,4;1004,891532;25,610618;6,9;2,242339;
2009-04-30;27;708,4;1006,281944;25,429306;6,9;1,991111;
2009-05-31;29;509,6;1006,454973;25,183602;6,3;1,501075;
2009-06-30;28;264,4;1007,156111;25,915556;6,6;1,990972;
2009-07-31;23;125,6;1007,478226;26,446371;6,4;2,478226;
2009-08-31;9;31,6;1006,89785;26,974328;6,9;3,110618;
2009-09-30;1;,8;1007,149445;27,270972;7,3;3,845;
2009-10-31;1;,2;1005,152155;27,406466;7,6;3,791236;
2009-11-30;1;,2;1004,393472;27,683056;7;4,013333;
2009-12-31;4;8,4;1004,858871;27,931452;7,4;3,701478;
2010-01-31;16;171,4;1005,087519;27,282222;7,2;2,756048;
2010-02-28;16;139,8;1004,189137;27,912054;7;3,013244;
2010-03-31;17;152,2;1004,956855;27,856452;7;2,732527;
2010-04-30;29;388,4;1004,950833;26,476111;6,5;1,409306;
2010-05-31;26;205;1005,394489;27,050269;9,4;1,620833;
2010-06-30;25;308,8;1007,268194;26,436111;6,9;1,513889;
2010-07-31;25;268;1006,995296;26,550269;6,9;1,631048;
2010-08-31;14;52,8;1007,072633;27,073031;6,5;2,564994;
2010-09-30;4;18;1005,771467;27,523732;6,9;3,287488;
2010-10-31;0;0;1005,17836;27,934005;7;3,285215;
2010-11-30;5;25,6;1003,610556;28,013194;6,6;2,392639;
2010-12-31;14;113,6;1003,022581;27,305511;6,7;2,347581;
2011-01-31;22;500,2;1003,951882;25,907258;6,8;1,726075;
2011-02-28;21;383,2;1004,845238;25,669494;8,2;1,201637;
2011-03-31;26;318,8;1004,735459;25,572832;8,7;1,235298;
2011-04-30;28;391;1005,2225;25,622083;7,4;1,228333;
2011-05-31;29;369,8;1005,324731;25,977016;5,6;,877823;
2011-06-30;23;155,4;1006,627361;26,419583;6,2;1,340278;
2011-07-31;27;207,2;1006,736828;26,44207;7;1,873925;
2011-08-31;13;112;1007,25672;26,800807;6,6;2,469624;
2011-09-30;3;null;null;27,12526;5,8;null;
2011-10-31;null;null;null;null;null;null;
2011-11-30;1;null;null;null;null;null;
2011-12-31;1;1,4;1004,609678;27,702823;7;3,672581;
2012-01-31;12;127,2;1004,979704;27,29328;8,9;3,408065;
2012-02-29;17;201,6;1004,808046;26,346983;7;2,754885;
2012-03-31;26;269,4;1005,510887;26,132124;8,3;2,661559;
2012-04-30;21;219,6;1005,147917;27,118889;7,1;2,859861;
2012-05-31;18;133,4;1006,227823;27,01371;7;2,895833;
2012-06-30;15;206;1007,542222;26,575139;6,8;2,749028;
2012-07-31;21;77;1007,145564;26,573118;6,5;2,754301;
2012-08-31;10;33,8;1007,832085;26,986528;6,6;3,119393;
2012-09-30;2;1;1007,732222;27,445833;7,8;3,74375;
2012-10-31;5;15,2;1005,263979;27,407661;6,9;3,851882;
2012-11-30;2;7,8;1004,621806;27,604722;7,6;3,884445;
2012-12-31;7;30,4;1004,215323;27,854839;7,2;3,694086;
2013-01-31;14;75,8;1005,382393;27,720027;7,8;3,68293;
2013-02-28;16;114,4;1004,483482;27,364286;8;3,304911;
2013-03-31;20;321;1005,280361;27,328592;8;3,423194;
2013-04-30;26;264,2;1005,885972;26,758472;8,5;2,607917;
2013-05-31;29;428,2;1006,274731;26,484005;7,7;1,963979;
2013-06-30;19;94,8;1006,91702;27,013207;6,3;2,37048;
2013-07-31;23;183,4;1007,875134;26,101882;7,2;2,120296;
2013-08-31;17;32,6;1006,653495;27,08871;7,2;3,121237;
2013-09-30;8;15,8;1006,53125;27,3825;6,3;3,55125;
2013-10-31;4;9;1005,93293;27,60457;7,2;2,969489;
2013-11-30;3;4,6;1004,168472;27,575;6,6;1,851667;
2013-12-31;1;,2;1004,863979;27,897984;7,5;1,653763;
2014-01-31;13;104,6;1005,660215;26,961021;7,7;1,62836;
2014-02-28;24;225,2;1004,748065;26,425149;8,2;1,108929;
2014-03-31;30;358,6;1005,636962;26,271505;6,9;1,116801;
2014-04-30;29;439,2;1006,045139;25,808611;5,9;,693472;
2014-05-31;27;494;1006,190726;26,057661;5,9;,73871;
2014-06-30;22;132,2;1006,857639;26,785139;5,3;,647083;
2014-07-31;14;106,2;1008,843548;26,681048;4,8;,68172;
2014-08-31;10;25,6;1007,822446;26,885484;5,1;,266129;
2014-09-30;5;3;1007,181667;27,382639;6;,824583;
2014-10-31;5;4,6;1006,007258;27,767339;6,9;,994624;
2014-11-30;1;4,6;1005,177083;27,596667;6,6;1,334583;
2014-12-31;1;27,4;1005,471505;27,603898;6,6;1,325941;
2015-01-31;4;6,4;1006,37119;27,405055;6,8;1,646745;
2015-02-28;16;204,4;1005,995982;26,80506;7,2;1,165327;
2015-03-31;27;302,2;1005,834677;26,102285;6,5;,602419;
2015-04-30;28;417;1006,215833;25,932222;6,6;,600695;
2015-05-31;23;211,6;1006,49086;26,993548;5,4;,250672;
2015-06-30;26;141,8;1007,934722;26,631111;6;,291111;
2015-07-31;18;114,2;1007,760618;26,781855;5,3;,384812;
2015-08-31;9;19;1007,337097;27,062231;5,4;,588038;
2015-09-30;2;11,8;1007,036111;27,314722;6,2;1,202083;
2015-10-31;1;,6;1006,516935;27,684274;6,9;1,479167;
2015-11-30;3;9,6;1005,057768;27,945353;6,6;1,677006;
2015-12-31;null;null;null;null;null;null;
2016-01-31;null;null;null;null;null;null;
2016-02-29;8;null;null;null;null;null;
2016-03-31;31;469,8;1006,425;26,792204;6,9;2,645699;
2016-04-30;21;291,2;1005,316667;27,558889;6;2,371667;
2016-05-31;17;105,8;1007,16371;27,768011;7;2,48078;
2016-06-30;17;82,6;1008,39375;27,161111;6,9;2,324167;
2016-07-31;18;61,8;1007,851613;27,066398;7,4;2,475;
2016-08-31;6;18,8;1007,689785;27,374597;5,7;3,042204;
2016-09-30;0;0;1007,297361;27,657361;6,7;3,548055;
2016-10-31;3;21,8;1005,229026;27,874953;6,5;3,554897;
2016-11-30;0;0;1004,397917;28,1075;6,9;3,62875;
2016-12-31;12;49,4;1004,754839;27,746774;7,6;3,364516;
2017-01-31;21;320,8;1005,396774;26,672849;7,3;2,721505;
2017-02-28;22;204,2;1005,409673;26,326637;7,6;2,49122;
2017-03-31;30;497,8;1005,757124;25,600269;5,8;1,903763;
2017-04-30;28;316,4;1005,652083;26,346111;7,9;1,994444;
2017-05-31;22;212,4;1006,29543;26,948522;6,2;2,014247;
2017-06-30;23;180,6;1006,910833;26,622639;6,2;1,821389;
2017-07-31;18;52,6;1008,77379;26,549328;6,3;1,794086;
2017-08-31;9;30,6;1007,345027;27,324462;5;2,919758;
2017-09-30;4;7;1006,91375;27,585972;5,9;3,195833;
2017-10-31;4;10,2;1005,299059;27,885081;6,4;3,574866;
2017-11-30;0;0;1004,550139;27,727222;6,8;3,43125;
2017-12-31;5;17,4;1004,74328;27,820968;6,7;3,244086;
2018-01-31;21;269,4;1005,237097;26,550134;7;2,799328;
2018-02-28;25;330,2;1005,448065;25,667708;7,1;2,214583;
2018-03-31;20;259;1005,422778;26,604028;6,8;2,627361;
2018-04-30;27;445,8;1006,558631;25,48244;6,2;1,562202;
2018-05-31;28;378,6;1006,936962;25,885349;6,9;1,846909;
2018-06-30;14;null;1008,053167;26,573167;5,7;1,921167;
2018-07-31;19;254,6;1007,902419;26,247312;4,9;2,206317;
2018-08-31;9;22,8;1008,368683;26,913038;5,4;2,860887;
2018-09-30;2;2,2;1006,006667;27,404028;6,2;3,229583;
2018-10-31;3;5;1005,519892;27,752151;6;3,324194;
2018-11-30;6;86,2;1004,518472;28,020972;6,2;3,314444;
2018-12-31;21;132,8;1006,224597;26,331989;6,8;2,261156;
2019-01-31;24;207;1006,551747;26,547446;7,3;2,527285;
2019-02-28;28;561,8;1005,957738;25,689137;6,7;2,141518;
2019-03-31;31;671,4;1006,62043;25,527151;5,8;1,898118;
2019-04-30;28;603;1006,286111;25,810972;5,6;1,741667;
2019-05-31;27;269;1005,90457;26,381452;6;1,725538;
2019-06-30;21;220,6;1007,700972;26,600556;6,2;1,718195;
2019-07-31;19;203,2;1007,846102;26,454435;5,6;1,943817;
2019-08-31;3;null;null;null;null;null;
2019-09-30;null;null;null;null;null;null;
2019-10-31;2;null;null;27,820194;6,1;null;
2019-11-30;8;73,2;1004,324444;27,696806;5,9;3,159167;
2019-12-31;3;null;1004,635994;28,028472;7,1;3,507161;
2020-01-31;3;null;null;null;6;null;
2020-02-29;null;null;null;null;6;null;
2020-03-31;null;null;null;null;5,9;null;
2020-04-30;null;null;null;null;4,9;null;
2020-05-31;null;null;null;null;null;null;
2020-06-30;null;null;null;null;null;null;
2020-07-31;null;null;null;null;null;null;
2020-08-31;null;null;null;null;null;null;
2020-09-30;null;null;null;null;null;null;
2020-10-31;null;null;null;null;null;null;
2020-11-30;null;null;null;null;null;null;
2020-12-31;null;null;null;null;null;null;
