Nome: IMPERATRIZ
Codigo Estacao: A225
Latitude: -5.55583333
Longitude: -47.45972222
Altitude: 117.96
Situacao: Operante
Data Inicial: 2008-02-29
Data Final: 2023-10-11
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2008-02-29;null;null;null;null;null;null;
2008-03-31;23;null;997,382355;25,630449;5,6;1,269551;
2008-04-30;22;260,8;996,5425;26,277361;7,1;1,167639;
2008-05-31;14;186,8;997,815241;26,392841;5,4;1,139008;
2008-06-30;1;,2;998,889956;26,495093;5,4;1,28382;
2008-07-31;0;0;999,49418;26,659923;7;1,609835;
2008-08-31;2;5,2;997,305914;27,817339;7,2;1,513575;
2008-09-30;1;,2;997,505833;28,893333;6,5;1,667083;
2008-10-31;7;30,6;996,605242;29,329032;6;1,600941;
2008-11-30;15;145,6;995,764583;27,774444;7,5;1,223472;
2008-12-31;15;318,2;996,052016;26,793414;5,9;1,062097;
2009-01-31;17;281;997,147581;26,683737;9,6;1,115054;
2009-02-28;20;288,6;996,764014;26,106794;5,5;1,113775;
2009-03-31;19;181,4;996,715819;26,350976;6,5;1,020985;
2009-04-30;24;484,6;998,146528;25,806805;7,4;1,120972;
2009-05-31;20;323;998,416398;25,975403;6,1;,901613;
2009-06-30;7;8,8;999,190139;26,430555;5,9;1,234722;
2009-07-31;0;0;999,191532;26,770968;5,9;1,48172;
2009-08-31;3;20,6;998,348656;27,162231;7,4;1,609812;
2009-09-30;3;5,2;998,162222;28,054722;6,3;1,456389;
2009-10-31;6;63;996,440417;28,278194;4,9;1,475695;
2009-11-30;5;23,6;995,559861;28,352778;7;1,325833;
2009-12-31;15;103,6;996,766801;26,645296;7,3;1,143952;
2010-01-31;18;250,2;997,073656;26,653629;7,1;1,229973;
2010-02-28;19;235,4;996,263839;26,914434;6,5;1,192708;
2010-03-31;18;159,8;996,897849;27,506586;5,7;1,052151;
2010-04-30;16;298,6;996,974444;27,2475;6;1,0625;
2010-05-31;10;186,8;997,287769;27,467204;9,1;,911156;
2010-06-30;6;24,2;999,313333;26,759167;5,2;1,14125;
2010-07-31;2;13,6;998,866667;26,780108;9,7;1,286694;
2010-08-31;3;7,8;998,573212;26,912068;6,4;1,279494;
2010-09-30;1;4;996,760833;29,046528;5,3;1,428055;
2010-10-31;9;114,6;996,587366;28,311559;8,4;1,380242;
2010-11-30;10;107,2;995,335278;27,5775;6,1;1,204583;
2010-12-31;23;195;995,036425;26,636694;5,8;,983602;
2011-01-31;24;408,4;995,988038;25,821371;5,7;,998522;
2011-02-28;24;325,2;996,952232;25,581696;5,9;1,060417;
2011-03-31;21;288;996,709963;26,124309;5,7;1,00061;
