Nome: ITAITUBA
Codigo Estacao: A231
Latitude: -4.27694443
Longitude: -55.99305555
Altitude: 24.46
Situacao: Operante
Data Inicial: 2008-02-16
Data Final: 2023-10-11
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2008-02-29;null;null;null;null;null;null;
2008-03-31;null;null;null;null;null;null;
2008-04-30;null;null;null;null;null;null;
2008-05-31;null;null;null;null;null;null;
2008-06-30;7;null;null;26,905729;4,4;null;
2008-07-31;13;73,6;1009,034274;27,142876;5,8;,686559;
2008-08-31;8;63,6;1007,095565;27,827419;6,4;,899194;
2008-09-30;10;86,4;1007,757222;27,866528;5,8;1,037361;
2008-10-31;11;38,2;1006,943011;28,007527;7,4;1,049059;
2008-11-30;21;317,8;1005,784469;27,37122;3,9;,957228;
2008-12-31;22;162,8;1006,261962;26,423925;5,5;,93629;
2009-01-31;22;184,6;1007,386962;26,436694;4,5;,981048;
2009-02-28;24;283,4;1006,959556;26,090476;4,5;1,004458;
2009-03-31;29;310,4;1007,006183;26,168952;6;,994892;
2009-04-30;23;329,8;1008,177083;26,331528;4,5;1,004028;
2009-05-31;20;264,4;1008,503495;26,190995;3,7;,897446;
2009-06-30;21;151,6;1009,01125;26,409306;8,1;,727222;
2009-07-31;17;76,8;1008,769004;27,302601;4,9;,795401;
2009-08-31;5;10,2;1007,773387;28,535484;7,9;1,026613;
2009-09-30;8;35,4;1007,996528;28,763472;9,4;1,012778;
2009-10-31;11;47,8;1005,897126;28,919828;3,7;1,039368;
2009-11-30;5;9,2;1005,024583;29,651944;4,1;1,311389;
2009-12-31;14;158,2;1006,511694;27,893548;4,1;1,233333;
2010-01-31;18;142,8;1006,967412;27,078996;4,7;1,130535;
2010-02-28;23;306,6;1006,166518;27,430506;5,2;1,118006;
2010-03-31;23;169,2;1006,862903;27,619086;5,1;,998656;
2010-04-30;28;436,8;1007,351806;26,792778;6,3;,763889;
2010-05-31;26;133,4;1007,720587;27,13078;4,7;,651456;
2010-06-30;17;92,4;1009,327222;27,105417;4,8;,607361;
2010-07-31;16;85,6;1008,857661;26,924193;6,5;,623253;
2010-08-31;7;6,8;1008,435405;27,913611;4,5;,695845;
2010-09-30;7;49,8;1006,823889;28,530833;4,5;,901389;
2010-10-31;15;177,2;1006,475941;28,294758;7,1;,911962;
2010-11-30;13;126,6;1005,370139;27,556528;3,9;,870972;
2010-12-31;22;212,8;1005,215726;26,608065;4,4;,768683;
2011-01-31;23;390,2;1006,235484;25,822177;4,5;,8;
2011-02-28;22;385,2;1007,148809;25,797768;4,8;,72619;
2011-03-31;24;252,4;1006,819501;26,199242;5;,72208;
2011-04-30;20;null;1007,515151;26,263384;4,8;,642282;
2011-05-31;24;313,4;1007,467876;26,503898;5,3;,530511;
2011-06-30;15;63,6;1008,334861;27,347639;4,9;,587917;
2011-07-31;17;48,6;1008,371102;27,096774;7,1;,678629;
2011-08-31;7;108;1008,299866;28,36371;4,5;,976344;
2011-09-30;8;71,4;1008,093704;28,365551;5,7;,920659;
2011-10-31;14;135;1005,757258;27,755242;5,1;1,174328;
2011-11-30;12;152,6;1005,827361;27,365556;5,4;1,163055;
2011-12-31;16;147,6;1005,82957;27,606586;4,9;1,236022;
2012-01-31;25;311,6;1007,202151;25,993817;5,9;1,014247;
2012-02-29;23;288,6;1007,061638;25,619253;5,5;,993678;
