Nome: NOVO REPARTIMENTO
Codigo Estacao: A235
Latitude: -4.24388888
Longitude: -49.93944444
Altitude: 100.76
Situacao: Pane
Data Inicial: 2008-07-22
Data Final: 2023-10-11
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2008-07-31;null;null;null;null;null;null;
2008-08-31;1;,2;997,883737;27,332796;5,4;1,730242;
2008-09-30;6;63,4;998,386667;27,307917;6,8;1,86875;
2008-10-31;7;55,6;997,526075;27,339651;6,8;1,838038;
2008-11-30;10;294,4;996,445833;26,775694;6,9;1,691111;
2008-12-31;22;296;996,639651;25,881452;5,6;1,405108;
2009-01-31;27;496;997,822849;25,735349;7,9;1,548521;
2009-02-28;27;477,8;997,347593;25,616796;7,3;1,669501;
2009-03-31;29;482,2;997,359812;25,901075;7,4;1,681048;
2009-04-30;28;632,4;998,715556;25,392917;7;1,588762;
2009-05-31;30;599,6;998,964651;25,369086;6,1;1,462769;
2009-06-30;10;96;999,506806;26,266528;5,4;1,377222;
2009-07-31;7;26,8;999,500847;26,870693;5,6;1,458404;
2009-08-31;1;8,4;998,70121;27,644489;5,4;1,684274;
2009-09-30;1;,6;998,858889;27,634306;6,6;1,924306;
2009-10-31;8;93,8;996,901171;28,114163;6,2;1,940512;
2009-11-30;7;22,6;996,188472;27,619028;6,3;1,84;
2009-12-31;23;362,4;997,281989;26,427823;7,8;1,653226;
2010-01-31;30;60;997,597888;26,24;7,2;1,696736;
2010-02-28;28;18,2;996,755532;26,551766;8,5;1,650524;
2010-03-31;30;9,8;997,43965;27,106183;6,3;1,710349;
2010-04-30;24;218,4;997,564306;26,749028;6,4;1,532778;
2010-05-31;4;13,4;997,843683;27,339516;6,6;1,32836;
2010-06-30;0;0;999,645139;26,968611;6,6;1,361528;
2010-07-31;0;0;999,150538;27,061962;5,5;1,406989;
2010-08-31;0;0;998,995161;27,35215;5,5;1,57379;
2010-09-30;0;0;997,565833;27,787361;6,1;1,917083;
2010-10-31;0;0;997,202823;27,843548;6,3;1,915726;
2010-11-30;0;0;995,920694;27,113472;6,5;1,704861;
2010-12-31;0;0;995,594355;26,30578;6,4;1,62285;
2011-01-31;null;null;996,595968;25,409812;8,1;1,654769;
2011-02-28;null;null;997,498958;25,500744;8;1,644197;
2011-03-31;8;145,8;997,255942;25,719015;8,2;1,665688;
2011-04-30;28;582,2;997,832778;25,772083;8,4;1,492778;
2011-05-31;20;346,2;997,77666;26,438645;4,8;1,431457;
2011-06-30;6;40,2;998,913195;26,883611;6,3;1,505417;
2011-07-31;6;79;998,974918;26,574755;5,3;1,433474;
2011-08-31;5;68;999,139785;26,886962;5,9;1,58629;
2011-09-30;4;18,6;998,845972;27,617778;5,9;1,859583;
2011-10-31;9;102,2;996,366021;27,234671;6,4;1,780637;
2011-11-30;1;null;null;null;5,7;null;
2011-12-31;null;null;null;null;null;null;
2012-01-31;null;null;null;null;null;null;
2012-02-29;17;null;null;24,911875;7,6;null;
2012-03-31;28;676,8;998,048656;25,811828;null;null;
2012-04-30;11;null;null;26,641741;null;null;
2012-05-31;null;null;null;null;null;null;
2012-06-30;12;44,2;999,814532;25,721623;4,6;1,209802;
2012-07-31;9;53,8;999,37957;25,596102;5,3;1,229973;
2012-08-31;null;0;999,872984;25,730556;5,2;1,395411;
2012-09-30;null;null;999,644306;26,702361;9,1;1,639028;
2012-10-31;4;49,6;997,272043;26,723925;5,1;1,509946;
2012-11-30;8;121,2;996,646944;26,941111;5,2;1,429444;
2012-12-31;23;275,6;996,720027;26,015995;4,9;1,353629;
2013-01-31;26;560,4;998,074194;25,576075;7,5;1,333871;
2013-02-28;26;315,8;997,171429;25,931697;5,9;1,385714;
2013-03-31;20;452,2;998,003028;26,265805;8,7;1,444833;
2013-04-30;25;399,4;998,48;26,240278;4,6;1,26375;
2013-05-31;22;229,8;998,825403;26,365995;6;1,206989;
2013-06-30;14;131;999,322083;26,148611;5,9;1,220417;
2013-07-31;18;109;1000,16042;25,723592;4,8;1,203343;
2013-08-31;5;8,2;998,819758;26,00914;4,7;1,288038;
2013-09-30;7;3,8;998,594306;26,525972;5,6;1,522222;
2013-10-31;8;3,4;997,925806;26,781183;5,4;1,544086;
2013-11-30;7;101,2;996,516667;25,999861;7,1;1,368611;
2013-12-31;14;137,8;997,14086;26,473253;6,4;1,397043;
2014-01-31;26;244,6;998,286962;25,356855;5,5;1,373522;
2014-02-28;26;117,8;997,473214;25,565179;6,6;1,465774;
2014-03-31;26;129,8;998,239382;25,850538;6,5;1,450269;
2014-04-30;29;57,2;998,637917;25,97375;5,6;1,36375;
2014-05-31;22;60,6;998,650941;26,37957;4,3;1,224328;
2014-06-30;8;43,4;999,212639;26,213055;5,4;1,208889;
2014-07-31;5;5,6;1001,026344;25,624462;4,6;1,235618;
2014-08-31;3;3,6;999,86129;25,985887;4,9;1,439785;
2014-09-30;3;,6;999,105556;26,470417;5,2;1,609167;
