Nome: CAXIAS
Codigo Estacao: A237
Latitude: -4.82138888
Longitude: -43.3436111
Altitude: 84.85
Situacao: Operante
Data Inicial: 2008-07-12
Data Final: 2023-10-11
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2008-07-31;3;null;null;25,328922;5,3;null;
2008-08-31;6;9;1001,657661;25,903898;4,7;1,325941;
2008-09-30;4;7,2;1001,581806;27,503333;5,4;1,348472;
2008-10-31;3;14;1000,403091;28,485215;5,5;1,443011;
2008-11-30;4;23,4;999,109861;28,822917;3,6;1,230139;
2008-12-31;13;72,4;999,452151;27,43293;4,4;1,156183;
2009-01-31;20;211,8;1000,835507;26,314621;4,5;,946418;
2009-02-28;18;297,8;1000,390666;25,876596;6,2;1,08912;
2009-03-31;26;288,8;1000,467876;25,885618;4,5;,971371;
2009-04-30;23;690,8;1001,844722;25,639444;3,7;,986944;
2009-05-31;25;415,4;1002,09086;25,491667;4,1;1,00578;
2009-06-30;11;45,2;1003,090833;25,31375;4,8;1,197083;
2009-07-31;9;27;1003,376882;25,136962;4,7;1,141801;
2009-08-31;2;1,4;1002,586694;25,587231;5,1;1,292473;
2009-09-30;0;0;1002,103889;27,297361;4,1;1,246111;
2009-10-31;2;11,2;1000,165647;27,971451;4,2;1,246032;
2009-11-30;2;1,4;999,315417;28,436389;4,1;1,283889;
2009-12-31;10;202,6;1000,285484;27,533064;4,3;1,197984;
2010-01-31;13;165,8;1000,746064;26,682917;3,1;1,028783;
2010-02-28;12;156,8;999,820536;27,224405;4,3;1,073363;
2010-03-31;5;null;null;27,854398;3,3;null;
2010-04-30;null;null;null;null;null;null;
2010-05-31;15;120,2;1000,988575;26,699462;3,8;,913844;
2010-06-30;8;66;1003,18;25,636944;5,5;1,205417;
2010-07-31;1;,4;1002,84879;25,599059;5;1,286559;
2010-08-31;0;0;1002,652297;26,072733;5,5;1,327823;
2010-09-30;1;,6;1000,933056;27,768889;5,3;1,458889;
2010-10-31;6;97;1000,218548;28,818548;4,3;1,356586;
2010-11-30;7;19,6;998,694722;28,523889;4,2;1,199861;
2010-12-31;8;105,6;998,506989;27,381989;4,5;1,164113;
2011-01-31;17;165,2;999,482258;26,106989;3,7;1,049462;
2011-02-28;21;null;1000,396287;25,727955;5,1;1,056864;
2011-03-31;21;130,4;1000,336307;25,812551;4,3;,991387;
2011-04-30;25;302,4;1000,784444;25,916806;5,4;1,119861;
2011-05-31;12;225,6;1001,150538;26,140591;8,1;1,293414;
2011-06-30;9;23,8;1002,4625;25,644306;5,3;1,24;
2011-07-31;5;23,2;1002,63172;25,271909;6,1;1,386828;
2011-08-31;4;37,8;1002,731125;26,145278;4,7;1,25;
2011-09-30;null;0;1002,214961;27,319671;5,6;1,349288;
2011-10-31;7;78;999,54328;27,915457;4,4;1,323387;
2011-11-30;5;90,4;999,689751;27,064338;3,8;1,146291;
2011-12-31;4;67,6;999,615188;27,70672;3,8;1,271102;
2012-01-31;16;184,8;1000,375538;26,411022;6,7;1,279301;
2012-02-29;20;124,6;1000,268329;25,772173;4,7;1,181486;
2012-03-31;24;194,6;1000,881855;25,988575;4,3;1,119489;
2012-04-30;12;61,6;1000,609583;26,533056;5,7;1,038816;
2012-05-31;6;5,8;1001,66828;26,57836;3,7;1,073387;
2012-06-30;4;41,6;1002,952222;26,724028;5,1;1,175833;
2012-07-31;0;0;1002,582124;26,558065;5,4;1,265995;
2012-08-31;null;null;null;null;null;null;
2012-09-30;1;null;null;null;null;null;
2012-10-31;3;4,4;999,787231;29,985215;4,6;1,667339;
2012-11-30;5;51,4;999,420555;29,609583;6,2;1,701528;
2012-12-31;1;null;null;null;4,5;null;
2013-01-31;null;null;null;null;4,1;null;
2013-02-28;null;null;null;null;3,2;null;
2013-03-31;15;280,6;1000,65925;27,310057;4;1,227611;
2013-04-30;18;305;1001,442361;26,720833;3,9;1,201111;
2013-05-31;14;88,4;1001,865457;26,440323;4,6;1,059946;
2013-06-30;7;22,2;1002,566856;26,287689;4,6;1,088068;
2013-07-31;4;6;1003,395565;26,310349;5,9;1,212097;
2013-08-31;4;14,8;1001,994893;27,193683;5;1,233199;
2013-09-30;5;5,4;1001,447361;28,513195;5,1;1,443889;
2013-10-31;5;11,4;1000,673387;29,238306;5,1;1,61035;
2013-11-30;11;62,6;999,239444;28,257917;5,9;1,476806;
2013-12-31;9;83,2;999,998925;28,107796;5,9;1,391801;
2014-01-31;17;159,2;1001,152688;26,280107;4,6;1,285753;
2014-02-28;19;316,4;1000,302827;26,202827;5;1,203125;
2014-03-31;18;197,6;1001,156452;26,36586;4,4;1,125403;
2014-04-30;25;243;1001,569444;26,31125;5,5;1,125417;
2014-05-31;18;131,4;1001,753226;26,300403;4,6;1,088441;
2014-06-30;8;38,2;1002,533611;26,339444;5;1,203194;
2014-07-31;3;32,2;1004,458602;26,102917;4,8;1,211079;
2014-08-31;2;1,4;1003,207796;26,614247;5,1;1,324462;
2014-09-30;3;13,6;1002,069028;28,320417;5;1,524861;
2014-10-31;6;78,2;1000,867761;28,651985;5,8;1,538746;
2014-11-30;1;null;null;null;4,1;null;
2014-12-31;3;null;null;null;4,6;null;
2015-01-31;11;54,4;1001,61101;27,126011;5,2;1,276239;
2015-02-28;14;253,4;1001,503423;26,438393;4,7;1,254613;
2015-03-31;23;367;1001,380914;26,140591;3,8;1,119758;
2015-04-30;20;158;1001,694445;26,423333;5,1;1,071806;
2015-05-31;16;208,6;1002,123124;26,166456;6,8;1,02746;
2015-06-30;9;56,2;1003,655833;25,859583;5;1,106389;
2015-07-31;8;58,4;1003,378629;26,070699;5,2;1,244086;
2015-08-31;0;0;1002,662903;26,282796;5,4;1,306183;
2015-09-30;2;32,6;1001,688056;28,114028;4,9;1,408333;
2015-10-31;1;10,2;1001,034677;29,355511;5,7;1,566801;
2015-11-30;1;7,8;999,648889;29,918611;4,6;1,64;
2015-12-31;3;21,6;1000,85914;30,275134;6,9;1,775134;
2016-01-31;21;260,4;1001,602419;27,156183;4,5;1,223656;
2016-02-29;11;26,2;1001,35704;27,365948;5,5;1,264512;
2016-03-31;23;327,4;1001,917339;27,05793;4,9;1,105242;
2016-04-30;19;135,4;1000,877083;27,101111;6;1,105;
2016-05-31;12;57,8;1002,765457;26,919489;4,2;,943145;
2016-06-30;3;null;null;26,579167;5,1;null;
2016-07-31;null;null;null;null;6;null;
2016-08-31;null;null;null;null;4,6;null;
2016-09-30;2;null;null;null;4,2;null;
2016-10-31;5;25,2;999,932503;29,687114;5,1;1,577659;
2016-11-30;2;,4;999,006806;30,585139;4,5;1,67375;
2016-12-31;9;51,6;999,911559;29,066398;5,1;1,540457;
2017-01-31;13;null;1000,669323;26,874375;18,8;1,33469;
2017-02-28;13;null;null;26,762083;6;null;
2017-03-31;23;310;1001,219624;26,104167;4,7;1,116801;
2017-04-30;21;217,4;1001,251528;26,340556;4,5;1,054028;
2017-05-31;15;201;1001,920565;26,708199;5,1;1,108602;
2017-06-30;10;21,6;1002,736945;26,141389;5,3;1,294167;
2017-07-31;2;17,4;1004,820968;25,366801;6,3;1,702285;
2017-08-31;3;5,4;1002,635349;26,927016;5,5;1,20793;
2017-09-30;0;0;1002,202778;28,131111;6,3;1,628889;
2017-10-31;0;0;999,984812;29,594489;4,6;1,602419;
2017-11-30;4;44,2;999,347778;28,985972;4,7;1,425417;
2017-12-31;7;41,6;999,846237;28,223253;5,5;1,371236;
2018-01-31;21;322;1000,681183;26,437366;7,1;1,246237;
2018-02-28;22;null;1000,935661;25,785534;6,9;1,177892;
2018-03-31;19;240,8;1000,974194;26,55672;5,1;1,108737;
2018-04-30;22;317,8;1001,931806;25,894028;4,3;1,081667;
2018-05-31;7;61,4;1002,497031;26,085714;6,1;1,1216;
2018-06-30;null;null;null;null;null;null;
2018-07-31;null;null;null;null;null;null;
2018-08-31;2;null;null;null;4;null;
2018-09-30;1;null;null;null;4,2;null;
2018-10-31;3;22;1000,331452;28,80215;4,8;1,400672;
2018-11-30;6;51;999,478333;28,745972;4,9;1,378194;
2018-12-31;15;293,2;1001,761156;26,396505;7,3;1,180645;
2019-01-31;17;227;1002,129436;26,15672;4,5;1,173253;
2019-02-28;23;224,8;1001,513393;25,937054;5,9;1,154316;
2019-03-31;29;384,6;1002,093145;25,975941;5,3;1,152419;
2019-04-30;22;254,2;1001,79;26,165139;3,7;1,023472;
2019-05-31;16;118,4;1001,494624;26,463038;4,2;1,065323;
2019-06-30;3;5,6;1003,584306;25,634167;5,2;1,385556;
2019-07-31;4;1,6;1003,61371;25,643414;6,1;1,484946;
2019-08-31;0;0;1004,227419;26,320699;6;1,478781;
2019-09-30;4;16,4;1002,055833;27,777778;5,6;1,319722;
2019-10-31;5;35,4;1000,449597;28,417204;4,6;1,402823;
