Nome: MONTE ALEGRE
Codigo Estacao: A239
Latitude: -2
Longitude: -54.07638888
Altitude: 100.53
Situacao: Operante
Data Inicial: 2012-07-05
Data Final: 2023-10-11
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2012-07-31;11;null;null;26,908333;7,8;null;
2012-08-31;4;11,6;1000,311982;27,798611;7,1;3,303667;
2012-09-30;2;2;1000,046528;28,253333;7,4;3,715278;
2012-10-31;3;6,4;997,614382;28,520564;6,7;3,684005;
2012-11-30;2;47;996,851667;28,952083;6,7;3,494306;
2012-12-31;12;193;997,150672;27,059409;7,5;2,938441;
2013-01-31;20;178,2;998,594892;26,689516;7,1;2,735484;
2013-02-28;20;159,4;997,84256;26,129018;7,5;2,824256;
2013-03-31;21;164,8;998,539528;26,679167;8,2;2,821389;
2013-04-30;20;239,2;999,110556;26,59;6,2;2,612778;
2013-05-31;22;224,6;999,521774;26,518145;7,7;2,674597;
2013-06-30;11;null;999,83817;27,060859;7,1;2,770385;
2013-07-31;12;143,2;1000,882258;26,674328;6,7;2,52043;
2013-08-31;13;118;999,440995;27,527957;6,6;2,891801;
2013-09-30;8;50,6;999,098333;27,844028;6,6;3,280833;
2013-10-31;1;11,8;998,279973;28,476882;6,9;3,607796;
2013-11-30;7;79,4;996,787639;27,713333;6,5;3,211944;
2013-12-31;6;73,4;997,585618;27,761156;7,4;3,223387;
2014-01-31;14;137,8;998,712097;26,55215;7,2;2,998118;
2014-02-28;24;360;998,036458;25,651935;8,2;2,859673;
2014-03-31;18;207,6;998,770027;26,065591;8,7;2,979704;
2014-04-30;21;278,6;999,146111;26,460556;6,7;2,731528;
2014-05-31;21;185,6;999,293817;26,568683;5,9;2,544086;
2014-06-30;20;236;999,835556;26,623472;6,3;2,879444;
2014-07-31;16;126,8;1001,547312;26,825672;6,8;3,122446;
2014-08-31;7;null;null;27,592373;7;null;
2014-09-30;null;null;null;null;null;null;
2014-10-31;null;null;null;null;null;null;
2014-11-30;null;null;null;null;null;null;
2014-12-31;null;null;null;null;null;null;
2015-01-31;null;null;null;null;null;null;
2015-02-28;null;null;null;null;null;null;
2015-03-31;null;null;null;null;null;null;
2015-04-30;null;null;null;null;null;null;
2015-05-31;null;null;null;null;null;null;
2015-06-30;null;null;null;null;null;null;
2015-07-31;null;null;null;null;null;null;
2015-08-31;null;null;null;null;null;null;
2015-09-30;1;2,8;999,077083;28,754028;7,1;3,609167;
2015-10-31;1;1,6;998,477823;29,191801;7,3;3,815726;
2015-11-30;1;8,6;997,197778;29,260417;7,7;3,835556;
2015-12-31;1;3,4;998,579032;28,952419;6,8;3,68414;
2016-01-31;10;46,2;998,744355;28,269893;8,7;3,441129;
2016-02-29;22;119;998,703304;27,055029;8,6;3,496121;
2016-03-31;22;424,2;999,684274;26,924866;7,7;2,623522;
2016-04-30;26;397,6;998,669028;26,83875;7,3;2,6325;
2016-05-31;25;343,2;1000,280914;26,818548;8,8;2,641936;
2016-06-30;14;87,2;1001,337778;27,370694;6,5;2,612361;
2016-07-31;16;97,2;1000,595833;27,51371;6,8;2,795968;
2016-08-31;4;40;1000,044758;28,275403;6,2;3,243414;
2016-09-30;4;52;999,784583;28,586667;6,4;2,969722;
2016-10-31;8;107,2;997,72905;28,451963;7,9;3,289686;
2016-11-30;4;97,8;996,908056;28,388333;6,2;3,159722;
2016-12-31;14;376,6;997,779704;27,199865;6,5;2,744758;
2017-01-31;1;null;998,870564;25,921774;7,2;2,489382;
2017-02-28;18;184,4;998,84747;26,002976;7,2;2,502562;
2017-03-31;24;286,4;998,941129;26,067742;7;2,46264;
2017-04-30;20;252,4;998,956111;26,725417;7,4;2,497639;
2017-05-31;14;117,8;999,419624;27,060081;6,6;2,622581;
2017-06-30;12;148,8;999,884167;27,342778;6,7;2,500417;
2017-07-31;9;118;1001,548925;27,553898;6,9;2,574451;
2017-08-31;3;45;999,675806;28,373656;10,2;3,366532;
2017-09-30;0;0;999,103056;28,765972;6,8;3,511528;
2017-10-31;2;null;null;28,884559;7,3;null;
2017-11-30;null;null;null;null;6;null;
2017-12-31;12;null;997,965399;27,049275;7,7;2,851128;
2018-01-31;18;124,4;998,268952;26,723925;8,4;3,064247;
2018-02-28;21;393,2;998,657887;25,878125;7,3;2,312041;
2018-03-31;24;289,2;998,503798;26,403865;7,6;2,692633;
2018-04-30;null;null;null;null;6,3;null;
2018-05-31;13;152,4;999,979032;26,536559;7,5;2,752694;
2018-06-30;null;null;null;null;6;null;
2018-07-31;7;null;1000,954891;null;5,4;2,732349;
2018-08-31;3;null;1000,95;27,857576;6,9;3,138104;
2018-09-30;4;32;998,435695;28,291329;5,8;3,117041;
2018-10-31;0;0;997,754301;29,107661;6,5;3,426104;
2018-11-30;7;58,6;997,074167;28,819861;7;3,215906;
2018-12-31;18;205,4;999,482124;26,174731;7;2,753454;
