Nome: CONCEICAO DO ARAGUAIA
Codigo Estacao: A241
Latitude: -8.30361111
Longitude: -49.28277777
Altitude: 175.74
Situacao: Operante
Data Inicial: 2008-09-03
Data Final: 2023-10-11
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2008-09-30;5;null;990,782667;28,899333;5,4;1,611833;
2008-10-31;8;52;989,966263;27,893952;5,5;1,54207;
2008-11-30;17;163,2;989,231009;26,706799;6;1,411129;
2008-12-31;25;300,6;989,459812;25,809946;5;1,366801;
2009-01-31;20;118,8;990,358339;26,569559;7,1;1,432486;
2009-02-28;23;271;990,11223;25,892776;4,3;1,334037;
2009-03-31;18;298,6;989,913844;26,109946;5;1,285215;
2009-04-30;25;368,8;991,300417;25,505139;5,4;1,297778;
2009-05-31;20;302,8;991,798522;25,76129;4,5;1,191532;
2009-06-30;3;20,8;992,636667;26,733472;3,9;1,223333;
2009-07-31;1;3;992,508199;27,217608;4,8;1,243011;
2009-08-31;3;21,4;991,506452;27,991398;6;1,381452;
2009-09-30;5;46,8;991,225446;28,287635;5,9;1,439865;
2009-10-31;8;null;989,679255;27,076288;4,8;1,472055;
2009-11-30;3;null;null;null;4,1;null;
2009-12-31;null;null;null;null;5;null;
2010-01-31;null;null;null;null;null;null;
2010-02-28;null;null;null;null;5,5;null;
2010-03-31;24;210,2;990,269489;26,770161;5,7;1,348387;
2010-04-30;17;null;990,328382;26,811742;4,7;1,267874;
2010-05-31;null;null;null;null;3,8;null;
2010-06-30;1;null;992,670661;27,637568;4,5;1,304438;
2010-07-31;0;0;992,360349;27,529301;4,3;1,372849;
2010-08-31;null;0;991,914855;27,985145;4,6;1,388641;
2010-09-30;0;0;989,765278;29,718889;5,3;1,489444;
2010-10-31;14;167,2;989,679973;27,943011;5,8;1,430914;
2010-11-30;20;184;988,671528;26,900278;5,5;1,322361;
2010-12-31;13;null;988,189239;26,418234;5,3;1,360868;
2011-01-31;null;null;null;null;5,7;null;
2011-02-28;null;null;null;null;5;null;
2011-03-31;8;null;null;null;3,7;null;
2011-04-30;23;270,8;990,557917;25,790278;3,7;1,169583;
2011-05-31;10;62,4;990,803226;26,835753;5,3;1,165323;
2011-06-30;0;0;991,987222;27,328194;3,8;1,203611;
2011-07-31;0;0;992,049059;27,210887;5,2;1,296505;
2011-08-31;1;21,6;991,636559;28,155779;4,6;1,324597;
2011-09-30;0;0;991,141111;29,428611;5,1;1,480278;
2011-10-31;17;158,8;989,204973;27,075672;6,9;1,437365;
2011-11-30;17;249;989,737361;25,895278;6,1;1,357083;
2011-12-31;21;197,2;989,568683;26,357527;6;1,310618;
2012-01-31;26;296,2;990,591398;24,969624;5;1,260753;
2012-02-29;18;180,2;990,319684;25,377012;4,7;1,34842;
2012-03-31;21;181,4;990,745968;26,091076;5;1,322645;
2012-04-30;24;123,4;990,32375;26,694861;5,5;1,185278;
2012-05-31;12;178,8;991,455376;26,799194;4,8;1,178495;
2012-06-30;3;16;992,593056;26,87;5,8;1,202917;
2012-07-31;1;,2;992,286962;27,265726;4,7;1,286828;
2012-08-31;null;null;null;null;5,1;null;
2012-09-30;1;null;991,521;28,876;5,9;1,505833;
2012-10-31;4;null;null;28,174781;5,5;null;
