Nome: PORTO GRANDE
Codigo Estacao: A244
Latitude: 0.69416666
Longitude: -51.40388888
Altitude: 84.8
Situacao: Operante
Data Inicial: 2008-09-16
Data Final: 2023-10-11
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2008-09-30;4;null;null;null;null;null;
2008-10-31;10;30,4;1002,349059;27,183333;3,9;1,447984;
2008-11-30;6;26,6;1001,118726;27,463738;3,9;1,44276;
2008-12-31;23;278,6;1001,235753;25,679301;4,6;1,127688;
2009-01-31;26;236,8;1002,585314;25,113523;4,4;1,186477;
2009-02-28;27;304,4;1002,163122;24,626245;4;1,098363;
2009-03-31;27;244,8;1002,082796;25,118548;3,8;1,064697;
2009-04-30;22;284,2;1003,290417;25,56;4,2;1,186944;
2009-05-31;26;446,4;1003,575403;25,215457;3,6;1,08435;
2009-06-30;28;194,4;1004,279444;25,006944;3,3;,973333;
2009-07-31;23;179,4;1004,302688;25,076882;5,7;,98414;
2009-08-31;18;90,6;1003,606586;26,03629;4,5;1,139113;
2009-09-30;6;21,4;1003,908992;26,848339;4;1,472415;
2009-10-31;8;62,6;1001,782902;27,235776;4;1,507328;
2009-11-30;3;4,6;1001,130833;27,615417;4,3;1,757778;
2009-12-31;23;251,8;1002,161962;25,783871;4,9;1,589113;
2010-01-31;30;345,8;1002,434897;25,356525;4,4;1,378873;
2010-02-28;24;250,2;1001,592113;26,123661;4,3;1,530357;
2010-03-31;26;278,4;1002,245833;26,23414;4,5;1,345833;
2010-04-30;28;329,6;1002,296667;25,774861;4,2;1,024306;
2010-05-31;30;290,6;1002,652688;26,198656;5,8;1,037231;
2010-06-30;25;235,6;1004,386111;25,691806;3,3;,963889;
2010-07-31;27;210;1003,976882;25,509005;3,8;1,046774;
2010-08-31;23;219;1003,932041;26,026171;4,9;1,102645;
2010-09-30;7;12;1002,509722;27,234861;3,8;1,408889;
2010-10-31;9;145,8;1001,995565;27,411559;4;1,401747;
2010-11-30;18;100,4;1000,685278;26,6525;6,5;1,282917;
2010-12-31;23;205,2;1000,32379;25,711156;4,1;1,124462;
2011-01-31;26;215,4;1001,385618;24,712769;4,3;1,274597;
2011-02-28;25;314;1002,265774;24,717262;3,4;1,15625;
2011-03-31;25;371,6;1001,98702;24,856704;3,5;1,100324;
2011-04-30;28;422,2;1002,589583;25,030833;3,6;1,089167;
2011-05-31;30;283,2;1002,470296;25,485484;3,2;,931317;
2011-06-30;25;242,4;1003,639722;25,51;3,7;,9825;
2011-07-31;25;168,8;1003,753763;25,400806;3,3;,98871;
2011-08-31;18;134,8;1004,052823;25,974866;3,3;1,104973;
2011-09-30;15;96,4;1003,854028;26,529861;3,7;1,247361;
2011-10-31;10;53,2;1001,170968;27,00793;3,8;1,325935;
2011-11-30;10;30,4;1001,170278;26,905972;4;1,339028;
2011-12-31;8;13,8;1001,51129;26,968817;4,5;1,565457;
2012-01-31;29;275,6;1002,359677;24,806855;5,9;1,280376;
2012-02-29;26;285,6;1002,21796;24,568247;3,8;1,263793;
2012-03-31;29;339,2;1002,926747;24,799597;3,8;1,134543;
2012-04-30;27;265;1002,537778;25,405139;4;1,1275;
2012-05-31;25;175,2;1003,340323;25,535618;3,6;1,063844;
2012-06-30;24;92,6;1004,570278;25,530556;4,8;1,048472;
2012-07-31;27;202,8;1004,126882;25,672312;3,3;1,013844;
2012-08-31;19;144,8;1004,665054;26,125278;3,7;1,224309;
2012-09-30;10;20;1004,532361;26,968056;3,6;1,415972;
2012-10-31;11;33;1002,083064;27,274059;4,2;1,549731;
2012-11-30;5;68,4;1001,385833;27,340417;5,2;1,410833;
2012-12-31;17;55;1001,284409;26,556183;4,2;1,349462;
2013-01-31;27;293;1002,949597;25,555914;4,7;1,388844;
2013-02-28;26;269,2;1001,992262;25,086309;4,1;1,195685;
2013-03-31;27;305,8;1002,769028;25,412787;3,9;1,20325;
2013-04-30;24;298,2;1003,1925;25,595556;3,9;1,085;
2013-05-31;25;null;1003,655167;25,3965;3,6;,959667;
2013-06-30;8;null;null;null;4,1;null;
2013-07-31;24;189,4;1004,933778;25,13968;3,9;,963453;
2013-08-31;21;102,6;1003,587903;26,139785;3,5;1,101478;
2013-09-30;12;64,4;1003,351667;26,694444;4,2;1,301111;
2013-10-31;9;null;1002,725093;26,788301;4,8;1,410741;
2013-11-30;13;69;1001,076111;26,828056;3,8;1,360278;
2013-12-31;4;null;null;null;4,7;null;
2014-01-31;null;null;null;null;4,5;null;
2014-02-28;null;null;null;null;3,9;null;
2014-03-31;null;null;null;null;3,9;null;
2014-04-30;null;null;null;null;3,7;null;
2014-05-31;null;null;null;null;3,7;null;
2014-06-30;null;null;null;null;3,1;null;
2014-07-31;11;null;null;25,948026;null;null;
2014-08-31;20;119,8;1004,616801;25,940054;null;null;
2014-09-30;10;47,2;1003,922639;26,813611;null;null;
2014-10-31;15;52,2;1002,821102;27,008199;null;null;
2014-11-30;6;38,6;1001,91625;27,258889;null;null;
2014-12-31;13;96,2;1002,426747;26,619893;null;null;
2015-01-31;23;148,8;1003,48899;25,860612;null;null;
2015-02-28;23;225,8;1003,343899;25,147173;null;null;
2015-03-31;26;304,4;1003,241801;25,160484;null;null;
2015-04-30;24;396,2;1003,544444;25,0575;null;null;
2015-05-31;28;320,8;1003,816936;25,175806;null;null;
2015-06-30;4;null;null;null;null;null;
2015-07-31;null;null;null;null;null;null;
2015-08-31;null;null;null;null;null;null;
2015-09-30;null;null;null;null;null;null;
2015-10-31;null;null;null;null;null;null;
2015-11-30;null;null;null;null;null;null;
2015-12-31;null;null;null;null;null;null;
2016-01-31;null;null;null;null;null;null;
2016-02-29;null;null;null;null;null;null;
2016-03-31;null;null;null;null;null;null;
2016-04-30;null;null;null;null;null;null;
2016-05-31;null;null;null;null;null;null;
2016-06-30;null;null;null;null;null;null;
2016-07-31;null;null;null;null;null;null;
2016-08-31;null;null;null;null;null;null;
2016-09-30;null;null;null;null;null;null;
2016-10-31;null;null;null;null;null;null;
2016-11-30;null;null;null;null;null;null;
2016-12-31;null;null;null;null;null;null;
2017-01-31;null;null;null;null;null;null;
2017-02-28;null;null;null;null;null;null;
2017-03-31;null;null;null;null;null;null;
2017-04-30;null;null;null;null;null;null;
2017-05-31;null;null;null;null;null;null;
2017-06-30;null;null;null;null;null;null;
2017-07-31;null;null;null;null;null;null;
2017-08-31;1;null;null;null;null;null;
2017-09-30;null;null;null;null;null;null;
2017-10-31;null;null;null;null;null;null;
2017-11-30;null;null;null;null;null;null;
2017-12-31;null;null;null;null;null;null;
2018-01-31;null;null;null;null;null;null;
2018-02-28;null;null;null;null;null;null;
2018-03-31;null;null;null;null;null;null;
2018-04-30;null;null;null;null;null;null;
2018-05-31;null;null;null;null;null;null;
2018-06-30;null;null;null;null;null;null;
2018-07-31;null;null;null;null;null;null;
2018-08-31;null;null;null;null;null;null;
2018-09-30;null;null;null;null;null;null;
2018-10-31;null;null;null;null;null;null;
2018-11-30;null;null;null;null;null;null;
2018-12-31;null;null;null;null;null;null;
2019-01-31;null;null;null;null;null;null;
2019-02-28;null;null;null;null;null;null;
2019-03-31;null;null;null;null;null;null;
2019-04-30;17;null;null;25,165441;5,3;null;
2019-05-31;30;377,6;1001,856317;25,373387;6,1;1,424731;
2019-06-30;28;224,6;1003,412639;25,370417;5,9;1,430972;
2019-07-31;25;146,8;1003,452554;25,772581;6,4;1,558468;
2019-08-31;15;60,8;1004,037097;26,784409;7,1;1,740591;
2019-09-30;9;44,2;1002,434306;27,628056;6,5;2,067917;
2019-10-31;11;58,8;1000,944893;27,692607;5,1;2,054839;
2019-11-30;11;176,6;999,81625;27,485833;7,3;2,020278;
2019-12-31;24;158;1000,413793;26,449282;6,9;2,150718;
2020-01-31;21;null;1002,186253;25,591917;6,9;2,017294;
2020-02-29;19;null;1002,375589;25,616493;6;2,12059;
2020-03-31;26;219,6;1002,063306;25,771371;6,1;1,998656;
2020-04-30;23;null;1002,492125;25,668576;6,5;1,532212;
2020-05-31;14;null;null;25,766667;5,9;null;
2020-06-30;30;265,6;1002,780833;25,363333;5,4;1,495417;
2020-07-31;24;196,2;1002,388306;25,668683;5,4;1,423253;
2020-08-31;16;134,4;1002,199328;26,717608;5,7;1,666129;
2020-09-30;11;45,8;1001,857639;27,390556;5,6;1,913056;
2020-10-31;7;35,4;1001,012903;28,086962;5;2,11922;
2020-11-30;21;220,6;1000,639306;26,432083;6,1;1,730972;
2020-12-31;17;41,8;1000,695327;26,512351;6;1,941339;
2021-01-31;19;null;1000,834359;25,038277;6,4;1,888523;
2021-02-28;25;267;1001,207738;24,799554;5,2;2,01622;
2021-03-31;27;367,6;1001,428629;24,802419;6,1;1,711962;
2021-04-30;23;null;1001,276158;24,997569;5,1;1,552526;
2021-05-31;null;null;null;null;4,8;null;
2021-06-30;null;null;null;null;7,2;null;
2021-07-31;null;null;null;null;4,1;null;
2021-08-31;null;null;null;null;3,5;null;
2021-09-30;null;null;null;null;null;null;
2021-10-31;null;null;null;null;null;null;
2021-11-30;null;null;null;null;null;null;
2021-12-31;null;null;null;null;null;null;
2022-01-31;null;null;null;null;null;null;
2022-02-28;null;null;null;null;null;null;
2022-03-31;null;null;null;null;null;null;
2022-04-30;22;176,4;1001,143459;25,272535;4,4;1,503203;
