Nome: XINGUARA
Codigo Estacao: A247
Latitude: -7.11055555
Longitude: -49.9261111
Altitude: 245
Situacao: Operante
Data Inicial: 2016-09-10
Data Final: 2023-10-11
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2016-09-30;6;null;null;26,250735;7,8;null;
2016-10-31;12;59,2;982,434005;26,518694;7,1;1,464294;
2016-11-30;10;53;981,690694;26,176944;7,5;1,442222;
2016-12-31;15;158,8;982,57043;25,694758;7,7;1,454167;
2017-01-31;20;209,6;983,339113;25,260618;7,8;1,378091;
2017-02-28;20;376,4;983,485566;25,198958;6,5;1,569494;
2017-03-31;20;273,2;983,46707;25,617473;5,6;1,353727;
2017-04-30;22;203,4;983,547361;25,939722;6,3;1,272361;
2017-05-31;7;68,8;984,00121;26,60672;5,7;1,396371;
2017-06-30;3;22,4;984,954167;25,321389;6,3;1,521389;
2017-07-31;1;,6;986,909409;25,542339;6,9;1,99086;
2017-08-31;0;0;983,985349;28,059946;5,7;1,762769;
2017-09-30;0;0;983,545139;28,629444;6,1;1,959167;
2017-10-31;10;138,4;982,111022;27,548925;8,7;1,780645;
2017-11-30;14;167,8;981,867083;26,041111;7;1,4725;
2017-12-31;19;207,2;982,497581;25,363307;6,6;1,385484;
2018-01-31;21;199,2;983,046237;25,086425;6,4;1,353091;
2018-02-28;27;605,8;983,266071;24,686756;7;1,422321;
2018-03-31;22;294,4;983,315591;25,327285;7,2;1,415726;
2018-04-30;13;167,4;984,187639;25,332639;6,6;1,343527;
2018-05-31;10;78,4;984,660887;25,802957;5,9;1,386851;
2018-06-30;0;0;985,668333;25,40875;5,3;1,492482;
2018-07-31;2;,6;985,243817;26,161425;5,6;1,611559;
2018-08-31;6;42,2;985,17164;26,995968;6,3;1,613844;
2018-09-30;6;25,8;982,77875;27,341111;6,2;1,627745;
2018-10-31;14;173;982,61129;26,670968;7,2;1,340644;
2018-11-30;7;null;null;26,416912;null;null;
2018-12-31;4;null;null;null;null;null;
2019-01-31;25;210,6;984,494758;25,220027;null;null;
2019-02-28;20;280,2;983,833929;25,574754;null;null;
2019-03-31;27;345,4;984,289651;25,65793;null;null;
2019-04-30;20;167,4;983,939306;26,031667;null;null;
2019-05-31;8;56;983,765726;26,332661;null;null;
2019-06-30;5;14,4;985,666111;26,019444;null;null;
2019-07-31;2;21,4;985,535618;26,183871;null;null;
2019-08-31;1;5,6;985,805914;27,176747;null;null;
2019-09-30;4;124,6;983,611944;28,142778;null;null;
2019-10-31;19;198;982,891263;25,735081;null;null;
2019-11-30;14;138,6;981,954306;25,709306;null;null;
2019-12-31;15;239;982,325503;25,899702;6;1,277174;
2020-01-31;19;205,2;983,880914;25,856855;6,3;1,438306;
2020-02-29;24;281;984,06092;25,506466;null;null;
2020-03-31;25;359;983,979435;25,650941;null;null;
2020-04-30;22;278,6;984,555278;25,817083;null;null;
2020-05-31;15;127,4;985,163441;26,114516;null;null;
2020-06-30;4;12,4;985,301528;25,62875;null;null;
2020-07-31;0;0;984,850134;25,709005;null;null;
2020-08-31;1;9;984,185699;27,327361;null;null;
2020-09-30;null;null;983,309026;null;null;null;
2020-10-31;null;null;null;null;null;null;
2020-11-30;null;null;null;null;null;null;
2020-12-31;11;null;null;null;5,6;null;
2021-01-31;23;94,8;982,69879;25,860887;6,2;1,531586;
2021-02-28;23;448,2;983,098214;25,061458;null;null;
2021-03-31;25;336,6;983,466129;25,094489;null;null;
2021-04-30;22;156;983,377778;25,625833;null;null;
2021-05-31;11;65,8;984,681048;25,52379;null;null;
2021-06-30;3;38;985,034583;25,701389;null;null;
2021-07-31;0;0;985,868548;26,187231;null;null;
2021-08-31;2;5;984,458199;27,474462;null;null;
2021-09-30;9;73,6;984,046552;26,588218;null;null;
2021-10-31;11;70,2;983,000941;26,600806;null;null;
2021-11-30;22;212,6;982,512222;25,6775;null;null;
2021-12-31;27;313,8;982,078629;25,429032;5;null;
2022-01-31;22;202,6;983,63078;25,065054;null;null;
2022-02-28;19;169,2;982,99747;25,650744;null;null;
2022-03-31;22;189,2;982,942473;25,439651;null;null;
2022-04-30;14;166;983,096054;25,943967;null;null;
2022-05-31;null;null;null;null;null;null;
2022-06-30;null;null;null;null;null;null;
2022-07-31;null;null;null;null;null;null;
2022-08-31;null;null;null;null;null;null;
2022-09-30;null;null;null;null;null;null;
2022-10-31;null;null;null;null;null;null;
2022-11-30;null;null;null;null;null;null;
2022-12-31;null;null;null;null;null;null;
2023-01-31;null;null;null;null;null;null;
2023-02-28;null;null;null;null;null;null;
2023-03-31;null;null;null;null;null;null;
2023-04-30;null;null;null;null;null;null;
2023-05-31;8;null;984,450667;26,909333;5,9;1,461333;
2023-06-30;1;5,2;985,587361;26,843194;5,7;1,452874;
2023-07-31;0;0;985,696237;26,942608;null;null;
2023-08-31;7;71,2;984,291264;28,075672;null;null;
2023-09-30;9;56,8;983,356945;28,037361;null;null;
2023-10-31;3;null;null;null;null;null;

