Nome: SANTAREM
Codigo Estacao: A250
Latitude: -2.5025
Longitude: -54.72027777
Altitude: 137
Situacao: Operante
Data Inicial: 2015-09-01
Data Final: 2023-10-11
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2015-09-30;2;6,6;994,349383;27,650771;4,2;1,508025;
2015-10-31;2;7,8;993,899866;28,346371;4,1;1,655914;
2015-11-30;0;0;992,629028;28,557778;4,4;1,749444;
2015-12-31;2;3;994,00914;28,458064;4,5;1,968279;
2016-01-31;10;93,8;994,147178;27,825538;4,4;1,771505;
2016-02-29;22;115,8;994,111782;26,751149;4,5;1,622701;
2016-03-31;27;385,6;995,133333;26,384543;4,4;1,308272;
2016-04-30;25;492,2;994,147361;26,075;4,3;1,206111;
2016-05-31;24;245,4;995,680914;26,230914;3,7;1,177285;
2016-06-30;17;117,8;996,762917;26,022361;3,8;1,082639;
2016-07-31;17;89,4;996,016801;26,175269;3,8;1,080242;
2016-08-31;5;15,2;995,445161;27,333602;3,9;1,306183;
2016-09-30;7;24,6;995,241111;27,209167;3,8;1,234722;
2016-10-31;9;47,4;993,199719;27,437021;4;1,436945;
2016-11-30;6;18,6;992,355972;27,689305;5,9;1,495972;
2016-12-31;15;242,8;993,24664;26,566935;4,3;1,391667;
2017-01-31;20;261,8;994,322043;25,647312;4,1;1,312634;
2017-02-28;25;436,8;994,329613;25,433036;3,4;1,170089;
2017-03-31;25;543,6;994,414382;25,445564;3,4;1,15336;
2017-04-30;22;400;994,422778;26,093333;3,7;1,165417;
2017-05-31;17;232;994,872043;26,149731;3,4;1,112366;
2017-06-30;18;206,6;995,316389;25,961806;3,7;,966111;
2017-07-31;10;45,2;996,960215;26,069489;3,6;1,002554;
2017-08-31;5;42,6;995,086022;27,110618;4,4;1,278495;
2017-09-30;1;3,4;994,531528;27,941389;5,3;1,439583;
2017-10-31;3;52,6;993,223253;27,911022;3,9;1,55457;
2017-11-30;1;null;null;null;4,6;null;
2017-12-31;14;null;993,465942;26,053986;4,1;1,355402;
2018-01-31;null;null;993,738575;25,9625;5,6;1,354301;
2018-02-28;null;null;994,130804;25,179167;4,3;1,116369;
2018-03-31;25;437;994,021371;25,848521;4;1,251613;
2018-04-30;24;458,6;995,046528;25,380556;3,1;1,091528;
2018-05-31;22;221,8;995,420833;25,745833;4,4;1,097043;
2018-06-30;15;116;996,212222;25,559028;3,4;,981322;
2018-07-31;16;140;996,056183;25,678495;3,8;1,057661;
2018-08-31;5;36,2;996,301747;26,359812;3,5;1,193548;
2018-09-30;9;96,6;993,879583;26,971667;4;1,227361;
2018-10-31;0;0;993,194892;28,097715;3,8;1,435081;
2018-11-30;8;159,4;992,570417;27,552917;4,3;1,436806;
2018-12-31;23;514;994,937634;25,558737;3,7;1,229167;
2019-01-31;24;446;995,214919;25,49328;4,7;1,278495;
2019-02-28;22;467,8;994,658482;25,756548;3,8;1,224107;
2019-03-31;27;615,6;995,09664;25,747849;5;1,272581;
2019-04-30;25;487;994,830972;25,940972;3,6;1,179722;
2019-05-31;26;606;994,584812;25,70672;3,2;1,018817;
2019-06-30;16;156,2;996,018333;25,916111;3,2;1,036528;
2019-07-31;17;48,6;996,112097;25,786559;3,6;1,039615;
2019-08-31;9;49,2;996,539516;26,556048;3,5;1,143084;
2019-09-30;5;22,8;994,775972;27,615694;3,7;1,310139;
2019-10-31;8;136,8;993,527419;27,164785;3,7;1,189247;
2019-11-30;9;202,8;992,509722;26,795972;4,2;1,161528;
2019-12-31;19;107;993,011156;26,764651;4,8;1,312634;
2020-01-31;17;null;null;25,893056;3,2;null;
2020-02-29;null;null;null;null;null;null;
2020-03-31;null;null;null;null;null;null;
2020-04-30;null;null;null;null;null;null;
2020-05-31;null;null;null;null;null;null;
2020-06-30;null;null;null;null;null;null;
2020-07-31;null;null;null;null;null;null;
2020-08-31;null;null;null;null;null;null;
2020-09-30;null;null;null;null;null;null;
2020-10-31;null;null;null;null;null;null;
2020-11-30;null;null;null;null;null;null;
2020-12-31;null;null;null;null;null;null;
2021-01-31;null;null;null;null;null;null;
2021-02-28;null;null;null;null;null;null;
2021-03-31;null;null;null;null;null;null;
2021-04-30;null;null;null;null;null;null;
2021-05-31;null;null;null;null;null;null;
2021-06-30;null;null;null;null;null;null;
2021-07-31;null;null;null;null;null;null;
2021-08-31;null;null;null;null;null;null;
2021-09-30;null;null;null;null;null;null;
2021-10-31;null;null;null;null;null;null;
2021-11-30;null;null;null;null;null;null;
2021-12-31;null;null;null;null;null;null;
2022-01-31;null;null;null;null;null;null;
2022-02-28;null;null;null;null;null;null;
2022-03-31;null;null;null;null;null;null;
2022-04-30;null;null;null;null;null;null;
2022-05-31;null;null;null;null;null;null;
2022-06-30;6;null;null;25,646492;3;null;
2022-07-31;5;null;null;null;3,5;null;
2022-08-31;3;null;994,940075;26,660589;3,9;1,045366;
2022-09-30;4;null;994,133695;27,071487;3,8;1,162384;
2022-10-31;5;null;993,072547;27,244076;4,5;1,084283;
2022-11-30;4;null;993,421975;26,599663;4,1;1,191373;
2022-12-31;5;null;null;26,541427;3,3;null;
2023-01-31;7;null;null;null;3,3;null;
2023-02-28;7;null;null;null;2,9;null;
2023-03-31;11;null;994,471323;25,881324;4;1,244261;
2023-04-30;12;null;null;26,230541;3,2;null;
2023-05-31;null;null;994,802156;26,555061;3,1;1,096191;
2023-06-30;null;null;995,977552;26,251166;3,6;,994656;
2023-07-31;null;null;996,232335;26,452492;3,3;1,036166;
2023-08-31;null;null;994,978614;27,685897;3,6;1,133776;
2023-09-30;null;null;994,124206;28,338649;4,9;1,352222;
2023-10-31;null;null;null;null;null;null;

