Nome: ZE DOCA
Codigo Estacao: A255
Latitude: -3.26916666
Longitude: -45.65111111
Altitude: 45.5
Situacao: Operante
Data Inicial: 2019-09-17
Data Final: 2023-10-11
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2019-09-30;1;null;null;null;null;null;
2019-10-31;4;6,6;1005,176467;28,086179;6;2,416936;
2019-11-30;5;41,4;1003,94035;28,403798;5,2;2,244215;
2019-12-31;12;91,8;1004,304704;27,85457;6,2;2,203763;
2020-01-31;30;485,4;1006,082258;26,088978;6,9;1,625713;
2020-02-29;22;318,2;1006,139393;26,340855;7,5;1,637919;
2020-03-31;26;178,8;1006,027215;26,548828;5,9;1,56761;
2020-04-30;25;393,2;1006,516449;26,512313;null;null;
2020-05-31;17;204,6;1006,954032;27,450269;null;null;
2020-06-30;9;43,8;1007,058889;27,443889;null;null;
2020-07-31;2;9;1006,832124;27,436156;null;null;
2020-08-31;0;0;1006,675806;27,765457;null;null;
2020-09-30;4;10,8;1006,112041;28,285562;null;null;
2020-10-31;3;21,6;1005,121996;28,698077;null;null;
2020-11-30;20;155,4;1004,742917;27,444167;null;null;
2020-12-31;13;129;1004,793461;27,153132;null;null;
2021-01-31;17;null;1004,720833;26,65108;null;null;
2021-02-28;20;452,6;1005,062202;26,082292;null;null;
2021-03-31;27;411,8;1005,449001;25,937149;null;null;
2021-04-30;20;282,2;1005,175556;27,074861;null;null;
2021-05-31;16;195,6;1006,506586;27,24207;null;null;
2021-06-30;10;98,2;1007,181111;26,800833;null;null;
2021-07-31;12;86,8;1008,09328;26,698118;null;null;
2021-08-31;6;37;1007,036547;27,023106;null;null;
2021-09-30;null;null;null;null;null;null;
2021-10-31;null;null;null;null;null;null;
2021-11-30;null;null;null;null;null;null;
2021-12-31;null;null;null;null;null;null;
2022-01-31;null;null;null;null;null;null;
2022-02-28;null;null;null;null;null;null;
2022-03-31;null;null;null;null;null;null;
2022-04-30;15;null;null;26,443159;null;null;
2022-05-31;20;164,8;1006,807124;26,636962;null;null;
2022-06-30;10;166,8;1006,581854;26,994734;null;null;
2022-07-31;7;20;1007,101782;27,026654;null;null;
2022-08-31;4;8,6;1006,874813;27,564832;null;null;
2022-09-30;2;16,6;1006,269112;28,057065;null;null;
2022-10-31;4;53,2;1004,963146;28,457123;null;null;
2022-11-30;14;149;1004,852426;27,541868;null;null;
2022-12-31;13;127,8;1004,688669;27,180774;null;null;
2023-01-31;24;220,4;1005,823787;26,223883;null;null;
2023-02-28;17;null;1005,583383;26,319932;null;null;
2023-03-31;26;620;1006,044008;26,238032;null;null;
2023-04-30;20;437,2;1005,320695;26,886389;null;null;
2023-05-31;15;60,4;1006,294221;27,612603;null;null;
2023-06-30;9;53,4;1007,608056;27,475139;null;null;
2023-07-31;2;7;1007,958871;27,774866;null;null;
2023-08-31;3;9;1006,978699;28,208427;null;null;
2023-09-30;0;0;1006,05427;29,020977;6,1;2,69827;
2023-10-31;1;null;null;null;null;null;

