Nome: RECIFE
Codigo Estacao: A301
Latitude: -8.05916666
Longitude: -34.95916666
Altitude: 11.3
Situacao: Pane
Data Inicial: 2004-12-21
Data Final: 2023-10-11
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2004-12-31;null;null;null;null;null;null;
2005-01-31;6;17,8;1010,444706;27,495039;5;2,35395;
2005-02-28;17;86,4;1010,178973;27,496907;5,6;2,204691;
2005-03-31;15;81,2;1010,908333;27,920529;4,6;2,029102;
2005-04-30;21;174,2;1011,235761;26,965954;5,2;1,864986;
2005-05-31;25;515,8;1011,940188;25,531048;5;1,47836;
2005-06-30;30;738,4;1013,474444;24,659722;6,2;1,576111;
2005-07-31;28;186,4;1015,680178;24,044466;5,4;1,799324;
2005-08-31;26;294,4;1015,25672;23,85336;5,2;1,875941;
2005-09-30;18;46;1014,687931;24,885656;5;2,164688;
2005-10-31;10;58,2;1013,475115;25,747478;4,6;2,396175;
2005-11-30;12;11;1011,358254;26,595783;4,9;2,483475;
2005-12-31;16;164,8;1010,386806;26,485278;4,8;2,30375;
2006-01-31;12;13,2;1010,936461;26,774951;4,8;2,449817;
2006-02-28;8;null;1010,510897;27,382609;4,5;2,017334;
2006-03-31;13;null;null;27,030556;null;null;
2006-04-30;19;null;1009,354968;26,36689;null;null;
2006-05-31;6;null;null;null;null;null;
2006-06-30;27;434,4;1014,042331;24,530676;null;null;
2006-07-31;26;229,2;1015,257518;23,94122;null;null;
2006-08-31;22;154,2;1014,883643;24,12381;null;null;
2006-09-30;14;81;1014,680298;24,845588;null;null;
2006-10-31;12;10;1012,46873;26,364779;null;null;
2006-11-30;11;84,4;1011,131871;26,600484;null;null;
2006-12-31;10;108,2;1012,041414;26,694371;null;null;
2007-01-31;14;85,6;1011,625251;26,901911;null;null;
2007-02-28;10;null;null;27,248792;null;null;
2007-03-31;17;115,8;1010,922229;26,315225;null;null;
2007-04-30;19;342,2;1011,416111;25,951528;null;null;
2007-05-31;22;222;1012,222451;25,113412;null;null;
2007-06-30;27;394;1014,358225;24,305387;null;null;
2007-07-31;28;336;1015,016731;23,560841;null;null;
