Nome: SAO JOAO DO PIAUI
Codigo Estacao: A331
Latitude: -8.36444444
Longitude: -42.2525
Altitude: 231
Situacao: Operante
Data Inicial: 2007-08-25
Data Final: 2023-10-11
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2007-08-31;1;null;null;null;null;null;
2007-09-30;0;0;986,630278;28,961667;6,7;3,309028;
2007-10-31;1;,2;983,26385;30,777338;6,1;2,71825;
2007-11-30;4;null;981,45131;30,772645;6,4;2,05131;
2007-12-31;7;22,8;982,30578;29,215054;5,6;1,94422;
2008-01-31;9;60,6;982,337366;28,758065;7,6;1,650538;
2008-02-29;10;56,4;983,634828;27,512947;6,3;1,414167;
2008-03-31;24;308,6;983,703103;25,409771;6,2;1,00845;
2008-04-30;17;262,2;983,224028;25,400972;6,9;1,03875;
2008-05-31;1;,2;985,110536;25,925432;6,6;1,686577;
2008-06-30;0;0;986,744867;25,641159;5,9;2,188605;
2008-07-31;0;0;987,955376;25,975134;6,6;2,797849;
2008-08-31;0;0;985,686828;27,770699;5,8;2,727151;
2008-09-30;1;1,4;985,224722;29,825;6;2,705139;
2008-10-31;1;,4;983,942608;30,947177;7,2;2,842204;
2008-11-30;7;19,8;981,689444;30,859028;6,1;1,781111;
2008-12-31;10;94,6;982,342204;28,019758;7,5;1,647984;
2009-01-31;10;123,4;983,524836;27,052501;5,4;1,492789;
2009-02-28;12;127,6;983,249256;26,12381;6,1;1,210119;
2009-03-31;14;143,4;983,003091;26,194086;4,4;1,071909;
2009-04-30;16;224,8;984,527778;25,57;4,9;1,107639;
