Nome: MONTEIRO
Codigo Estacao: A334
Latitude: -7.89444444
Longitude: -37.12472221
Altitude: 606.39
Situacao: Operante
Data Inicial: 2007-08-21
Data Final: 2023-10-11
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2007-08-31;null;null;null;null;null;null;
2007-09-30;3;2,4;947,671111;22,991389;7,6;3,375139;
2007-10-31;1;2,4;945,109262;24,812699;8,6;3,694121;
2007-11-30;null;null;943,304801;26,039855;8,2;4,310772;
2007-12-31;4;6;943,448925;25,991129;7,7;3,77379;
2008-01-31;4;24,2;943,075672;26,299059;7,9;3,354839;
2008-02-29;6;93,6;944,089339;26,038839;7;2,983937;
2008-03-31;21;272,4;943,497242;24,70495;9,4;1,932661;
2008-04-30;13;52,8;943,35875;23,905833;7,5;1,796667;
2008-05-31;18;215,2;945,149731;22,666667;6,5;1,540726;
2008-06-30;16;61;946,686256;21,301256;6,4;1,843527;
2008-07-31;10;20;947,969624;20,891129;6,3;2,185081;
2008-08-31;11;49,6;946,443011;21,85457;7;2,341129;
2008-09-30;4;3,6;946,706111;23,368472;7,1;2,950556;
2008-10-31;0;0;945,67836;24,838172;7,8;3,631855;
2008-11-30;0;0;943,631945;26,102639;7,9;4,133194;
2008-12-31;5;9,2;943,131989;26,385484;7,3;3,432392;
2009-01-31;6;118;943,952624;26,202963;7,7;3,018771;
2009-02-28;12;80;943,506548;24,851786;8,3;2,488839;
2009-03-31;9;71,6;943,252688;25,494893;8,4;2,520564;
2009-04-30;18;230,2;944,445972;24,413056;5,7;1,764583;
2009-05-31;22;323,6;945,073925;23,249194;5,3;1,595699;
2009-06-30;13;32,6;946,797361;21,995833;5,9;1,754722;
2009-07-31;15;47;947,410753;21,742339;6,7;1,928763;
2009-08-31;13;66;947,150672;21,890188;6,6;2,243548;
2009-09-30;1;,4;946,953056;23,933056;6,8;3,047361;
2009-10-31;3;28,2;944,196667;25,454741;7,5;3,333583;
2009-11-30;3;6;943,900278;25,667361;7,5;3,878472;
2009-12-31;4;17,8;944,14086;25,979032;8;3,688575;
2010-01-31;9;63;944,425672;25,02379;7,5;3,002823;
2010-02-28;8;44;944,002381;25,799107;8,9;2,904911;
2010-03-31;9;38,6;943,937161;26,867847;8,1;2,793385;
2010-04-30;13;105,6;944,285695;25,241667;7,1;2,208194;
2010-05-31;2;13,8;944,853495;25,234677;6,8;1,969086;
2010-06-30;16;138,4;947,351111;22,57625;8,1;1,96875;
2010-07-31;12;20,8;947,508468;21,585753;7,5;2,239919;
2010-08-31;2;,8;947,942742;21,963575;9;2,520161;
2010-09-30;5;7;946,572222;23,188889;7,8;null;
2010-10-31;5;148,4;944,720699;25,28078;null;null;
2010-11-30;0;0;943,291389;25,568611;null;null;
2010-12-31;6;156,4;942,304435;25,175;null;null;
2011-01-31;11;217,2;942,737634;24,903629;null;null;
2011-02-28;13;101,2;943,518899;24,712649;null;null;
2011-03-31;7;null;943,149613;25,005616;null;null;
2011-04-30;8;null;null;24,144792;null;null;
2011-05-31;18;181;944,93908;23,021264;null;null;
2011-06-30;null;null;null;null;null;null;
2011-07-31;1;null;null;null;null;null;
2011-08-31;null;null;null;null;null;null;
2011-09-30;4;null;947,518269;23,077724;null;null;
2011-10-31;4;43;943,980376;24,938844;null;null;
2011-11-30;5;50,6;943,937361;25,114444;7,7;3,936944;
2011-12-31;0;0;943,813844;26,147849;7,9;4,147984;
2012-01-31;8;90,6;944,238307;25,260618;8,4;3,412634;
2012-02-29;6;20,4;943,894684;24,974713;7,3;3,045402;
2012-03-31;2;,8;944,329839;25,903226;8,6;3,1625;
2012-04-30;1;5;944,293472;26,230417;7,6;2,803056;
2012-05-31;7;33,6;945,849866;25,285618;6,7;2,859677;
2012-06-30;8;15,2;947,239028;23,663194;8,1;2,547083;
2012-07-31;8;12,4;947,531048;22,497849;8;2,605108;
2012-08-31;5;8,2;948,614747;22,615972;7,7;3,212692;
2012-09-30;0;0;947,918611;23,9775;7,8;3,661805;
2012-10-31;1;,2;945,318952;25,13414;8,8;4,075672;
2012-11-30;1;4;943,680417;26,365833;8,1;4,564861;
2012-12-31;1;2,8;943,480645;26,659543;8,3;4,087231;
2013-01-31;5;70,8;944,380242;26,599059;8,8;3,824194;
2013-02-28;4;4,8;943,749107;26,875149;8,8;3,952381;
2013-03-31;3;78,6;944,201389;27,062069;8,3;3,503056;
2013-04-30;8;75,6;944,727917;26,203194;7,1;2,812778;
2013-05-31;9;41,2;945,788172;24,444758;7,2;2,253091;
2013-06-30;12;55,2;946,664596;23,412727;8,4;2,257639;
2013-07-31;12;25,8;947,809724;22,225035;8,4;2,336852;
2013-08-31;2;4,6;947,165591;23,232258;7,1;3,017608;
2013-09-30;2;1;946,891389;24,252361;7,6;3,619722;
2013-10-31;3;15,8;945,702957;25,356452;8,1;4,197446;
2013-11-30;2;5,6;943,922917;25,282639;8,3;4,461528;
2013-12-31;5;85,6;944,041936;25,703898;8,6;4,12836;
2014-01-31;5;19,6;944,707258;25,671909;8,1;3,388038;
2014-02-28;7;43,2;943,849851;25,31131;7,6;3,02872;
2014-03-31;12;102,4;944,478226;25,625134;6,9;2,737231;
2014-04-30;12;135,2;944,895556;25,036528;7,7;2,072083;
2014-05-31;16;82,4;945,529436;23,772177;7,1;1,979301;
2014-06-30;9;7,8;947,00875;22,939028;6,1;2,201667;
2014-07-31;9;19,8;948,999328;22,61371;6,5;2,546102;
2014-08-31;3;9,2;948,28625;22,791111;6,8;2,866528;
2014-09-30;null;null;null;null;null;null;
2014-10-31;3;null;null;25,060185;8,8;null;
2014-11-30;5;18;944,550833;25,600694;8,3;3,932917;
2014-12-31;2;null;null;null;7,7;null;
2015-01-31;null;null;null;null;7,8;null;
2015-02-28;null;null;null;null;8,2;null;
2015-03-31;6;null;944,567789;26,455449;8,3;3,145673;
2015-04-30;6;96,2;944,847639;26,359028;7,1;2,612639;
2015-05-31;2;7,6;945,964113;25,828226;8;2,813979;
2015-06-30;12;61,2;947,90125;23,367917;6,6;2,471528;
2015-07-31;11;63;948,175;22,61586;7,3;2,49664;
2015-08-31;5;8,8;947,917204;23,141532;6,9;2,785753;
2015-09-30;0;0;946,805;24,96125;7,7;3,848333;
