Nome: CAMARATUBA
Codigo Estacao: A352
Latitude: -6.56194444
Longitude: -35.13527777
Altitude: 135.51
Situacao: Operante
Data Inicial: 2008-05-03
Data Final: 2023-10-11
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2008-05-31;17;null;996,89908;24,848147;7,2;3,213636;
2008-06-30;22;225,8;998,368881;23,754789;7,9;3,84172;
2008-07-31;22;199,2;999,813312;23,248732;8,7;4,289458;
2008-08-31;22;238,6;998,609274;23,266398;8,2;3,985349;
2008-09-30;16;72,6;999,119583;24,236111;8,2;4,049722;
2008-10-31;15;44,4;998,315054;24,645027;8,6;4,037097;
2008-11-30;10;13,8;996,604028;25,1775;7,2;3,560694;
2008-12-31;9;17,6;995,856084;25,769816;8,1;3,461255;
2009-01-31;14;148,8;996,50779;25,790872;7,5;3,263973;
2009-02-28;19;266,4;995,647283;25,404108;6,3;2,857408;
2009-03-31;22;227,8;995,299194;25,878091;6,2;2,709812;
2009-04-30;23;null;996,256078;25,860027;7,2;2,186182;
2009-05-31;28;344;996,644747;null;6;2,383948;
2009-06-30;27;238,4;998,467888;null;7;3,055939;
2009-07-31;27;294,8;999,360928;null;8,5;3,030856;
2009-08-31;26;201,2;999,259864;null;7,1;3,141445;
2009-09-30;17;75,8;999,703394;null;8,2;3,134758;
2009-10-31;7;9,2;997,218947;null;7,1;3,034227;
2009-11-30;8;15,4;996,844583;null;7,1;3,410556;
2009-12-31;14;20,6;996,728378;null;7,3;3,161016;
2010-01-31;20;178,8;996,620979;null;7,2;3,021307;
2010-02-28;17;60,4;996,062202;null;8,4;3,154762;
2010-03-31;13;32,8;996,061962;null;7,4;2,86922;
2010-04-30;24;156;995,884583;null;7,5;3,095556;
2010-05-31;15;77,6;996,649866;null;7,1;3,162868;
2010-06-30;21;187,6;998,924167;null;7,5;3,354048;
2010-07-31;23;154,8;999,273732;null;7,6;3,805324;
2010-08-31;22;73;1000,142789;null;7,9;4,130026;
2010-09-30;7;null;null;null;null;null;
2010-10-31;2;null;null;null;null;null;
2010-11-30;8;5,6;995,988714;25,657074;8,1;3,824264;
2010-12-31;15;82,2;994,708289;25,730854;7,9;3,373133;
2011-01-31;15;146,2;994,885948;25,472256;7,2;2,997077;
2011-02-28;18;203,8;995,565367;25,8235;7,5;2,949635;
2011-03-31;17;167;995,27979;26,010724;7,2;2,245936;
2011-04-30;4;null;null;null;6,5;null;
2011-05-31;null;null;null;null;null;null;
2011-06-30;null;null;null;null;null;null;
2011-07-31;null;null;null;null;null;null;
2011-08-31;null;null;null;null;null;null;
2011-09-30;10;null;999,952468;23,9505;8,8;4,210545;
2011-10-31;17;27,2;996,78899;24,661372;7,9;2,986086;
2011-11-30;17;40,6;996,704167;25,155417;7,6;2,469583;
2011-12-31;10;44,2;996,755511;25,651344;7,2;3,254839;
2012-01-31;18;65;996,860081;25,267608;7,4;2,993548;
