Nome: SALVADOR
Codigo Estacao: A401
Latitude: -13.005515
Longitude: -38.50576
Altitude: 47.56
Situacao: Operante
Data Inicial: 2000-05-12
Data Final: 2023-10-11
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2000-05-31;null;null;null;null;null;null;
2000-06-30;null;null;null;null;null;null;
2000-07-31;null;null;null;null;null;null;
2000-08-31;null;null;null;null;null;null;
2000-09-30;null;null;null;null;null;null;
2000-10-31;6;null;null;25,608333;5,1;2,180167;
2000-11-30;13;76,2;null;26,052639;5,6;2,033889;
2000-12-31;15;91;null;25,949795;5,2;1,997464;
2001-01-31;18;98,8;1008,195027;26,275;4,2;1,854436;
2001-02-28;10;30,4;1006,404167;27,197917;4,8;1,930655;
2001-03-31;17;249,8;1007,158013;26,646885;4;1,622792;
2001-04-30;22;109,2;1008,223889;26,4175;3,9;1,777361;
2001-05-31;20;207,8;1008,101052;25,826882;4,9;1,730315;
2001-06-30;26;200,4;1011,355066;24,468903;6,2;2,19791;
2001-07-31;24;228,6;1012,070465;23,919624;6,4;2,252419;
2001-08-31;25;134,2;1014,250403;23,545013;5,5;2,736434;
2001-09-30;14;null;1010,489658;23,949696;7,6;2,344925;
2001-10-31;18;210,6;1008,839031;24,795471;6;2,297464;
2001-11-30;8;null;null;25,986594;4,9;null;
2001-12-31;15;118;1006,864773;26,265778;5,3;2,064902;
2002-01-31;17;null;1007,136049;26,029194;5,1;1,832608;
2002-02-28;7;104,8;1007,47445;26,539881;4,5;1,744494;
2002-03-31;19;100,2;1007,55967;26,912747;3,7;1,721011;
2002-04-30;21;71,8;1007,239958;26,531836;4,2;1,682047;
2002-05-31;17;null;1009,088197;25,108044;7;1,991894;
2002-06-30;23;null;1011,898017;24,389224;5,4;1,856807;
2002-07-31;26;266,6;1012,312927;23,65977;12,3;1,563648;
2002-08-31;22;139,8;1012,739739;23,738509;null;null;
2002-09-30;20;267,2;1010,514526;24,367803;null;null;
2002-10-31;7;null;1009,015656;25,483283;null;null;
2002-11-30;12;null;1008,619223;26,08123;null;null;
2002-12-31;2;null;null;null;null;null;
2003-01-31;1;null;null;null;4,5;null;
2003-02-28;8;null;null;27,207418;3,8;null;
