Nome: BARREIRAS
Codigo Estacao: A402
Latitude: -12.12472221
Longitude: -45.02694443
Altitude: 474.17
Situacao: Operante
Data Inicial: 2001-12-19
Data Final: 2023-10-11
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2001-12-31;3;null;null;null;null;null;
2002-01-31;0;0;960,823796;24,745202;7;1,896985;
2002-02-28;null;0;961,375997;25,089956;7,3;1,811891;
2002-03-31;1;27,8;961,291984;26,095488;6,5;1,626964;
2002-04-30;5;31,8;961,05164;25,270575;9;1,51178;
2002-05-31;2;32;962,339444;24,397905;4,6;1,416643;
2002-06-30;1;null;964,937066;23,71135;6,2;1,63869;
2002-07-31;1;null;null;23,931941;6,2;null;
2002-08-31;null;null;null;null;null;null;
2002-09-30;null;null;null;null;null;null;
2002-10-31;null;null;null;null;null;null;
2002-11-30;null;null;null;null;null;null;
2002-12-31;5;null;null;null;null;null;
2003-01-31;null;null;null;null;null;null;
2003-02-28;5;null;null;null;null;null;
2003-03-31;11;135,4;958,128812;25,313687;5,9;1,566198;
2003-04-30;7;105,4;958,81405;25,433178;5;1,332815;
2003-05-31;5;7,2;960,036408;24,600272;7,1;1,4982;
2003-06-30;null;0;960,73719;22,79912;5,1;1,546592;
2003-07-31;0;0;962,489979;22,608857;6,4;1,840377;
2003-08-31;null;null;null;null;5,4;null;
2003-09-30;2;null;null;27,629685;6,6;null;
2003-10-31;2;null;null;27,860571;6,3;null;
2003-11-30;null;null;null;null;null;null;
2003-12-31;null;null;null;null;null;null;
2004-01-31;null;null;null;null;null;null;
2004-02-29;null;null;null;null;null;null;
2004-03-31;null;null;null;null;null;null;
2004-04-30;null;null;null;null;null;null;
2004-05-31;null;null;null;null;null;null;
2004-06-30;null;null;null;null;null;null;
2004-07-31;null;null;null;null;null;null;
2004-08-31;null;null;null;null;null;null;
2004-09-30;null;null;null;null;null;null;
2004-10-31;null;null;null;null;null;null;
2004-11-30;null;null;null;null;null;null;
2004-12-31;null;null;null;null;null;null;
2005-01-31;null;null;null;null;null;null;
2005-02-28;null;null;null;null;null;null;
2005-03-31;null;null;null;null;null;null;
2005-04-30;null;null;null;null;null;null;
2005-05-31;null;null;null;null;null;null;
2005-06-30;null;null;null;null;null;null;
2005-07-31;null;null;961,822007;7,488574;5,6;1,574778;
2005-08-31;null;null;null;null;7;null;
2005-09-30;4;null;958,307186;null;6;2,065601;
2005-10-31;2;null;956,300919;null;6,7;1,999358;
2005-11-30;4;null;null;null;6,2;null;
2005-12-31;9;172,6;955,735589;null;7,5;1,510624;
2006-01-31;3;2,2;955,958216;null;5,5;1,645483;
2006-02-28;2;null;956,220673;null;7,2;1,450149;
2006-03-31;11;163,2;956,901507;24,165484;5,8;1,368476;
2006-04-30;13;null;956,989954;24,117504;7,2;1,226864;
2006-05-31;4;null;null;23,824955;4,2;null;
2006-06-30;0;0;961,354891;23,470676;5;1,502621;
2006-07-31;0;0;961,454704;23,619355;5,8;1,572043;
2006-08-31;1;2,4;959,792363;24,187121;6,8;1,812573;
2006-09-30;4;14,2;959,505954;26,740948;5,4;1,809958;
2006-10-31;18;125,8;957,488038;27,074731;10,2;1,837097;
2006-11-30;10;46,6;957,13145;25,286058;8,4;1,527334;
2006-12-31;null;0;957,960443;25,797884;5,8;1,595963;
2007-01-31;1;,6;957,568233;26,291562;8,1;1,625438;
2007-02-28;0;0;958,404917;24,284996;6,2;1,586368;
2007-03-31;0;0;958,517327;25,216734;5,7;1,488595;
2007-04-30;5;17,6;958,7;25,179167;5,1;1,333194;
2007-05-31;1;,8;959,487809;25,002408;5,1;1,493768;
2007-06-30;0;0;961,772766;23,020471;6,3;1,772705;
2007-07-31;0;0;961,337897;23,425771;5,6;1,731031;
2007-08-31;0;0;961,318817;24,726934;6,6;2,031668;
2007-09-30;0;0;960,54692;27,08212;5,8;2,114124;
2007-10-31;2;,8;957,144069;29,278109;7,1;2,302793;
2007-11-30;3;1;955,719167;28,700694;7,2;2,105139;
2007-12-31;2;,4;956,79207;26,175807;8,9;1,650538;
2008-01-31;9;null;null;25,920175;8,5;null;
2008-02-29;8;null;null;24,6525;4,6;null;
2008-03-31;20;267,2;957,852469;23,959105;6;1,270988;
2008-04-30;13;118,2;957,405278;24,196944;5,1;1,263056;
2008-05-31;2;13,2;959,601251;23,541445;4,6;1,210162;
2008-06-30;0;0;961,384179;22,281685;5,6;1,489897;
2008-07-31;0;0;962,404839;22,104167;6,2;1,629436;
2008-08-31;0;0;959,942473;24,386559;5,9;1,797043;
2008-09-30;3;9,6;959,194306;27,303611;8,1;2,064722;
2008-10-31;1;,2;957,921371;29,401613;7,6;2,292742;
2008-11-30;16;137,6;956,662271;26,610767;7,4;1,728702;
2008-12-31;18;183;956,960484;24,904973;6,7;1,536559;
2009-01-31;13;219,6;957,941234;25,004611;7,3;1,517409;
2009-02-28;14;60;957,444683;24,973999;8,1;1,472998;
2009-03-31;13;160,8;956,993683;25,236022;5,4;1,424866;
2009-04-30;20;202,2;958,861111;24,259583;8,4;1,147361;
2009-05-31;11;37,8;960,020161;23,315591;5,4;1,208065;
2009-06-30;5;79,8;961,387917;22,294028;4,9;1,242222;
2009-07-31;0;0;961,479167;22,234812;4,9;1,488172;
2009-08-31;0;0;960,553495;24,683199;5,5;1,677554;
2009-09-30;5;1,8;959,068889;27,943194;5,4;1,903194;
2009-10-31;18;240,6;956,86408;26,566667;6,9;1,704885;
2009-11-30;10;66,2;956,796806;25,739028;5,7;1,508333;
2009-12-31;18;318;957,871237;24,997849;7,7;1,581586;
2010-01-31;12;59,8;958,146774;24,928531;6,7;1,48816;
2010-02-28;12;87,4;957,674107;25,834673;6,3;1,489286;
2010-03-31;19;217;958,04664;25,378898;7,5;1,464919;
2010-04-30;9;90,4;958,764583;24,684028;6,5;1,406528;
2010-05-31;6;12,4;958,826882;25,069489;4,7;1,337366;
2010-06-30;0;0;961,890833;23,090556;5,7;1,65875;
2010-07-31;null;null;null;23,587302;5,1;null;
2010-08-31;null;0;961,711329;23,654561;5,8;1,833159;
2010-09-30;0;0;959,322778;26,777222;7,5;2,139306;
2010-10-31;9;104,8;956,932258;28,417473;6,1;2,064516;
2010-11-30;19;181,8;956,437083;25,704444;7,9;1,532222;
2010-12-31;16;222,6;955,475403;25,246909;8,2;1,517608;
2011-01-31;20;240,4;956,683199;24,546505;8,9;1,463038;
2011-02-28;14;139,6;957,508482;24,245536;6,6;1,354613;
2011-03-31;21;188;957,346252;24,244925;7,8;1,252717;
2011-04-30;16;30,4;958,520833;24,671111;6;1,353056;
2011-05-31;2;,4;959,438172;23,564382;5;1,412231;
2011-06-30;0;0;960,771528;22,593056;4,4;1,588611;
2011-07-31;0;0;961,147446;22,539919;6,5;1,77836;
2011-08-31;0;0;960,579704;24,887097;5,7;1,693817;
2011-09-30;0;0;960,542361;26,18125;6,1;2,004167;
2011-10-31;14;178,6;956,882392;26,790323;7,8;1,612366;
2011-11-30;13;238,6;957,689306;24,267917;6,9;1,546111;
2011-12-31;13;217,8;957,271909;24,48871;6,5;1,376882;
2012-01-31;6;null;null;null;8,5;null;
2012-02-29;null;null;null;null;null;null;
2012-03-31;5;null;null;25,691916;4,8;null;
2012-04-30;1;,4;957,792478;26,270622;5,5;1,529728;
2012-05-31;2;4,4;null;25,683602;5,7;1,544758;
2012-06-30;1;1,2;null;24,930537;5;1,740537;
2012-07-31;0;0;null;24,200853;5,7;1,778162;
