Nome: LUIZ EDUARDO MAGALHAES
Codigo Estacao: A404
Latitude: -12.1525
Longitude: -45.82972221
Altitude: 760.68
Situacao: Operante
Data Inicial: 2002-04-17
Data Final: 2023-10-11
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2002-04-30;1;null;null;null;null;null;
2002-05-31;6;12,6;928,623016;23,194132;8,3;2,741255;
2002-06-30;1;null;930,999483;22,217545;9,1;3,407638;
2002-07-31;3;null;930,737332;22,797891;9,3;3,050435;
2002-08-31;2;null;930,275915;23,308072;9,9;3,471987;
2002-09-30;4;5,8;928,795707;24,78453;10;3,463137;
2002-10-31;4;19,2;926,588877;26,219274;8,5;2,954128;
2002-11-30;11;null;927,329001;25,187727;8,9;2,882503;
2002-12-31;18;null;927,35877;24,091682;8,8;2,454285;
2003-01-31;8;null;null;null;10,1;null;
2003-02-28;14;168;927,991608;23,827808;9;2,583987;
2003-03-31;15;102,6;927,592204;23,859226;9,7;2,403053;
2003-04-30;6;99,6;928,284996;24,34778;8,4;2,585613;
2003-05-31;4;6,6;929,358306;23,100183;9,3;3,062217;
2003-06-30;null;0;929,974022;21,739064;7,5;3,123296;
2003-07-31;1;null;931,931545;20,850417;8;3,72524;
2003-08-31;5;20;930,487967;22,928731;8,5;2,954021;
2003-09-30;3;22,8;929,075468;24,526006;10,1;3,440374;
2003-10-31;8;52,6;927,160157;25,275436;8,4;2,941535;
2003-11-30;15;91,6;926,412913;24,343611;7,8;2,675;
2003-12-31;11;null;null;24,23343;9,5;null;
2004-01-31;18;null;926,154977;22,801587;13,2;2,546275;
2004-02-29;21;284;927,817206;23,187992;6;,068166;
2004-03-31;23;271,6;927,532853;23,203511;0;0;
2004-04-30;11;57,8;928,042748;23,766806;6,9;,464444;
2004-05-31;1;1;929,347201;23,311693;7,7;3,189247;
2004-06-30;1;null;931,963261;21,176544;7,8;3,560551;
2004-07-31;0;0;930,661314;20,826432;8,8;3,539078;
2004-08-31;0;0;930,890115;22,531528;8,2;3,379121;
2004-09-30;1;null;928,7551;24,243004;7,8;3,597924;
2004-10-31;11;39,4;926,828302;25,302904;7,9;3,167193;
2004-11-30;10;114;926,255573;25,240433;8,8;3,295509;
2004-12-31;2;null;null;null;10,4;null;
2005-01-31;null;null;null;null;8,7;null;
2005-02-28;null;null;null;null;null;null;
