Nome: MACAJUBA
Codigo Estacao: A412
Latitude: -12.13166666
Longitude: -40.35416666
Altitude: 360
Situacao: Operante
Data Inicial: 2003-02-02
Data Final: 2023-10-11
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2003-02-28;10;14,6;973,618439;26,653021;10,4;3,759925;
2003-03-31;12;45,6;972,955511;26,788306;10,7;3,620968;
2003-04-30;8;6;973,805972;26,28875;10,9;3,332361;
2003-05-31;12;null;null;23,753574;8,5;null;
2003-06-30;23;79,6;976,734405;21,516092;9,1;2,172996;
2003-07-31;21;46,8;978,775672;20,805242;8,7;2,563844;
2003-08-31;18;37,6;977,99664;22,012903;8,9;2,769489;
2003-09-30;15;49,2;976,964722;22,974722;9,9;3,300556;
2003-10-31;4;2,6;974,80672;25,049597;9,2;4,292339;
2003-11-30;10;67,6;973,13875;25,352778;9,8;3,687361;
2003-12-31;4;38,8;972,919489;26,685215;10;3,753629;
2004-01-31;20;406,2;971,627904;25,508608;9,4;3,148153;
2004-02-29;11;35,6;973,187687;25,465424;8,2;2,360982;
2004-03-31;13;111,6;972,999059;25,042608;8,2;2,30793;
2004-04-30;13;70,6;973,885791;24,823841;7,3;2,307784;
2004-05-31;16;54,6;975,52285;23,206989;7,2;2,065188;
2004-06-30;22;45,4;978,612911;21,345978;8,6;2,099348;
2004-07-31;14;48,4;977,729839;20,971505;8,2;2,230704;
2004-08-31;7;6,4;978,471675;22,236635;8,2;2,851368;
2004-09-30;9;8,2;976,978496;23,247416;10;3,673074;
2004-10-31;6;16,8;974,105605;25,067665;9,6;3,764015;
2004-11-30;9;110,6;973,092211;25,672082;10,1;3,818295;
2004-12-31;null;0;972,562037;26,22367;8,9;2,794197;
2005-01-31;10;74,4;971,63453;26,650647;10,8;2,84826;
2005-02-28;11;null;971,972347;25,921398;9;2,752612;
2005-03-31;11;49;972,91014;25,951719;6,8;2,131126;
2005-04-30;22;129,8;974,193872;24,273988;7,6;2,287927;
2005-05-31;16;null;975,508468;23,181549;7,3;2,29943;
2005-06-30;22;null;977,058796;21,64129;8,4;2,224281;
2005-07-31;7;null;null;null;6,5;null;
2005-08-31;10;null;null;null;7,3;null;
2005-09-30;11;null;976,566637;23,426062;8,1;2,889174;
2005-10-31;4;8,8;974,82251;25,212456;9,1;3,519737;
2005-11-30;10;132,4;972,681805;25,113194;8,6;3,104306;
2005-12-31;4;75,2;972,072312;25,134677;7,2;2,662903;
2006-01-31;9;27,8;972,994086;25,572984;10,1;3,283333;
2006-02-28;2;null;971,582995;27,491107;9;3,039579;
2006-03-31;14;169,8;972,185345;26,358333;7,6;2,341092;
2006-04-30;18;null;972,452697;24,456988;9,8;1,971243;
2006-05-31;3;null;null;22,651581;null;null;
2006-06-30;1;,2;977,935737;20,887291;null;null;
2006-07-31;8;2;978,660048;20,557831;null;null;
2006-08-31;5;7,4;977,732944;21,707446;null;null;
2006-09-30;13;17,6;976,720565;22,958673;null;null;
2006-10-31;9;24,2;973,981148;24,136816;null;null;
2006-11-30;4;null;null;24,591529;null;null;
2006-12-31;1;null;null;25,760691;null;null;
2007-01-31;2;,8;972,837402;27,320882;null;null;
2007-02-28;3;null;null;24,902344;10,5;null;
2007-03-31;null;null;null;24,791111;null;null;
2007-04-30;null;null;null;24,225179;null;null;
2007-05-31;null;null;null;null;6,6;null;
2007-06-30;null;null;null;null;null;null;
2007-07-31;3;null;null;22,112979;9;null;
2007-08-31;15;65,6;978,448502;21,162862;10,5;3,147593;
2007-09-30;17;56,6;978,346926;21,776335;10;3,329897;
2007-10-31;9;25,4;974,960905;24,096348;9,4;3,575713;
2007-11-30;4;61,8;972,452778;25,8575;10,4;3,615157;
2007-12-31;7;50,4;972,388003;25,461828;8,1;3,010992;
2008-01-31;2;,4;972,094355;26,5875;9,5;3,487366;
2008-02-29;10;143;972,530292;26,379484;10,3;3,180234;
2008-03-31;9;null;972,160033;25,299826;8,6;2,225167;
2008-04-30;null;null;972,068261;25,461649;8,8;2,289407;
2008-05-31;null;0;974,709977;23,859757;9,9;2,52412;
2008-06-30;10;40;977,087919;21,517042;9,4;2,42966;
2008-07-31;19;31,2;978,753925;20,491944;9,1;2,443979;
2008-08-31;12;18,6;976,691954;22,235057;10,1;3,159914;
2008-09-30;9;26;976,63;23,523472;8,8;3,544167;
2008-10-31;7;14,4;975,57125;24,954167;9,8;4,178333;
2008-11-30;4;null;null;null;9,1;null;
2008-12-31;12;102,2;972,001882;25,255914;8,3;2,885081;
2009-01-31;10;30,4;972,754976;26,522017;9,6;3,210024;
2009-02-28;10;null;null;25,625;9,5;null;
2009-03-31;3;11,2;971,224328;27,989247;11,3;3,084946;
2009-04-30;11;90,6;973,091111;25,852778;10,4;2,616806;
2009-05-31;15;80,8;974,80457;23,937634;9,1;2,613038;
2009-06-30;17;36,6;976,738472;22,509444;7,3;1,912778;
2009-07-31;16;60;977,393279;22,577419;7,6;2,403091;
2009-08-31;22;44;977,263844;22,581048;9,3;2,902688;
2009-09-30;8;16,2;976,090972;25,290139;9,9;3,5325;
2009-10-31;11;187;972,678161;25,713937;8,4;3,213218;
2009-11-30;4;2,8;972,820833;25,690417;8,9;2,855556;
2009-12-31;9;54;972,760081;26,40121;9,8;2,71707;
2010-01-31;11;88,6;973,337317;25,98447;9,8;2,689052;
2010-02-28;8;18;972,91875;27,178125;8,9;3,236161;
2010-03-31;17;229;972,565726;26,059409;8,3;1,956317;
2010-04-30;16;131,6;973,631309;24,525575;7,5;1,841171;
2010-05-31;6;2,4;974,291532;24,488844;6,1;1,720027;
2010-06-30;7;18,8;977,701389;22,424028;9,2;2,332361;
2010-07-31;21;26,4;978,275403;21,259274;10;2,661022;
2010-08-31;1;null;null;20,754076;8,8;null;
2010-09-30;null;null;null;null;null;null;
2010-10-31;1;null;null;26,124579;8,2;null;
2010-11-30;2;null;null;26,278889;8,9;null;
2010-12-31;1;null;null;null;null;null;
2011-01-31;null;null;null;null;null;null;
2011-02-28;null;null;null;null;null;null;
2011-03-31;1;null;null;null;null;null;
2011-04-30;null;null;null;null;null;null;
2011-05-31;null;null;null;null;null;null;
2011-06-30;null;null;null;null;null;null;
2011-07-31;null;null;null;null;null;null;
2011-08-31;12;null;977,693667;22,421833;7,6;2,696667;
2011-09-30;9;12,4;978,154861;22,305;9,1;3,231389;
2011-10-31;null;null;973,286559;24,775134;9,8;3,281317;
2011-11-30;3;null;973,392221;23,495573;9,9;3,261127;
2011-12-31;3;null;null;25,495139;8,5;null;
2012-01-31;3;null;973,08483;26,06856;10,1;3,160999;
2012-02-29;12;46,2;973,095495;25,735071;8,8;3,018837;
2012-03-31;2;11,8;973,442473;26,413575;9,5;3,009274;
2012-04-30;6;8,2;973,668611;25,709583;8,7;2,801111;
2012-05-31;13;25;975,665457;24,176075;7,6;2,481317;
2012-06-30;15;34,4;977,191806;23,323194;8,7;2,635139;
2012-07-31;13;32,6;977,809056;21,801637;7,9;2,553417;
2012-08-31;18;55,4;979,444662;21,376667;9,5;3,254608;
2012-09-30;7;5,6;977,841944;23,69875;9,7;3,472361;
2012-10-31;9;6,8;974,929167;24,989113;10,2;4,059274;
2012-11-30;12;78,8;972,17875;25,535417;9;2,713611;
2012-12-31;3;5,8;972,315457;26,876882;8,8;3,247446;
2013-01-31;9;146,6;973,028226;26,609543;13,6;3,016667;
2013-02-28;10;37,2;973,104018;26,489583;11;3,152232;
2013-03-31;5;5;973,06;27,533046;9,8;3,190194;
2013-04-30;9;35;974,043195;25,877361;11,2;2,714444;
2013-05-31;9;25,2;975,238441;24,758602;7,7;2,598387;
2013-06-30;19;63,8;976,58995;22,940328;7,3;2,131275;
2013-07-31;16;47,4;978,035484;21,92836;8,5;2,113575;
2013-08-31;19;32,8;977,513307;22,110887;9,5;2,698387;
2013-09-30;12;23;976,724583;23,725556;9,4;3,386389;
2013-10-31;13;14;975,122043;25,226613;10,3;4,100269;
2013-11-30;9;29,4;972,796944;25,641806;9,6;3,759028;
2013-12-31;12;207,2;972,075269;25,922984;7,7;2,494624;
2014-01-31;7;12,8;974,057527;26,018011;9,5;3,186559;
2014-02-28;16;39,4;973,25372;25,378125;8,5;3,097173;
2014-03-31;12;43,4;973,603495;25,952957;10,3;2,697581;
2014-04-30;8;35,6;973,788195;26,255417;8,5;2,600556;
2014-05-31;17;52,4;975,08293;23,949731;7,1;2,268817;
2014-06-30;17;45,4;977,17125;22,63625;8,5;2,35625;
2014-07-31;17;60,2;979,441263;22,04328;8,1;2,522312;
2014-08-31;15;32,8;978,658018;21,960127;9,5;2,641754;
2014-09-30;12;24,8;976,995694;23,459722;11,4;3,424306;
2014-10-31;7;14,8;975,946505;24,866935;9,8;4,030376;
2014-11-30;14;63,2;973,383056;25,21875;9,6;3,035417;
2014-12-31;21;279;973,943414;24,690457;9,1;2,488038;
2015-01-31;3;4;974,750041;26,131697;8,8;2,608327;
2015-02-28;12;90,2;973,920387;25,945833;11,5;2,551935;
2015-03-31;3;4,4;973,365054;26,995161;8;2,607527;
2015-04-30;9;28,2;973,644861;26,191667;7,3;2,227639;
2015-05-31;19;72;975,937634;23,73172;8,1;2,038172;
2015-06-30;26;85,6;978,325595;21,837649;7,9;1,913244;
2015-07-31;24;52,8;978,507527;21,683199;8,1;2,008468;
2015-08-31;20;50,6;978,23293;21,954167;9,8;2,734543;
2015-09-30;7;10,8;976,142083;24,729445;8,4;3,097778;
2015-10-31;5;7,8;975,559409;25,912903;9,2;3,573118;
2015-11-30;2;1,2;972,535972;27,972917;9,3;3,530556;
2015-12-31;2;7,2;974,28629;28,00914;10,4;3,939516;
2016-01-31;19;426;973,073521;25,950269;8,4;2,435081;
2016-02-29;5;4,6;974,400718;26,486925;7,5;2,547414;
2016-03-31;12;23,2;974,613978;26,889919;9,1;2,495968;
2016-04-30;15;31,4;974,497917;25,6075;8,5;2,405278;
2016-05-31;12;46;976,593145;24,105108;7,3;2,009946;
2016-06-30;10;23;978,125139;23,208472;7,3;2,119167;
2016-07-31;16;62,8;978,453629;21,73078;9,4;2,114516;
2016-08-31;14;46,2;977,866936;22,796909;7,9;2,577419;
2016-09-30;13;38,6;977,085972;23,462778;9,2;2,880417;
2016-10-31;11;103;974,406615;25,146909;8,7;3,134584;
2016-11-30;9;87,6;973,381806;25,291667;9,3;2,734722;
2016-12-31;9;15;973,048522;26,641532;9,3;3,099597;
2017-01-31;2;3,8;973,469086;27,059274;9,6;3,384543;
2017-02-28;10;27,8;973,15878;26,845387;10,3;3,319048;
2017-03-31;4;9,2;973,028898;26,996102;8,9;2,933199;
2017-04-30;12;115,4;974,225278;25,504444;9,9;2,583611;
2017-05-31;4;3,4;975,706452;23,681586;7;2,179839;
2017-06-30;9;6;977,527917;22,843056;8,5;2,496528;
2017-07-31;16;16,2;980,72043;20,636962;9,6;2,996237;
2017-08-31;13;16,2;977,920161;21,922849;8,2;2,439919;
2017-09-30;2;null;null;null;null;null;
2017-10-31;5;null;975,191493;25,31059;9,4;4,097049;
2017-11-30;9;84,4;972,817222;25,527917;9,2;2,968194;
2017-12-31;8;54,4;972,401613;26,393011;8,2;2,688172;
2018-01-31;6;80,6;973,114516;26,418548;8;2,768548;
2018-02-28;8;74;972,371429;26,385119;7,5;2,54628;
2018-03-31;17;106,2;972,528763;26,007392;7,6;1,897312;
2018-04-30;null;null;974,765556;24,375556;7,8;1,842361;
2018-05-31;null;null;976,26922;23,241667;8,3;1,693548;
2018-06-30;null;null;978,137677;22,157311;8,1;1,689268;
2018-07-31;null;null;978,395296;21,821774;8,8;1,570161;
2018-08-31;10;33,8;978,183737;22,98172;8,5;2,251747;
2018-09-30;7;9,2;975,644722;24,264583;9,8;2,299583;
2018-10-31;3;3,2;973,819086;26,369624;8,7;1,078898;
2018-11-30;11;26;973,455417;26,203611;9,6;1,561111;
2018-12-31;10;32,6;974,012903;25,057527;8,2;,438441;
2019-01-31;9;17,4;974,855645;27,106048;9,2;1,698387;
2019-02-28;9;28,2;972,715923;28,147917;8,7;1,467113;
2019-03-31;11;135,8;973,370296;26,906183;11,9;2,348253;
2019-04-30;13;37,2;973,742222;25,509583;6,1;1,675694;
2019-05-31;15;40,6;974,551613;25,102823;6,2;1,809543;
2019-06-30;21;68,6;978,151766;22,55977;7,2;2,213413;
2019-07-31;18;48,4;978,14543;21,722715;7,5;2,218817;
2019-08-31;21;74;979,699731;21,506452;8,9;2,466532;
2019-09-30;16;47,4;977,076667;23,253056;8,9;2,712222;
2019-10-31;10;7,4;974,583468;25,810618;9;3,717608;
2019-11-30;5;30,4;972,466389;26,994445;9,4;3,550694;
2019-12-31;6;20,4;972,728472;27,435972;9,4;3,746111;
2020-01-31;9;37,8;973,002285;26,548118;7,6;2,376344;
2020-02-29;null;null;973,267137;27,372518;8;2,58861;
2020-03-31;null;null;973,029032;26,031048;9,2;2,083737;
2020-04-30;null;null;974,460139;24,773194;6,2;1,814861;
2020-05-31;null;null;976,233064;23,518817;8,9;1,763575;
2020-06-30;null;null;977,373056;22,319861;8,6;2,0975;
2020-07-31;null;null;977,707393;21,333737;8,1;2,205511;
2020-08-31;null;null;977,85121;21,536425;7,5;2,202285;
2020-09-30;null;null;976,952083;22,843056;9;2,732083;
2020-10-31;null;null;973,862646;25,839879;7,8;2,781785;
2020-11-30;null;null;null;24,738111;8,7;null;
2020-12-31;null;null;973,355705;26,290714;8,2;2,64248;
2021-01-31;null;null;null;null;8,5;null;
2021-02-28;null;null;null;null;9,3;null;
2021-03-31;null;null;null;null;8,3;null;
2021-04-30;null;null;null;null;8,3;null;
2021-05-31;null;null;null;null;6,1;null;
2021-06-30;null;null;null;null;6,7;null;
2021-07-31;null;null;null;null;7,3;null;
2021-08-31;null;null;null;null;8,7;null;
