Nome: BOM JESUS DA LAPA
Codigo Estacao: A418
Latitude: -13.25111111
Longitude: -43.40527777
Altitude: 447.75
Situacao: Operante
Data Inicial: 2007-05-17
Data Final: 2023-10-11
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2007-05-31;null;null;null;null;null;null;
2007-06-30;null;0;965,360006;24,60263;5,2;1,826492;
2007-07-31;0;0;964,984654;24,794986;4,4;1,682737;
2007-08-31;null;0;965,377371;24,898185;5,1;2,131329;
2007-09-30;null;null;null;null;null;null;
2007-10-31;null;null;null;null;null;null;
2007-11-30;null;null;null;null;null;null;
2007-12-31;null;null;null;null;null;null;
2008-01-31;null;null;null;null;null;null;
2008-02-29;7;null;null;26,43125;4,8;null;
2008-03-31;9;43,2;960,90467;25,777858;4,3;1,449094;
2008-04-30;9;158;960,595972;25,667361;4,9;1,123472;
2008-05-31;0;0;962,868537;25,114691;3,4;1,429517;
2008-06-30;0;0;964,945688;23,866999;5,2;1,802627;
2008-07-31;0;0;966,134543;23,435484;4,9;1,845027;
2008-08-31;0;0;963,730511;25,347581;4,8;1,673925;
2008-09-30;2;29,4;962,924722;27,572083;4,7;1,593611;
2008-10-31;0;0;961,701882;29,646102;4,8;1,789113;
2008-11-30;17;184,6;960,081313;27,044167;5,7;1,610328;
2008-12-31;16;157,6;960,291801;25,368145;6,2;1,467608;
2009-01-31;12;107;961,259695;26,114423;6,1;1,426327;
2009-02-28;12;106,8;960,586355;26,766207;8,1;1,5294;
2009-03-31;11;163,6;960,007527;27,060081;4,1;1,443011;
2009-04-30;13;94,4;962,19375;25,035833;4,5;1,432083;
2009-05-31;4;19,6;963,465995;24,041129;4,7;1,66465;
2009-06-30;3;9;964,760833;24,0775;5,2;1,641528;
2009-07-31;0;0;964,884005;24,910215;3,9;1,632661;
2009-08-31;0;0;964,210349;26,06371;5;1,758199;
2009-09-30;2;2,8;962,633472;29,050556;4,8;1,644306;
2009-10-31;11;181,8;960,125718;27,972845;5,7;1,463649;
2009-11-30;4;27,8;960,1175;27,479028;4,4;1,382778;
2009-12-31;15;186,2;961,095027;26,422446;5,2;1,572984;
2010-01-31;9;27,8;961,328968;26,943624;4,7;1,436559;
2010-02-28;8;45,4;960,904762;28,025744;6,7;1,73497;
2010-03-31;18;151,4;961,349971;26,240153;6,6;1,493975;
2010-04-30;7;121,6;962,222361;25,585139;4,6;1,473889;
2010-05-31;1;30,2;962,177419;26,54879;4,4;1,430645;
2010-06-30;0;0;965,525139;24,321528;4,6;1,881806;
2010-07-31;1;,2;965,951613;24,544086;4,9;1,990188;
2010-08-31;0;0;965,488967;24,929868;5,5;1,661395;
2010-09-30;1;6,8;963,2925;27,184722;4,9;1,787222;
2010-10-31;8;79,8;960,275672;29,512769;5,7;1,463575;
2010-11-30;8;2,6;959,795139;26,669167;8;1,423056;
2010-12-31;0;0;958,742204;26,245027;4,9;1,310484;
2011-01-31;17;41,8;959,979436;25,853763;5,5;1,338038;
2011-02-28;6;71;960,43006;26,951339;5,6;1,38125;
2011-03-31;17;161;960,549218;25,553409;4,5;1,303257;
2011-04-30;9;34,6;961,926944;25,765139;5,8;1,617778;
2011-05-31;5;10,4;962,861775;25,06153;4,3;1,66534;
2011-06-30;0;0;964,153056;24,837917;4,5;1,599861;
2011-07-31;0;0;964,766129;24,434543;5;1,71828;
2011-08-31;0;0;964,25672;26,374328;4,9;1,574059;
2011-09-30;0;0;964,547361;26,708889;5,4;1,699583;
2011-10-31;9;92,8;960,445921;27,446009;6,2;1,692602;
2011-11-30;16;134;961,179028;24,975972;5,8;1,516667;
2011-12-31;11;191,4;960,602419;25,806048;6,8;1,461694;
2012-01-31;7;46,6;961,061559;26,434543;6,5;1,551747;
2012-02-29;8;null;null;26,180044;4,6;null;
2012-03-31;null;null;null;null;null;null;
2012-04-30;1;null;null;null;null;null;
2012-05-31;6;34,2;963,227419;26,452151;6,7;1,779704;
2012-06-30;2;1,6;964,500205;26,168158;4,4;1,574734;
2012-07-31;0;0;964,991935;25,193011;4,6;1,622581;
2012-08-31;null;0;966,660887;24,910694;5,7;2,032277;
2012-09-30;1;2;964,19439;28,20314;5,1;1,641467;
2012-10-31;4;16,2;961,018548;29,484812;4,8;1,602419;
2012-11-30;23;286;960,557917;25,303889;4,8;1,250139;
2012-12-31;2;1,6;959,82379;28,529167;4,9;1,466129;
2013-01-31;16;136;961,240188;26,96922;6,4;1,369086;
2013-02-28;2;33,6;960,391072;29,052976;5,5;1,452679;
2013-03-31;10;68,4;960,839556;28,714224;4,7;1,289889;
2013-04-30;8;59,4;962,345695;26,590417;4,2;1,567639;
