Nome: IRECE
Codigo Estacao: A424
Latitude: -11.328998
Longitude: -41.864504
Altitude: 768.42
Situacao: Operante
Data Inicial: 2008-03-30
Data Final: 2023-10-11
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2008-03-31;null;null;null;null;null;null;
2008-04-30;8;108,2;926,147173;23,464732;5,1;1,913691;
2008-05-31;1;21;928,307767;22,231826;6,5;2,683602;
2008-06-30;1;,6;930,102754;21,028623;7,1;3,293087;
2008-07-31;0;0;931,338306;20,256989;7,1;3,450672;
2008-08-31;3;2;929,399462;21,837769;8;3,415995;
2008-09-30;0;0;929,311111;23,705278;6,6;3,255695;
2008-10-31;2;,8;928,314919;24,988306;7,2;3,688575;
2008-11-30;4;23;925,652778;26,241528;7,5;3,012222;
2008-12-31;12;166,6;925,784677;24,113575;7,7;2,506452;
2009-01-31;11;167,6;926,671745;24,145582;6,8;2,241959;
2009-02-28;5;59,6;926,170141;24,603229;6,5;2,427142;
2009-03-31;8;78,4;925,561694;25,966263;6,4;2,027151;
2009-04-30;12;137;927,274444;23,700694;5,4;1,969028;
2009-05-31;4;3,8;928,328495;22,780108;6,4;2,625403;
2009-06-30;4;2,2;929,957222;22,13125;7;2,797222;
2009-07-31;3;2,8;930,390591;22,01129;6,1;2,958602;
2009-08-31;1;,2;930,052688;22,515457;5,9;3,375134;
2009-09-30;1;,4;929,028056;25,16375;6,6;3,071806;
2009-10-31;6;114,6;926,252011;25,047414;5,8;2,552586;
2009-11-30;1;,6;926,185972;24,914306;5,5;2,654444;
2009-12-31;10;66,6;926,67164;24,508602;6,6;2,335215;
2010-01-31;7;109;927,063614;24,489167;5,2;2,45073;
2010-02-28;7;42,2;926,714881;25,636161;6;2,790774;
2010-03-31;15;210,4;926,821616;24,20599;5,9;1,990784;
2010-04-30;9;92;927,447222;23,144861;5,6;2,296111;
2010-05-31;2;,4;927,923937;23,504362;5,3;2,32726;
2010-06-30;1;,8;930,686111;21,92625;7,3;3,052361;
2010-07-31;3;1,4;931,008065;20,971505;6,9;3,526613;
2010-08-31;4;4;931,118841;20,945921;6,7;3,263634;
2010-09-30;1;,4;929,364028;22,872222;7,3;3,504861;
2010-10-31;8;81,6;926,77043;25,717339;7;2,704704;
2010-11-30;8;43,4;925,355278;25,404028;5,4;2,565833;
