Nome: PORTO SEGURO
Codigo Estacao: A427
Latitude: -16.38888888
Longitude: -39.18249999
Altitude: 86.36
Situacao: Operante
Data Inicial: 2008-07-09
Data Final: 2023-10-11
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2008-07-31;7;null;null;19,732083;4,7;null;
2008-08-31;21;74;1008,282796;20,80672;3,8;1,232258;
2008-09-30;15;50,4;1007,953472;21,735139;4,4;1,530417;
2008-10-31;12;127,6;1006,727823;23,34879;5,2;1,860484;
2008-11-30;17;187,2;1003,209773;24,04101;5,1;1,789937;
2008-12-31;22;166,6;1002,319489;24,507661;4,8;1,71129;
2009-01-31;19;150;1003,355768;25,058047;5,3;1,598416;
2009-02-28;18;63,8;1003,231897;25,121597;4,3;1,427019;
2009-03-31;18;176,2;1001,644355;25,685887;4,1;1,400573;
2009-04-30;21;332,8;1003,7625;24,422222;5;1,248056;
2009-05-31;22;205;1006,055376;22,676344;4,1;1,241667;
2009-06-30;23;199,2;1007,873889;21,874306;4,4;1,1925;
2009-07-31;20;123,8;1008,635753;21,45457;3,5;1,14543;
2009-08-31;24;168,4;1008,789113;21,436156;4;1,293414;
2009-09-30;18;103,6;1007,205556;22,817222;4,7;1,578611;
2009-10-31;20;273;1003,296983;23,764368;4,7;1,634914;
2009-11-30;11;28,2;1003,238194;24,783472;4,9;1,851528;
2009-12-31;5;7,8;1003,020833;25,953091;5,2;1,909543;
2010-01-31;14;48,8;1004,131635;25,923913;5,7;1,699218;
2010-02-28;17;67;1003,89747;25,662351;6,5;1,392728;
2010-03-31;22;306;1002,537962;25,82583;4,7;1,488704;
2010-04-30;23;171,6;1004,340556;24,398889;4,2;1,357083;
2010-05-31;18;75,4;1005,022984;23,384409;3,6;1,187634;
2010-06-30;22;116,4;1009,462083;21,299306;4;1,381944;
2010-07-31;31;189,8;1010,26586;21,217339;4;1,374328;
2010-08-31;24;73,2;1010,354003;20,324094;4,1;1,290486;
2010-09-30;24;62,6;1008,468611;21,415;4,5;1,544167;
2010-10-31;19;93,2;1004,558468;23,357393;4,8;1,746371;
2010-11-30;23;210;1002,466111;24,359722;5;1,770695;
2010-12-31;14;93,2;1000,529839;25,213441;4,8;1,929032;
2011-01-31;20;108,8;1002,438307;24,813441;5;1,525312;
2011-02-28;21;87,6;1003,100298;24,795685;4;1,335844;
2011-03-31;18;170,4;1001,745642;25,072944;5,2;1,502534;
2011-04-30;26;205,6;1004,290556;24,498194;4;1,336969;
2011-05-31;23;88,6;1006,103477;22,301262;3,9;1,241076;
2011-06-30;19;59;1007,723056;21,633056;3,6;1,306111;
2011-07-31;26;89,6;1008,999024;20,646535;4,1;1,189282;
2011-08-31;22;63;1008,797581;20,998118;4,2;1,359408;
2011-09-30;22;54;1010,026389;20,526528;5,2;1,612778;
2011-10-31;22;275,6;1004,600941;22,899866;5,1;1,81558;
2011-11-30;22;241,4;1004,759667;22,381178;4,8;1,64925;
2011-12-31;20;185,6;1003,234543;24,200807;4,5;1,648656;
2012-01-31;22;63,2;1004,288172;24,334677;4,7;1,564113;
2012-02-29;11;null;null;24,237255;4;null;
2012-03-31;18;202;1004,534005;24,247984;4,4;1,41922;
2012-04-30;14;35,2;1004,369028;24,072083;4,1;1,347977;
2012-05-31;22;399,6;1007,037681;22,196447;5,4;1,355417;
2012-06-30;23;130,2;1008,363611;22,026944;3,7;1,096667;
2012-07-31;7;null;null;null;3,7;null;
2012-08-31;3;null;null;null;4,1;null;
2012-09-30;null;null;null;null;5;null;
2012-10-31;15;105,6;1006,32625;22,591667;5,3;1,629444;
2012-11-30;22;215;1002,741528;24,182778;4,7;1,579306;
2012-12-31;8;4,4;1002,918817;25,261021;4,7;1,789113;
2013-01-31;19;141;1003,686425;25,203629;4,8;1,628898;
2013-02-28;10;44,6;1004,147619;25,070833;4,7;1,48244;
2013-03-31;11;26,8;1003,520179;25,618982;4,9;1,644375;
2013-04-30;15;null;1005,039744;24,003846;4,1;1,471474;
2013-05-31;21;194,4;1006,388844;22,759408;3,8;1,232527;
2013-06-30;27;290,6;1007,799268;22,127967;3,9;1,07553;
2013-07-31;27;193,8;1009,417339;21,522446;4,2;1,261559;
2013-08-31;27;238,6;1009,184106;20,997363;3,9;1,322455;
2013-09-30;25;190,6;1008,285379;22,020484;4,7;1,472378;
2013-10-31;24;175,6;1006,728091;22,427957;4,4;1,62621;
2013-11-30;22;275,8;1003,980694;23,572917;4,6;1,601667;
2013-12-31;18;192;1002,000134;25,119355;4,8;2,070565;
2014-01-31;25;62,4;1005,226075;24,503898;5,2;1,426613;
2014-02-28;25;127,4;1004,441071;24,362054;4;1,283036;
2014-03-31;23;89,2;1004,61707;24,42621;4,2;1,23871;
