Nome: BARRA
Codigo Estacao: A429
Latitude: -11.08472221
Longitude: -43.13888888
Altitude: 407.5
Situacao: Operante
Data Inicial: 2008-05-11
Data Final: 2023-10-11
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2008-05-31;null;null;null;25,26088;4,8;null;
2008-06-30;0;0;968,568472;23,860314;5,7;1,598712;
2008-07-31;0;0;969,739516;23,764113;7;1,831989;
2008-08-31;0;0;967,472177;25,697043;6,5;2,064785;
2008-09-30;0;0;966,918472;28,276389;7,2;2,908333;
2008-10-31;0;0;965,756855;29,508737;7,6;3,060215;
2008-11-30;8;81,2;963,571389;28,914306;6,2;2,272778;
2008-12-31;19;250;964,124059;26,139516;8,1;1,397715;
2009-01-31;7;81,6;964,950397;27,159356;6,8;1,632106;
2009-02-28;10;97,2;964,468291;27,319074;8,3;1,595018;
2009-03-31;14;204;964,059409;27,181855;8,6;1,470161;
2009-04-30;17;204,4;965,889722;25,924861;5,1;1,269028;
2009-05-31;5;11,6;966,940591;25,267876;5,7;1,263306;
2009-06-30;1;43;968,421389;24,73125;6,4;1,363194;
2009-07-31;1;,2;968,674194;25,007124;6,5;1,515457;
2009-08-31;0;0;968,012634;26,277419;6,4;1,972312;
2009-09-30;0;0;966,680833;29,119583;6,7;2,540972;
2009-10-31;10;166;964,210776;28,285057;6,1;2,273276;
2009-11-30;2;28,2;963,896944;28,609583;6,3;2,064167;
2009-12-31;13;179,2;964,954704;26,702554;5,5;1,684005;
2010-01-31;5;47,6;965,210945;27,403056;8,4;1,602151;
2010-02-28;9;46,6;964,585417;28,602083;6,4;2,057738;
2010-03-31;13;246,2;965,147446;27,049059;5,1;1,483333;
2010-04-30;9;153,4;965,774583;26,438333;7,3;1,262639;
2010-05-31;1;3,8;965,905335;27,156276;4,7;1,36122;
2010-06-30;0;0;968,962361;25,673333;5,7;1,430417;
2010-07-31;2;1,6;969,40443;25,175421;6,5;2,172142;
2010-08-31;0;0;969,268548;25,394291;6,3;2,328968;
2010-09-30;0;0;967,191806;27,517083;6,5;2,732361;
2010-10-31;7;80,2;964,495027;29,511022;8,5;2,514247;
2010-11-30;7;51,2;963,33625;28,412778;5,7;2,065972;
2010-12-31;13;220,8;962,834274;26,797043;9;1,548522;
2011-01-31;9;164,2;963,825538;26,65;7,4;1,519086;
2011-02-28;11;189,6;964,466667;27,071875;6,7;1,50372;
2011-03-31;19;322;964,508711;26,069441;6,6;1,392391;
2011-04-30;10;64,4;965,572361;26,233611;5,6;1,229583;
2011-05-31;0;0;966,517595;25,795308;4,7;1,21382;
2011-06-30;0;0;967,924167;25,284167;5,1;1,233195;
2011-07-31;0;0;968,602957;24,237097;6,4;1,646237;
2011-08-31;1;,6;968,227899;26,229792;6,8;1,815767;
2011-09-30;null;null;null;26,227778;6;null;
2011-10-31;2;null;null;null;6,4;null;
2011-11-30;11;42,6;964,762361;26,914306;6,7;2,070556;
2011-12-31;8;108,4;964,202419;27,606317;6,3;1,666801;
2012-01-31;7;44,8;964,723522;28,288172;7,1;2,102957;
2012-02-29;10;38,8;964,873994;27,447701;7,7;1,748707;
2012-03-31;4;83,8;964,781855;29,216263;6,5;1,704032;
2012-04-30;1;,6;964,805833;28,941806;5,5;1,492222;
2012-05-31;2;6,4;966,824866;27,537366;5,3;1,699462;
2012-06-30;0;0;968,35375;26,636806;4,9;1,659306;
2012-07-31;0;0;968,842876;25,460081;6,2;1,88629;
2012-08-31;null;null;null;25,15875;5,9;null;
2012-09-30;0;0;968,376389;28,014028;6,7;2,577778;
2012-10-31;0;0;965,141667;29,60672;6,4;2,675134;
2012-11-30;14;145;964,279583;26,980972;7,8;1,688611;
2012-12-31;6;33,4;963,798387;28,695968;6,3;1,545161;
2013-01-31;14;165,2;965,232527;27,574328;6,2;1,677957;
2013-02-28;2;1,6;964,237054;29,562947;5,3;1,752679;
2013-03-31;9;54;964,746861;29,611782;5,9;1,849417;
2013-04-30;10;104,8;965,997639;27,859861;4,7;1,347083;
2013-05-31;1;1,8;966,846909;27,842742;5,7;1,595968;
2013-06-30;0;0;967,967992;26,937854;5,4;1,590227;
2013-07-31;0;0;969,181323;25,973329;5,8;1,739154;
