Nome: CONDE
Codigo Estacao: A431
Latitude: -12.03583333
Longitude: -37.68388888
Altitude: 31.9
Situacao: Pane
Data Inicial: 2008-04-06
Data Final: 2023-10-11
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2008-04-30;15;null;1010,149275;26,16721;4,8;1,594384;
2008-05-31;25;375,6;1012,111559;25,034473;6,1;1,297616;
2008-06-30;25;112,6;1014,404372;24,199577;6,6;1,603357;
2008-07-31;25;215,6;1016,674462;23,155242;5,3;1,603495;
2008-08-31;24;93,6;1015,231586;23,155376;5,4;1,659409;
2008-09-30;20;59,8;1015,40875;24,192083;5,3;1,933056;
2008-10-31;16;50,8;1014,28629;25,435484;6,1;2,509005;
2008-11-30;4;9;1011,125417;26,349306;7,6;3,148194;
2008-12-31;9;45,2;1010,208602;26,765323;6,5;2,75914;
2009-01-31;11;30;1010,959905;27,266602;7,8;2,874585;
2009-02-28;20;171,2;1010,434873;26,956418;6,3;2,423965;
2009-03-31;8;36;1009,871102;27,27379;6,2;2,393414;
2009-04-30;14;170,6;1010,189028;26,832778;5,7;1,939444;
2009-05-31;29;897,8;1012,490995;25,032124;4,8;1,55336;
2009-06-30;27;152,4;1014,198194;24,685139;6,5;1,919583;
2009-07-31;28;182,8;1015,694185;24,026309;6,3;1,972096;
2009-08-31;24;126,6;1016,143683;24,054973;5,9;2,186425;
2009-09-30;18;65;1015,632917;24,783195;6,1;2,414028;
2009-10-31;9;30,6;1011,891667;26,218103;8,3;2,905029;
2009-11-30;5;8,8;1012,049444;26,616667;6,8;3,033333;
2009-12-31;5;8,4;1011,883333;27,551478;7,8;3,219624;
2010-01-31;20;30;1012,135728;27,362207;6,2;2,606843;
2010-02-28;10;59,6;1011,825446;27,608482;6,4;2,486905;
2010-03-31;14;123,6;1011,133065;27,623522;6,5;2,089785;
2010-04-30;22;304,8;1011,854722;26,209028;5,3;1,682361;
2010-05-31;23;239,2;1012,759216;25,583088;5,1;1,568537;
2010-06-30;28;283,4;1016,047222;24,777778;5,6;2,026806;
2010-07-31;31;335,4;1016,695833;23,822446;6,5;1,997849;
2010-08-31;26;107,6;1017,530645;23,409677;6,2;2,163844;
2010-09-30;19;97,8;1016,024028;24,230833;5,9;2,639306;
2010-10-31;7;29,4;1012,80914;25,990591;7,1;2,534005;
2010-11-30;6;4,2;1011,281528;26,534444;6,6;2,423472;
2010-12-31;6;109,2;1009,58078;26,79328;6,4;1,034677;
2011-01-31;17;112;1010,542473;26,437366;6,4;1,391398;
2011-02-28;11;94,4;1011,142857;26,89628;0;0;
2011-03-31;13;121,2;1010,061878;27,327652;6,4;1,086203;
2011-04-30;14;null;null;25,653125;5,1;null;
2011-05-31;25;187,6;1013,36385;24,927636;6,3;1,523177;
2011-06-30;24;125,6;1015,267222;23,627917;5,7;,896528;
2011-07-31;9;null;null;null;null;null;
2011-08-31;17;null;null;23,30625;5,3;null;
2011-09-30;17;26,6;1017,450139;23,996944;5,5;2,025;
2011-10-31;19;223,6;1012,524059;25,432392;6,8;2,531855;
2011-11-30;16;131;1012,488194;25,503611;6,5;2,436111;
2011-12-31;9;21,2;1011,937231;26,359274;6,9;2,523521;
2012-01-31;16;72,2;1012,509946;26,608065;7,7;2,556586;
2012-02-29;14;69,8;1012,258764;26,682471;5,8;,890661;
2012-03-31;10;38,2;1012,755511;26,419086;2,6;,06129;
2012-04-30;14;27,6;1012,723472;25,908056;4,3;,254722;
2012-05-31;17;224,4;1014,524462;25,045833;4,9;1,420833;
2012-06-30;26;167;1016,151806;24,233333;5,5;1,2425;
2012-07-31;26;172;1016,868683;23,322043;7,2;1,12164;
2012-08-31;25;110,6;1018,542972;23,385139;4,8;1,253264;
2012-09-30;15;43,4;1017,428056;24,014167;4,8;1,387778;
2012-10-31;19;44,2;1014,570161;24,886021;5,6;1,806048;
2012-11-30;9;33;1011,588889;26,273889;6,7;2,518889;
2012-12-31;14;17,2;1011,804435;26,476613;6;1,970565;
2013-01-31;19;20,6;1012,334946;27,171371;5,9;2,272581;
2013-02-28;21;25,8;1012,228125;27,446429;5,6;2,045238;
2013-03-31;13;13;1012,202306;27,89023;6,1;2,132583;
2013-04-30;16;189,4;1012,67375;26,784306;5,4;1,455417;
2013-05-31;24;266;1013,977419;25,302285;5,2;,910215;
2013-06-30;24;84,2;1015,201843;24,561136;4,4;,782386;
2013-07-31;27;141,4;1016,781048;23,871774;5,6;,981048;
2013-08-31;25;163,2;1016,475;23,794892;4,5;1,150134;
2013-09-30;25;86,6;1016,082917;24,686111;5,5;1,568195;
2013-10-31;15;202,8;1014,658602;25,394892;5,8;2,118145;
2013-11-30;13;100,4;1012,283657;25,66796;5,8;2,151574;
2013-12-31;null;null;null;null;6,7;null;
2014-01-31;null;null;null;null;5,8;null;
2014-02-28;null;null;null;null;4,6;null;
2014-03-31;null;null;null;null;4,4;null;
2014-04-30;null;null;null;null;3,9;null;
2014-05-31;20;137,6;1013,681855;25,122446;4,6;,989113;
2014-06-30;23;230,4;1015,862083;24,130694;4,2;,865278;
2014-07-31;30;216,8;1018,299597;23,616263;5,3;1,161156;
2014-08-31;21;91,4;1017,775269;23,241398;5,3;1,105645;
2014-09-30;20;91;1016,473611;24,182222;6;1,582361;
2014-10-31;14;115,2;1015,473253;25,003763;5,3;1,827016;
2014-11-30;14;165,8;1012,679167;25,642778;6,1;1,8525;
2014-12-31;17;71;1013,190726;26,086828;5,5;1,809677;
2015-01-31;9;36;1014,035215;26,621237;5,8;1,823387;
2015-02-28;20;150;1012,880208;26,774702;6,1;1,572917;
2015-03-31;13;23,6;1012,40336;26,999866;4,6;1,499731;
2015-04-30;17;156;1012,303611;26,654722;4,5;1,050833;
2015-05-31;27;400,4;1014,272581;25,353495;3,9;,874731;
2015-06-30;27;263,2;1016,661111;24,572639;4;,994722;
2015-07-31;25;224,6;1017,32164;24,021505;4,9;1,172043;
2015-08-31;null;null;1017,380242;23,07957;5,3;1,154032;
2015-09-30;null;null;1015,747361;24,58625;4,8;1,564306;
2015-10-31;null;null;1015,123925;25,513978;5,5;1,792742;
2015-11-30;null;0;1012,106548;26,766964;6,3;2,573214;
2015-12-31;null;null;null;null;null;null;
2016-01-31;null;null;null;null;null;null;
2016-02-29;2;null;null;null;null;null;
2016-03-31;17;27,6;1009,522715;27,836828;7,6;3,886156;
2016-04-30;13;73;1009,270694;27,324861;7,7;3,9825;
2016-05-31;18;198,8;1011,323387;25,630645;8,3;3,013172;
2016-06-30;15;210;1012,945;25,011944;8,8;3,680695;
2016-07-31;14;78,6;1013,415054;24,299194;8,6;3,594624;
2016-08-31;20;90,6;1013,148253;24,085081;8;3,365188;
2016-09-30;15;43;1012,452083;24,988472;8,4;4,014167;
2016-10-31;10;34,8;1009,912348;26,066801;8,3;4,401695;
2016-11-30;7;null;null;null;8;null;
2016-12-31;null;null;null;null;null;null;
2017-01-31;null;null;null;null;null;null;
2017-02-28;5;null;null;null;null;null;
2017-03-31;16;184;1008,059812;27,072177;7,3;3,624194;
2017-04-30;17;126,4;1008,908333;26,632778;9;3,431528;
2017-05-31;23;191,6;1010,305645;25,635618;7,7;3,468548;
2017-06-30;23;126,6;1012,056327;24,983025;8,2;3,810648;
2017-07-31;null;null;null;null;null;null;
2017-08-31;null;null;null;null;null;null;
2017-09-30;null;null;null;null;null;null;
2017-10-31;13;117;1010,938979;24,961693;7,2;3,960753;
2017-11-30;8;100,2;1008,240278;26,072361;7,8;4,054167;
2017-12-31;6;95,4;1007,776344;26,497715;9;3,688844;
2018-01-31;10;26,2;1008,389785;27,009677;7;3,887634;
2018-02-28;7;22,6;1007,474107;27,218601;7,6;3,827827;
2018-03-31;15;61,4;1007,444892;27,015995;8,3;3,666398;
2018-04-30;20;252,8;1009,355833;26,147639;7,2;3,271667;
2018-05-31;17;null;1010,955929;25,462434;7,9;3,493659;
2018-06-30;26;182,8;1012,923333;24,540694;9,4;3,456667;
2018-07-31;22;93,4;1013,473118;23,968145;7,6;3,44422;
2018-08-31;16;50,8;1013,512903;24,392607;7,9;3,651344;
2018-09-30;5;14,6;1011,221667;25,045972;8,1;4,040417;
2018-10-31;9;60,8;1009,363038;25,791398;8,2;4,113172;
2018-11-30;10;53,2;1008,88625;26,376944;7,7;4,247639;
2018-12-31;6;16,6;1009,143683;26,714382;7,7;3,663172;
2019-01-31;11;37;1010,129032;27,032392;8,7;3,725672;
2019-02-28;2;5,8;1007,915774;27,974256;7,1;3,879464;
2019-03-31;16;217;1008,251882;27,372043;9,8;3,05793;
2019-04-30;19;73,2;1008,320972;27,159583;6,2;2,667778;
2019-05-31;18;88,2;1009,151344;26,12621;8,9;2,246371;
2019-06-30;24;305,6;1012,700694;24,835417;9,8;3,698056;
2019-07-31;21;162,6;1012,848925;24,212769;9,3;4,001747;
2019-08-31;15;89,4;1014,727688;24,302151;8,7;3,97379;
2019-09-30;15;97;1012,363333;24,822361;7,6;3,809583;
2019-10-31;13;100,8;1010,195296;25,534946;6,9;3,91707;
2019-11-30;4;43,6;1008,0125;26,438056;7,2;3,881806;
2019-12-31;10;126,8;1008,178495;26,909005;7,5;3,828921;
2020-01-31;11;86,2;1008,091129;27,029704;6,6;3,219086;
2020-02-29;10;40,6;1008,253879;27,633908;7,1;3,072414;
2020-03-31;13;218,8;1007,590115;27,362346;7,1;2,976774;
2020-04-30;16;238;1008,813611;26,695278;7,3;2,797083;
2020-05-31;23;503;1010,637634;25,371102;8,3;2,703898;
2020-06-30;29;182,4;1011,862639;24,977639;8,2;3,392222;
2020-07-31;26;241,8;1012,286746;23,980569;8,9;3,598703;
2020-08-31;25;96,2;1012,555865;23,874976;8,2;3,721078;
2020-09-30;20;121,2;1011,920278;24,351528;7,9;3,633472;
2020-10-31;8;72,2;1009,185753;25,764113;8,3;3,631183;
2020-11-30;17;58,4;1008,346204;26,084195;7,2;3,676111;
2020-12-31;4;28,2;1008,465153;26,534654;7,4;3,836962;
2021-01-31;15;57,8;1008,02064;26,631404;6,7;3,622625;
2021-02-28;3;null;1007,332385;27,160706;7,7;3,762435;
2021-03-31;null;null;null;null;null;null;
2021-04-30;null;null;null;null;null;null;
2021-05-31;null;null;null;null;null;null;
2021-06-30;null;null;null;null;null;null;
2021-07-31;null;null;null;null;null;null;
2021-08-31;null;null;null;null;null;null;
2021-09-30;null;null;null;null;null;null;
2021-10-31;null;null;null;null;null;null;
2021-11-30;3;null;null;null;null;null;
2021-12-31;11;98,4;1006,611559;26,326344;7,6;2,790995;
2022-01-31;12;117,6;1007,935887;26,44664;7;2,684677;
2022-02-28;null;null;null;null;6,4;null;
2022-03-31;null;null;null;null;6,6;null;
2022-04-30;null;null;null;null;null;null;
2022-05-31;null;null;null;null;null;null;
2022-06-30;null;null;null;null;null;null;
2022-07-31;null;null;null;null;null;null;
2022-08-31;null;null;null;null;null;null;
2022-09-30;null;null;null;null;null;null;
2022-10-31;null;null;null;null;null;null;
2022-11-30;null;null;null;null;null;null;
2022-12-31;null;null;null;null;null;null;
2023-01-31;null;null;null;null;null;null;
2023-02-28;null;null;null;null;null;null;
2023-03-31;null;null;null;null;null;null;
2023-04-30;null;null;null;null;null;null;
2023-05-31;null;null;null;null;null;null;
2023-06-30;null;null;null;null;null;null;
2023-07-31;null;null;null;null;null;null;
2023-08-31;null;null;null;null;null;null;
2023-09-30;null;null;null;null;null;null;
2023-10-31;null;null;null;null;null;null;

