Nome: DELFINO
Codigo Estacao: A443
Latitude: -10.455
Longitude: -41.20694444
Altitude: 646.24
Situacao: Operante
Data Inicial: 2008-07-14
Data Final: 2023-10-11
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2008-07-31;2;null;null;null;null;null;
2008-08-31;8;14,2;942,599328;21,84086;8,1;3,008871;
2008-09-30;3;5;942,521944;23,446667;6,7;3,190972;
2008-10-31;0;0;941,42164;24,99328;8,3;3,489651;
2008-11-30;2;2;938,555459;26,465501;7,2;2,868877;
2008-12-31;9;28;938,717204;24,920027;6,2;2,560349;
2009-01-31;10;85,8;939,490323;25,094086;9,2;2,497446;
2009-02-28;6;75,4;939,108834;24,793764;7,2;2,429167;
2009-03-31;9;63,8;938,352688;25,707527;7,9;2,14785;
2009-04-30;13;154;940,169583;23,605833;7,3;1,903194;
2009-05-31;15;24,2;941,429032;22,461425;6,2;2,071505;
2009-06-30;11;33,2;943,085972;21,708889;7,7;2,355278;
2009-07-31;9;10;943,583737;21,770161;6,6;2,63293;
2009-08-31;10;8,6;943,243683;22,571102;7,7;3,06586;
2009-09-30;1;,2;942,176667;24,758611;6,9;2,983056;
2009-10-31;8;169,4;939,314942;24,645402;5,6;2,337644;
2009-11-30;0;0;939,311111;23,922639;5,8;2,519583;
2009-12-31;9;47,6;939,473925;25,169624;6,9;2,449194;
2010-01-31;10;44,6;939,985667;24,981061;6,1;2,441654;
2010-02-28;7;20,2;939,527679;26,278423;7,5;2,784673;
2010-03-31;14;194,6;939,68293;24,715188;5,5;1,954301;
2010-04-30;14;84,6;940,469167;23,660972;5,9;1,965417;
2010-05-31;4;2;940,946237;24,099462;5,3;2,159274;
2010-06-30;9;9,2;943,842222;22,279167;7,1;2,715417;
2010-07-31;20;21,6;944,218817;21,034005;6,8;2,968683;
2010-08-31;6;7,6;944,398877;21,253339;7,7;3,190507;
2010-09-30;8;5,2;942,590139;22,923194;7,2;3,409861;
2010-10-31;5;44,2;939,930108;25,191129;6,6;2,76922;
2010-11-30;2;9,4;938,31875;25,824583;6,9;2,740694;
2010-12-31;12;153,8;937,577957;23,96586;7;2,151344;
2011-01-31;11;41;938,540457;24,107124;5,7;2,221102;
2011-02-28;8;42;939,075;25,080655;8,1;2,38631;
2011-03-31;13;57,8;938,682173;24,569501;6,6;1,932895;
2011-04-30;11;25;940,021389;24,046806;6,6;2,322778;
2011-05-31;10;11,8;941,416935;22,67043;6,7;2,367876;
2011-06-30;6;4,8;942,872778;21,658056;6,2;2,501389;
2011-07-31;10;7,4;943,358199;21,358065;7,9;2,9;
2011-08-31;5;3,6;943,416936;22,675806;7;2,952957;
2011-09-30;3;2,4;943,878889;22,662222;7,1;3,255556;
2011-10-31;7;37,8;939,63172;24,360484;6,3;2,685887;
2011-11-30;11;55,2;939,714306;23,554028;6;2,578472;
2011-12-31;4;41;939,189113;24,836694;6;2,424866;
2012-01-31;2;44,2;939,625134;25,191667;8,7;2,776075;
2012-02-29;8;46,8;939,674713;24,724425;6,3;2,748276;
2012-03-31;2;9,2;939,892876;25,818414;6,5;2,682527;
2012-04-30;0;0;940,158333;25,330278;6;2,562639;
2012-05-31;3;4;942,036997;23,722867;6,7;2,637932;
2012-06-30;5;15;943,448195;22,439722;6,3;2,547361;
2012-07-31;6;3,2;943,900269;21,609677;7,6;2,835484;
