Nome: PILAO ARCADO
Codigo Estacao: A449
Latitude: -10.01833332
Longitude: -42.50027777
Altitude: 385
Situacao: Temporariamente Fechada
Data Inicial: 2016-05-27
Data Final: 2023-10-11
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2016-05-31;null;null;null;null;null;null;
2016-06-30;1;null;null;26,83512;7,1;null;
2016-07-31;null;null;null;null;null;null;
2016-08-31;null;null;null;null;null;null;
2016-09-30;4;null;null;28,232545;7;null;
2016-10-31;2;null;965,548278;29,575322;7,3;3,151327;
2016-11-30;7;234,6;965,092487;28,304321;7,1;2,946641;
2016-12-31;3;null;965,41484;27,773976;7,4;2,472022;
2017-01-31;4;14,6;965,364317;29,077396;6;2,264452;
2017-02-28;18;111,8;965,690644;26,846267;5,8;1,917352;
2017-03-31;2;null;965,642126;27,393569;7,3;1,732824;
2017-04-30;null;null;null;null;6,2;null;
2017-05-31;null;null;967,752318;27,19423;6,4;2,747986;
2017-06-30;null;0;969,319791;26,35769;6,7;3,384146;
2017-07-31;null;null;972,229641;24,431333;8,1;4,097408;
2017-08-31;null;null;null;null;null;null;
2017-09-30;null;null;null;null;null;null;
2017-10-31;null;null;null;null;null;null;
2017-11-30;null;null;null;null;null;null;
2017-12-31;null;null;null;null;null;null;
2018-01-31;null;null;null;null;null;null;
2018-02-28;null;null;null;null;null;null;
2018-03-31;null;null;null;null;null;null;
2018-04-30;null;null;null;null;null;null;
2018-05-31;0;0;968,341532;25,83871;6,6;2,559677;
2018-06-30;1;,2;970,046667;25,064306;5,5;2,633472;
2018-07-31;0;0;970,063575;24,692742;6,1;2,830242;
2018-08-31;0;0;969,680511;26,218145;6,4;2,759274;
2018-09-30;0;0;966,783194;27,918056;5,7;2,761111;
2018-10-31;4;46,8;965,404032;28,927957;6;2,42379;
2018-11-30;3;9,4;965,001389;28,727639;6,9;2,588333;
2018-12-31;10;129,4;966,797446;26,331855;6;1,944489;
2019-01-31;3;10,2;966,790188;28,704839;6,1;2,370956;
2019-02-28;12;121,6;965,841071;27,690327;6,4;1,749851;
2019-03-31;10;67,2;966,455511;27,231183;5,3;1,818548;
2019-04-30;14;89,4;966,585972;26,664306;5,3;1,750417;
2019-05-31;3;34;966,814247;27,286156;6,1;2,09879;
2019-06-30;null;0;970,077321;26,104167;6,3;2,911131;
2019-07-31;null;null;null;null;6,4;null;
2019-08-31;null;null;null;null;7,2;null;
2019-09-30;null;null;null;null;6,8;null;
2019-10-31;0;0;965,895027;29,331317;5,9;2,782527;
2019-11-30;3;14,2;964,139167;29,825972;6,2;2,57875;
2019-12-31;6;32,4;964,565457;29,822984;6;2,533333;
2020-01-31;12;243,8;966,218011;26,35578;6,1;1,637366;
2020-02-29;7;100,4;966,369253;26,911925;6,7;1,584339;
2020-03-31;17;280,6;966,55052;25,862605;5,3;1,580055;
2020-04-30;8;null;967,593301;27,119;5,6;1,905609;
2020-05-31;null;0;968,750246;27,137798;6;2,231342;
2020-06-30;null;null;969,718856;25,993182;6,5;2,884378;
2020-07-31;null;null;null;null;5,5;null;
2020-08-31;null;null;968,992191;26,671354;5,6;2,514938;
2020-09-30;0;0;968,325139;27,675833;6;2,943611;
2020-10-31;7;33,8;965,725941;28,972849;5,5;2,433333;
2020-11-30;9;225,6;966,0025;27,338611;6,1;2,173472;
2020-12-31;null;null;null;null;null;null;
2021-01-31;null;null;null;null;5,2;null;
2021-02-28;null;null;null;null;null;null;
2021-03-31;null;null;null;null;null;null;
2021-04-30;null;null;null;null;null;null;
2021-05-31;null;null;null;null;null;null;
2021-06-30;null;null;null;null;null;null;
2021-07-31;null;null;null;null;null;null;
2021-08-31;null;null;null;null;null;null;
2021-09-30;null;null;null;null;null;null;
2021-10-31;null;null;null;null;null;null;
2021-11-30;null;null;null;null;null;null;
2021-12-31;null;null;null;null;null;null;
2022-01-31;null;null;null;null;null;null;
2022-02-28;null;null;null;null;null;null;
2022-03-31;null;null;null;null;null;null;
2022-04-30;null;null;null;null;null;null;
2022-05-31;null;null;null;null;null;null;
2022-06-30;null;null;null;null;null;null;
2022-07-31;null;null;null;null;null;null;
2022-08-31;null;null;null;null;null;null;
2022-09-30;null;null;null;null;null;null;
2022-10-31;null;null;null;null;null;null;
2022-11-30;null;null;null;null;null;null;
2022-12-31;null;null;null;null;null;null;
2023-01-31;null;null;null;null;null;null;
2023-02-28;null;null;null;null;null;null;
2023-03-31;null;null;null;null;null;null;
2023-04-30;null;null;null;null;null;null;
2023-05-31;null;null;null;null;null;null;
2023-06-30;null;null;null;null;null;null;
2023-07-31;null;null;null;null;null;null;
2023-08-31;null;null;null;null;null;null;
2023-09-30;null;null;null;null;null;null;
2023-10-31;null;null;null;null;null;null;

