Nome: JEREMOABO
Codigo Estacao: A450
Latitude: -10.08083332
Longitude: -38.34583333
Altitude: 261
Situacao: Operante
Data Inicial: 2015-08-12
Data Final: 2023-10-11
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2015-08-31;2;null;null;null;null;null;
2015-09-30;7;21;985,440556;25,472222;6,8;3,069444;
2015-10-31;5;21;984,7375;26,336022;7;3,269624;
2015-11-30;0;0;981,845556;28,368889;6,8;3,279167;
2015-12-31;4;13,4;983,571505;28,056048;6,8;3,475672;
2016-01-31;18;285;982,468548;26,948387;6,8;2,245118;
2016-02-29;7;36,8;983,400287;27,164224;5,9;2,565374;
2016-03-31;5;19;983,494624;28,032393;6,6;2,877016;
2016-04-30;6;30,2;983,291806;27,190695;6,4;2,899444;
2016-05-31;13;84,6;985,45071;25,610833;6,1;2,560918;
2016-06-30;12;37,8;987,131111;24,024444;5,6;2,190278;
2016-07-31;13;24,2;987,382527;23,045833;7,3;2,429436;
2016-08-31;10;15,6;986,941486;23,875164;8;2,657217;
2016-09-30;7;11,8;986,047222;25,268194;6,9;3,111944;
2016-10-31;8;5,8;983,439633;27,085647;7;3,621295;
2016-11-30;2;2,6;982,254921;27,896866;6,9;3,754143;
2016-12-31;5;13,4;982,020529;28,04789;7,6;3,54976;
2017-01-31;0;0;982,535484;28,000672;6,9;3,627285;
2017-02-28;4;3,2;982,055764;28,188426;7,7;3,591761;
2017-03-31;5;2,2;981,99621;28,176353;8;3,101346;
2017-04-30;11;56,4;983,039722;26,948195;6,9;2,887917;
2017-05-31;14;60,4;984,524731;25,28871;6,8;2,415457;
2017-06-30;23;87,4;986,319861;23,334861;6,9;2,321945;
2017-07-31;23;70,4;989,210753;21,396774;7,7;2,585887;
2017-08-31;14;26,8;987,044624;22,896774;6,7;2,388172;
2017-09-30;25;120,4;987,647222;22,622083;7,5;3,004722;
2017-10-31;7;null;null;24,6375;6;null;
2017-11-30;1;null;981,626215;27,211806;7,1;2,965104;
2017-12-31;3;16,6;981,564516;27,794758;7,4;2,952016;
2018-01-31;8;23,8;982,123253;27,745968;7,2;3,251613;
2018-02-28;7;51,4;981,412351;27,825446;7,3;2,995238;
2018-03-31;7;43,4;981,622043;27,795968;8;2,490188;
2018-04-30;9;22,8;983,441099;26,378744;6,4;2,606002;
2018-05-31;13;20;984,901613;25,362366;7,5;2,690054;
2018-06-30;17;63,2;986,894106;23,762373;6,4;2,230996;
2018-07-31;16;34,8;987,418548;22,87043;6,2;2,170565;
2018-08-31;8;15,8;987,225;24,250403;6,6;2,665054;
2018-09-30;5;4,8;984,788889;25,68125;6,4;3,330139;
2018-10-31;2;2,6;982,904301;27,425672;7,4;3,34086;
2018-11-30;3;16,2;982,442361;27,467083;7,4;3,757083;
2018-12-31;10;74,2;983,117473;27,094355;6,7;2,779301;
2019-01-31;2;3,6;983,822849;27,833737;6,7;3,327285;
2019-02-28;7;9,8;981,919468;28,972619;7,5;2,99408;
2019-03-31;14;156;982,568817;27,778629;9,3;2,508333;
2019-04-30;null;null;982,710139;27,530972;7,8;2,297361;
2019-05-31;5;44;983,486156;26,557392;5,1;2,152823;
2019-06-30;20;116,4;986,880417;23,491667;5,8;2,107639;
2019-07-31;20;94;987,000269;22,540591;5,7;1,899597;
2019-08-31;20;52,8;988,590323;22,468011;6,3;2,134812;
2019-09-30;8;22,2;986,090833;24,554167;6;2,326389;
2019-10-31;2;4,6;983,753226;26,459274;6,1;2,884274;
2019-11-30;1;,6;981,639583;27,936806;6,5;3,116945;
2019-12-31;1;,8;981,907772;28,273937;7,1;3,244831;
2020-01-31;10;74,2;982,085314;28,227168;6,4;2,575269;
2020-02-29;10;90;982,390161;27,922183;6,5;2,364899;
2020-03-31;14;182,6;982,046626;27,410616;6,6;2,22847;
