Nome: ITABAIANA
Codigo Estacao: A451
Latitude: -10.67166666
Longitude: -37.47138888
Altitude: 213
Situacao: Pane
Data Inicial: 2017-04-23
Data Final: 2023-10-11
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2017-04-30;4;null;null;null;null;null;
2017-05-31;19;336,2;990,988225;24,171371;6,1;2,200292;
2017-06-30;24;155,6;992,753361;22,802874;6,4;2,309694;
2017-07-31;27;112,2;995,615323;21,433065;7;2,867204;
2017-08-31;24;75,2;993,658322;21,710814;6,5;2,301058;
2017-09-30;26;111,4;994,241276;22,141778;7,6;2,940192;
2017-10-31;19;77,2;991,410949;23,440571;7,4;2,795258;
2017-11-30;3;7,2;988,819525;25,221686;7,9;3,577575;
2017-12-31;3;45,8;988,434072;26,013703;7,2;3,475914;
2018-01-31;6;9,2;988,981723;26,393257;7,3;3,511304;
2018-02-28;9;60,4;988,169557;26,305513;7,7;3,323703;
2018-03-31;13;40;988,260554;26,451264;7,2;2,942715;
2018-04-30;18;71,4;990,066832;25,027776;6,8;2,566943;
2018-05-31;27;73,2;991,485333;23,887452;6,5;2,462232;
2018-06-30;24;134;993,406845;22,754185;6,8;2,281186;
2018-07-31;24;89,4;994,00121;21,880242;6,2;2,283333;
2018-08-31;17;22,6;993,995997;22,623188;7,1;2,597587;
2018-09-30;6;14;991,709523;23,79997;7,4;3,270477;
2018-10-31;5;7,2;989,816532;25,701175;8,5;3,785566;
2018-11-30;7;22;989,363883;26,010537;8,1;4,063798;
2018-12-31;9;130,6;989,794046;25,987844;7,2;3,327397;
2019-01-31;9;13,4;990,64274;26,364668;7,3;3,281823;
2019-02-28;8;36;988,695387;27,487337;7,8;3,429214;
2019-03-31;14;79,4;989,14569;26,97227;8,6;2,898994;
2019-04-30;15;92,4;989,235833;26,322361;5,9;2,429722;
2019-05-31;11;57,2;990,02957;25,306855;5,5;2,105242;
2019-06-30;26;328,6;993,302222;23,1;6,8;2,206528;
2019-07-31;25;373,6;993,384543;22,469489;6,1;2,419892;
2019-08-31;23;64,4;995,172761;22,339205;7,2;2,596878;
2019-09-30;20;52,6;992,851528;23,349028;6,8;2,771667;
2019-10-31;8;13;990,678877;24,773146;7,1;3,319282;
2019-11-30;6;10;988,588606;26,209267;7,2;3,613997;
2019-12-31;4;3,8;988,80381;26,780135;7,5;3,747929;
2020-01-31;4;null;988,883201;27,166234;7,5;3,41746;
2020-02-29;10;null;989,096629;27,366008;8,2;3,159393;
2020-03-31;8;null;988,544402;27,039234;6,7;2,728427;
2020-04-30;null;null;null;null;null;null;
2020-05-31;null;null;null;null;null;null;
2020-06-30;null;null;null;null;null;null;
2020-07-31;null;null;null;null;null;null;
2020-08-31;null;null;null;null;null;null;
2020-09-30;null;null;null;null;null;null;
2020-10-31;null;null;null;null;null;null;
2020-11-30;null;null;null;null;null;null;
2020-12-31;null;null;null;null;null;null;
2021-01-31;null;null;null;null;null;null;
2021-02-28;null;null;null;null;null;null;
2021-03-31;null;null;null;null;null;null;
2021-04-30;null;null;null;null;null;null;
2021-05-31;null;null;null;null;null;null;
2021-06-30;null;null;null;null;null;null;
2021-07-31;null;null;null;null;null;null;
2021-08-31;null;null;null;null;null;null;
2021-09-30;null;null;null;null;null;null;
2021-10-31;null;null;null;null;null;null;
2021-11-30;null;null;null;null;null;null;
2021-12-31;null;null;null;null;null;null;
2022-01-31;null;null;null;null;null;null;
2022-02-28;null;null;null;null;null;null;
2022-03-31;null;null;null;null;null;null;
2022-04-30;null;null;null;null;null;null;
2022-05-31;null;null;null;null;null;null;
2022-06-30;null;null;null;null;null;null;
2022-07-31;null;null;null;null;null;null;
2022-08-31;null;null;null;null;null;null;
2022-09-30;null;null;null;null;null;null;
2022-10-31;null;null;null;null;null;null;
2022-11-30;null;null;null;null;null;null;
2022-12-31;null;null;null;null;null;null;
2023-01-31;null;null;null;null;null;null;
2023-02-28;null;null;null;null;null;null;
2023-03-31;null;null;null;null;null;null;
2023-04-30;null;null;null;null;null;null;
2023-05-31;null;null;null;null;null;null;
2023-06-30;null;null;null;null;null;null;
2023-07-31;null;null;null;null;null;null;
2023-08-31;null;null;null;null;null;null;
2023-09-30;null;null;null;null;null;null;
2023-10-31;null;null;null;null;null;null;

