Nome: CONTAGEM
Codigo Estacao: A501
Latitude: -19.95
Longitude: -44.08333333
Altitude: 980
Situacao: Desativada
Data Inicial: 2002-11-03
Data Final: 2008-06-24
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2002-11-30;12;null;null;22,153556;6,7;null;
2002-12-31;9;null;null;null;6,3;null;
2003-01-31;10;null;null;22,517201;6,1;null;
2003-02-28;8;136,8;907,41896;24,043555;6,2;2,830371;
2003-03-31;17;113;907,038978;22,480365;7,1;2,245483;
2003-04-30;5;15,8;908,11064;22,213013;6,1;2,505942;
2003-05-31;4;20,8;909,143927;19,162626;6,2;2,281944;
2003-06-30;0;0;909,729988;20,171576;5,2;2,082754;
2003-07-31;0;0;911,83227;18,64065;5,7;2,501473;
2003-08-31;3;7,2;910,071414;19,708713;6,2;2,834592;
2003-09-30;6;8,6;909,077488;21,41718;7,6;3,255513;
2003-10-31;6;22,6;907,186326;22,326635;7;3,360489;
2003-11-30;16;198,2;905,654118;22,211938;6,3;3,010558;
2003-12-31;19;244,6;905,90443;22,594892;6,8;2,428654;
2004-01-31;19;366,4;904,725076;21,928549;6,9;2,922307;
2004-02-29;9;null;null;null;null;null;
2004-03-31;null;null;null;null;null;null;
2004-04-30;12;84,4;907,413537;21,128545;5,6;2,37281;
2004-05-31;9;null;909,030729;19,703352;5,7;2,183037;
2004-06-30;4;null;911,733266;18,006967;5,2;2,378623;
2004-07-31;4;39,2;910,945279;17,001039;6,1;2,667839;
2004-08-31;null;0;910,999358;19,664904;6,1;2,607257;
2004-09-30;null;null;908,877919;22,318512;6,8;3,610818;
2004-10-31;7;null;906,337974;22,258371;6,5;2,867434;
2004-11-30;11;null;905,295091;22,857211;6,5;3,019632;
2004-12-31;18;null;905,305149;21,689798;6,3;2,315366;
2005-01-31;15;null;null;22,461017;6,2;null;
2005-02-28;12;null;null;22,335531;5,7;null;
2005-03-31;21;161;906,580939;22,236197;6,4;2,353219;
2005-04-30;7;null;null;21,974789;5,2;null;
2005-05-31;13;null;908,844404;19,974913;6;2,375831;
2005-06-30;1;null;null;null;6,2;null;
2005-07-31;1;null;null;18,076802;5,9;null;
2005-08-31;2;null;910,371575;20,672433;6,4;3,072949;
2005-09-30;7;102,6;909,053666;20,61454;6,5;3,160759;
2005-10-31;4;null;906,904746;24,075881;8;3,211528;
2005-11-30;14;null;905,420745;20,008396;5,7;2,794247;
2005-12-31;18;null;905,192335;20,984742;6,2;2,449598;
2006-01-31;8;167;906,602554;23,189919;7,3;2,92285;
2006-02-28;9;null;905,070873;24,048855;6;2,261174;
2006-03-31;20;212,2;905,826793;21,985926;6,3;2,113731;
2006-04-30;5;null;null;21,769744;4,7;null;
2006-05-31;2;null;null;19,175158;4,9;null;
2006-06-30;2;5,2;911,341236;17,660107;6,4;2,657652;
2006-07-31;1;2,4;911,166251;18,750094;5,6;2,338574;
2006-08-31;4;18,8;909,659244;20,27686;7,2;2,812655;
2006-09-30;10;108,6;908,702201;20,262415;6,6;2,986635;
2006-10-31;16;142,6;906,295307;21,206241;6,4;2,789937;
2006-11-30;21;230;905,236316;21,118726;5,5;2,514728;
2006-12-31;24;216,6;906,142591;21,750731;5,5;2,42981;
2007-01-31;26;356,2;905,749059;22,032796;5,1;1,929704;
2007-02-28;13;129,2;906,238807;22,268194;6,2;2,860663;
2007-03-31;6;63,2;907,514043;23,816012;5,3;2,876677;
2007-04-30;11;61,8;907,973629;22,209819;6,2;2,4618;
2007-05-31;2;13;908,633877;19,662776;5,8;2,121857;
2007-06-30;1;,2;910,652319;19,254825;6;2,131618;
2007-07-31;2;5,4;910,113669;19,083696;5,8;2,458384;
2007-08-31;0;0;911,162851;19,709911;6,2;3,171447;
2007-09-30;2;2,2;910,468056;21,241528;8,1;3,625694;
2007-10-31;8;93,8;906,802554;23,176075;6,6;3,155645;
2007-11-30;9;null;904,43603;22,763482;6,1;2,522652;
2007-12-31;16;298,6;904,998925;22,94664;5,9;2,381586;
2008-01-31;20;326,4;905,20578;21,726747;6;2,42043;
2008-02-29;14;174,2;905,677098;22,776935;7,7;2,25819;
2008-03-31;18;217,2;905,762611;22,163564;5,9;2,210589;
2008-04-30;11;95;905,448575;22,437675;6,4;1,816069;
2008-05-31;null;0;908,369861;19,846944;5,5;1,781528;
2008-06-30;1;null;909,632864;19,852821;5,1;2,112654;

