Nome: MONTES CLAROS
Codigo Estacao: A506
Latitude: -16.68638888
Longitude: -43.84388888
Altitude: 645.87
Situacao: Operante
Data Inicial: 2002-12-18
Data Final: 2023-10-11
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2002-12-31;7;null;null;null;null;null;
2003-01-31;11;null;null;24,001639;8,9;null;
2003-02-28;4;23,4;941,094345;24,62381;5,7;2,134524;
2003-03-31;9;37,2;940,536962;24,607661;9,3;1,97164;
2003-04-30;1;3,2;941,642361;24,414306;6;2,051389;
2003-05-31;2;5,2;942,852752;22,353009;6,6;2,094034;
2003-06-30;0;0;943,801389;20,946528;7,2;1,887778;
2003-07-31;0;0;945,961962;20,365054;7,9;2,274059;
2003-08-31;2;9,2;944,325538;22,199866;6,8;2,188979;
2003-09-30;1;,2;943,045278;24,145139;7,7;2,581806;
2003-10-31;6;49,2;940,817742;25,047984;9,4;2,596102;
2003-11-30;6;53;939,355972;25,425139;7;2,388472;
2003-12-31;13;177,4;939,647043;25,64422;9;2,330242;
2004-01-31;17;247,6;938,443829;23,843297;6,3;2,053875;
2004-02-29;18;276,8;940,243966;22,993391;8,6;1,84181;
2004-03-31;19;165,6;940,391398;22,710484;7,3;1,763441;
2004-04-30;11;53,8;941,449559;22,364547;6,9;1,663605;
2004-05-31;4;4,6;943,027285;21,695833;5,8;1,641532;
2004-06-30;4;17,8;946,119191;19,242307;6,3;1,866944;
2004-07-31;3;11,8;945,202823;18,83262;6,9;2,178015;
2004-08-31;0;0;945,198271;20,569944;6,9;2,096076;
2004-09-30;0;0;943,229674;23,084595;7,4;2,615362;
