Nome: UBERLANDIA
Codigo Estacao: A507
Latitude: -18.91694443
Longitude: -48.25555555
Altitude: 874.77
Situacao: Operante
Data Inicial: 2002-12-17
Data Final: 2023-10-11
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2002-12-31;null;null;null;null;null;null;
2003-01-31;null;null;null;null;null;null;
2003-02-28;null;null;null;null;null;null;
2003-03-31;7;null;null;null;null;null;
2003-04-30;13;101,2;917,799058;22,996806;5,5;1,87221;
2003-05-31;3;33,4;919,211883;19,852006;5,4;2,06142;
2003-06-30;null;0;919,452666;21,089169;4,8;1,675563;
2003-07-31;1;1,4;921,092588;20,588472;5,7;2,26515;
2003-08-31;2;3,2;919,717825;21,348396;7,5;2,303011;
2003-09-30;6;47,6;918,271842;23,835441;6,1;2,460314;
2003-10-31;null;null;null;null;null;null;
2003-11-30;null;null;null;null;null;null;
2003-12-31;6;null;null;null;6;null;
2004-01-31;9;null;null;null;null;null;
2004-02-29;7;null;null;null;null;null;
2004-03-31;14;158,2;915,687584;23,072688;5,2;2,135001;
2004-04-30;null;null;null;null;null;null;
2004-05-31;null;null;null;null;null;null;
2004-06-30;null;null;null;null;null;null;
2004-07-31;null;null;null;null;null;null;
2004-08-31;null;null;null;null;null;null;
2004-09-30;null;null;null;null;null;null;
2004-10-31;null;null;null;null;null;null;
2004-11-30;null;null;null;null;null;null;
2004-12-31;null;null;null;null;6,4;null;
2005-01-31;11;null;null;null;6,1;null;
2005-02-28;6;null;914,623746;24,429018;5,6;1,941451;
2005-03-31;13;null;null;23,659259;5,8;null;
2005-04-30;null;null;null;null;null;null;
2005-05-31;2;null;null;null;null;null;
2005-06-30;4;41,2;920,145445;20,105855;6,4;2,288434;
2005-07-31;1;,2;921,385562;19,932596;6,9;2,41614;
2005-08-31;1;3,2;919,660927;22,099136;5,8;2,391303;
2005-09-30;5;null;917,93302;23,721446;6,8;2,559327;
2005-10-31;9;44,4;915,959004;26,060281;6,2;2,37149;
2005-11-30;5;null;null;null;6,4;null;
