Nome: MURIAE
Codigo Estacao: A517
Latitude: -21.105
Longitude: -42.37583332
Altitude: 282.79
Situacao: Operante
Data Inicial: 2006-08-29
Data Final: 2023-10-11
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2006-08-31;1;null;null;null;null;null;
2006-09-30;9;82,2;983,918193;21,311712;10,1;2,194495;
2006-10-31;13;89,2;980,838978;22,863306;9;2,227823;
2006-11-30;17;191,6;979,29238;23,534998;8,8;2,185552;
2006-12-31;17;180;979,872274;24,279267;10,8;2,160755;
2007-01-31;24;482,2;978,614814;24,591731;7,9;1,860805;
2007-02-28;13;74,4;979,899916;24,97106;9,8;1,878183;
2007-03-31;7;69,6;980,859455;26,071909;7,9;1,736606;
2007-04-30;13;98;982,113333;23,753194;9,6;1,535;
2007-05-31;8;28,4;983,479202;20,550125;11,5;1,409141;
2007-06-30;2;9,4;985,315266;20,446407;6,4;1,2491;
2007-07-31;3;3,6;985,096786;20,738429;8,2;1,640921;
2007-08-31;1;5,4;986,624129;21,247674;9,6;2,314697;
2007-09-30;8;16,8;986,023056;22,399444;10,4;2,722361;
2007-10-31;9;153;981,325695;24,281235;11,7;2,747546;
2007-11-30;16;null;978,938333;23,842308;11,6;2,157716;
2007-12-31;15;243,8;978,310618;25,055376;9,8;1,986425;
2008-01-31;17;292,2;978,966264;23,950134;10,2;1,77043;
2008-02-29;18;241,8;979,015892;24,846589;9,4;1,621889;
2008-03-31;13;265;979,381989;24,379301;8,6;1,560484;
2008-04-30;12;115;979,03875;23,813889;7,8;1,284722;
2008-05-31;10;22;983,083555;20,865515;6,7;1,326718;
2008-06-30;8;20,4;985,456403;19,936463;8,4;1,430781;
2008-07-31;7;18,8;987,067929;19,265644;5,7;1,247867;
2008-08-31;4;10,2;983,942339;21,868414;8,7;1,926075;
2008-09-30;9;76;983,751944;21,513611;9,8;2,267639;
2008-10-31;8;68;982,557661;23,839785;10,6;2,509409;
2008-11-30;23;352,4;979,97125;22,805749;9,9;2,432101;
2008-12-31;23;577,2;978,206502;23,283523;10,3;1,853131;
2009-01-31;24;342,4;979,158672;24,781533;13,1;1,655873;
2009-02-28;10;98,6;979,270089;25,711161;8,8;1,725595;
2009-03-31;15;276;978,601747;25,410618;11,1;1,335887;
2009-04-30;17;188,8;981,55125;22,840139;8,6;1,265417;
2009-05-31;8;16;983,159946;21,455914;7;1,070296;
2009-06-30;8;37;984,778889;19,432639;6,6;1,2725;
2009-07-31;6;4,8;984,8;20,670161;8,4;1,470699;
2009-08-31;5;20,4;985,113985;20,907738;8;1,563649;
2009-09-30;8;98;982,371944;23,763889;10,9;1,710694;
2009-10-31;17;173;979,553448;23,389024;12,8;2,029598;
2009-11-30;16;143;977,941806;25,957083;12,7;1,435;
2009-12-31;20;313,6;978,172581;25,000403;11,8;1,521909;
2010-01-31;10;122,8;979,601821;26,92632;7;1,085802;
2010-02-28;8;64,4;979,995982;27,000298;8,2;1,205655;
2010-03-31;18;158;979,112634;25,441936;7,5;1,208871;
2010-04-30;12;151,8;982,139861;23,207361;7,5;1,245556;
2010-05-31;12;51,8;982,305107;21,055108;6,5;,674194;
2010-06-30;1;,2;986,740139;18,924722;6,7;,895556;
2010-07-31;5;23,2;987,376075;20,378629;6,6;1,121102;
2010-08-31;4;10;986,400012;20,04413;8,5;1,258104;
2010-09-30;5;30,2;983,780794;22,459626;9,4;1,70873;
2010-10-31;13;129;980,371102;22,795565;12,3;2,003226;
2010-11-30;18;420;978,314087;22,964799;9,8;1,580774;
2010-12-31;20;526,4;975,636559;25,539113;11,2;1,286425;
2011-01-31;11;155,2;977,636021;26,134946;6,9;1,148521;
2011-02-28;null;null;978,972619;26,861012;11,6;1,46622;
2011-03-31;12;null;null;23,278519;7,4;null;
2011-04-30;3;null;null;23,195833;5,4;null;
2011-05-31;7;26,6;983,719758;20,598387;6,2;,778763;
2011-06-30;5;13,6;984,633472;19,080556;7,9;,707083;
2011-07-31;5;5;985,380511;19,573656;6,2;,895699;
2011-08-31;5;19;984,184812;22,044758;8,6;1,521505;
2011-09-30;3;9,4;985,953056;21,411944;9,2;2,154028;
2011-10-31;16;222;980,660753;22,837097;14;1,654704;
2011-11-30;15;301,4;980,773611;21,949444;8,9;1,59375;
2011-12-31;22;479,8;978,604704;23,664785;8;1,323118;
2012-01-31;17;652;979,847849;24,132796;8,2;1,009677;
2012-02-29;5;25;980,334914;25,864942;5,9;1,039655;
2012-03-31;13;226;980,79422;25,040054;7,4;,974866;
2012-04-30;10;87,6;981,004861;23,66625;4,6;,724444;
2012-05-31;17;159;984,868171;20,23032;5,8;,638673;
2012-06-30;11;13,2;984,883195;20,833056;6;,572639;
2012-07-31;4;1,2;985,535234;20,422989;6,5;,985278;
2012-08-31;12;48,2;989,159044;20,233611;8,1;1,691283;
2012-09-30;5;34;984,886806;22,285;9,5;1,97875;
2012-10-31;4;83,8;981,195565;25,026344;9,7;2,114919;
2012-11-30;20;362,4;979,180972;23,186389;8,5;1,948194;
2012-12-31;6;74,8;978,064382;26,984409;6,6;1,522043;
2013-01-31;19;235;979,621505;25,183737;6,8;1,425807;
2013-02-28;9;141,2;979,800893;26,22753;6,7;1,202083;
2013-03-31;19;222;980,665722;24,69454;10,8;1,203194;
2013-04-30;10;46,6;982,680139;22,26875;5,9;1,137222;
2013-05-31;11;80,2;983,495699;20,889516;5,1;1,026075;
2013-06-30;9;33,6;984,608889;20,951806;4,1;,957008;
2013-07-31;8;12,8;986,400269;19,81371;5,9;1,120296;
2013-08-31;8;59,2;985,431048;20,809409;7;1,378091;
2013-09-30;8;33,4;984,223889;22,205694;6,1;1,539306;
2013-10-31;12;87,2;982,483333;22,786022;6,2;1,560215;
2013-11-30;14;359,6;980,384167;23,438472;6,7;1,490972;
2013-12-31;26;572,2;977,191609;24,393889;6,2;1,236022;
2014-01-31;6;81;980,867607;26,634408;6,3;1,396371;
2014-02-28;5;40,6;980,599851;26,592262;6,1;1,412202;
2014-03-31;13;109,8;981,229032;24,934005;7;1,052823;
