Nome: FORMIGA
Codigo Estacao: A524
Latitude: -20.455
Longitude: -45.45388888
Altitude: 878.14
Situacao: Pane
Data Inicial: 2006-08-16
Data Final: 2023-10-11
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2006-08-31;4;null;null;null;6,5;null;
2006-09-30;8;67,6;917,629141;20,419381;9;2,223939;
2006-10-31;20;130,8;915,165054;21,52836;8,7;2,187231;
2006-11-30;15;163,4;914,071072;21,818359;8,9;2,475494;
2006-12-31;19;283,8;914,838736;22,335113;9,2;2,616039;
2007-01-31;26;402,2;914,378934;22,394257;10;2,293072;
2007-02-28;13;89,2;914,961665;22,770808;8,1;2,147968;
2007-03-31;5;35,8;916,330335;23,81243;7;1,61745;
2007-04-30;11;63,8;916,963255;22,17564;5,7;1,694372;
2007-05-31;7;47;917,786209;18,860407;6,8;1,607668;
2007-06-30;1;1,2;919,725537;18,323092;7,6;1,376371;
2007-07-31;3;29,6;919,124468;18,316425;8,6;1,647254;
2007-08-31;1;,2;920,056118;19,818776;7,1;2,047172;
2007-09-30;0;0;919,19125;22,460833;7,3;2,49125;
2007-10-31;9;111,2;915,612523;23,670255;8,4;2,284566;
2007-11-30;16;null;913,759444;22,033013;9,7;2,170833;
2007-12-31;17;241;913,797581;22,98629;8,8;2,157124;
2008-01-31;19;435,2;913,968011;22,141935;8;2,302823;
2008-02-29;13;219,6;914,604598;22,600287;8;1,79569;
2008-03-31;15;132,8;914,690054;22,173253;8,3;1,978226;
2008-04-30;17;115,6;914,538889;21,572778;5,8;1,400417;
2008-05-31;3;2,8;917,607679;18,548241;5,4;1,293321;
2008-06-30;4;7,4;919,250803;18,563967;7,3;1,469251;
2008-07-31;0;0;920,696102;17,313038;6,7;1,419489;
2008-08-31;3;18;917,949597;20,545968;8,3;1,999194;
2008-09-30;6;29,2;917,342937;20,802011;8,3;2,196131;
2008-10-31;9;51,2;916,668052;23,281726;9,5;2,33591;
2008-11-30;22;162,6;914,189547;21,995936;6,9;2,29997;
2008-12-31;21;536,4;913,077688;21,805108;7,6;2,112634;
2009-01-31;23;252,6;914,695267;22,296061;8,1;2,179646;
2009-02-28;14;240,6;914,842857;23,252381;8,2;2,074405;
2009-03-31;18;178,8;914,254167;22,981855;6,4;1,655376;
2009-04-30;10;51,2;916,319444;20,848889;5,3;1,483472;
2009-05-31;15;33,2;917,674462;19,275672;7,3;1,474462;
