Nome: SACRAMENTO
Codigo Estacao: A525
Latitude: -19.87527777
Longitude: -47.43416666
Altitude: 913.12
Situacao: Operante
Data Inicial: 2006-08-18
Data Final: 2023-10-11
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2006-08-31;4;null;null;null;null;null;
2006-09-30;9;46,8;913,651995;21,335076;10,9;2,7175;
2006-10-31;20;312,8;911,28293;22,088575;7,7;2,571237;
2006-11-30;8;null;null;null;null;null;
2006-12-31;19;null;911,019608;22,328523;12,2;2,472452;
2007-01-31;12;null;910,844415;22,383882;6,8;2,543652;
2007-02-28;15;188,6;911,032868;22,891764;6,9;2,370723;
2007-03-31;14;111,4;912,656481;23,488903;6,4;2,169378;
2007-04-30;12;56,4;913,133195;22,450833;6,9;2,251945;
2007-05-31;5;28,4;914,087415;19,344269;6,3;2,301246;
2007-06-30;null;0;915,948126;19,159574;7,7;2,33958;
2007-07-31;5;15,6;915,192131;19,037524;7,8;2,576222;
2007-08-31;1;1;915,748399;20,865885;8,5;2,679985;
2007-09-30;5;22,8;914,805417;23,625694;7,8;2,933056;
2007-10-31;12;107,8;911,622025;24,461752;9,4;2,492239;
2007-11-30;16;null;909,704108;22,650743;6,8;2,362835;
2007-12-31;17;260,4;910,154301;23,016129;8,8;2,398521;
2008-01-31;21;276,6;910,217204;22,17164;7,1;2,233333;
2008-02-29;19;171;911,153966;22,341667;7,9;1,964971;
2008-03-31;15;181,6;911,129826;22,055486;8,7;2,113856;
2008-04-30;18;182,8;911,014444;21,606528;11,3;1,907917;
2008-05-31;6;46,8;914,088365;18,764008;7,4;1,879652;
2008-06-30;2;11,4;915,431397;19,385641;7;2,204141;
2008-07-31;5;12,8;916,694355;18,585618;6,5;2,192607;
2008-08-31;5;15,2;913,977688;21,341532;10;2,537634;
2008-09-30;8;40;913,365139;21,92625;7,5;2,643889;
2008-10-31;11;61,4;912,711022;23,817473;8;2,676344;
2008-11-30;16;140,6;910,272083;22,65125;7,3;2,492361;
2008-12-31;23;378,8;909,425134;21,986156;7,3;2,313306;
2009-01-31;24;312;911,106989;22,176344;7,8;2,14543;
2009-02-28;16;194,2;911,154762;23,147322;6,5;1,955804;
2009-03-31;22;274,6;910,800672;22,613441;7;1,452285;
2009-04-30;7;67,4;912,676528;21,220972;5,7;1,407361;
2009-05-31;6;64,8;913,906989;19,966801;6,2;1,615995;
2009-06-30;10;52;915,305833;17,463194;7,5;1,569028;
2009-07-31;2;17,8;915,072849;19,842473;7,5;1,88293;
2009-08-31;7;36,6;914,804704;20,284812;7,3;1,936962;
2009-09-30;14;100,4;913,448333;22,492639;8,7;2,016528;
2009-10-31;15;213,2;910,657471;22,700287;7,6;1,730747;
2009-11-30;18;277,2;910,213333;23,743889;6,8;1,895;
2009-12-31;24;278,2;910,40336;22,314919;8,3;1,818817;
2010-01-31;20;262;911,730376;23,226111;6,6;1,878072;
2010-02-28;17;136;911,855952;23,697768;8;1,862649;
2010-03-31;19;310,6;911,049123;23,082182;6;1,869273;
2010-04-30;3;36,6;913,262778;21,675278;5,6;1,826667;
2010-05-31;5;22;913,299731;19,534543;6,2;1,708468;
2010-06-30;4;11;916,326389;18,25;8,3;1,900139;
2010-07-31;0;0;916,417339;20,054435;7,6;2,16922;
2010-08-31;0;0;915,727951;20,652355;6,3;1,877723;
2010-09-30;7;68,2;913,158194;23,138194;7,9;2,247361;
2010-10-31;12;146,6;911,036021;22,635887;9,9;1,70914;
2010-11-30;20;485,4;909,44375;22,144306;8,5;2,296806;
2010-12-31;19;224,4;908,164247;23,635081;7,3;2,031989;
2011-01-31;24;292,2;909,562769;22,802554;7,3;2,170296;
2011-02-28;13;144,6;910,997321;23,466071;7,8;1,854167;
2011-03-31;24;559,4;910,420257;21,655731;5,7;1,751262;
2011-04-30;13;177,8;912,823889;21,820694;7,7;2,0175;
2011-05-31;1;,2;914,055798;19,402289;6,4;1,776918;
2011-06-30;5;27,8;914,75375;17,794583;11,1;2,184028;
2011-07-31;1;,8;915,139458;19,443484;6,4;2,281574;
2011-08-31;2;3,2;914,451344;21,70793;8,7;2,601747;
2011-09-30;3;9;914,507639;23,113194;7,3;2,578194;
2011-10-31;18;217,2;911,064565;22,055731;10,7;2,562928;
2011-11-30;12;155,6;910,556111;21,996806;8,1;2,6;
2011-12-31;19;265;909,880511;22,530242;6,5;2,273387;
2012-01-31;26;428,4;911,105394;21,418583;7,8;2,221242;
2012-02-29;10;130,8;911,738075;23,262787;6,4;2,04569;
2012-03-31;20;190,4;912,295752;22,602092;7,5;1,891924;
2012-04-30;14;103,4;912,323333;22,063472;6,1;2,078333;
2012-05-31;9;24,8;914,778898;18,799462;7,6;1,865726;
2012-06-30;8;79;915,335417;19,710833;6,6;2,051111;
2012-07-31;3;21,8;915,70793;18,689382;7,2;2,187366;
2012-08-31;null;0;917,54929;19,598195;6,7;2,320238;
2012-09-30;8;48,6;914,573889;22,853056;8,9;2,566806;
2012-10-31;8;37,2;911,518548;24,888172;8,1;2,480645;
2012-11-30;16;183,6;909,48;23,314028;7,1;2,449861;
2012-12-31;20;145,6;910,692607;23,939113;8;2,01371;
2013-01-31;9;212,2;910,961962;22,497043;7,3;2,281048;
2013-02-28;9;89;911,795387;22,954167;6,6;1,792857;
2013-03-31;20;139,6;912,11506;22,677679;6,4;2,103728;
2013-04-30;11;75,6;913,455695;20,590278;7,8;1,915139;
2013-05-31;4;118;914,163225;20,02829;6,9;1,979301;
2013-06-30;6;27,2;915,090101;19,88577;9,5;2,036705;
2013-07-31;5;5,2;916,375374;18,246289;6;2,151467;
2013-08-31;2;1,6;915,259005;19,877688;6,6;2,343683;
