Nome: TEOFILO OTONI
Codigo Estacao: A527
Latitude: -17.89284
Longitude: -41.515423
Altitude: 467.17
Situacao: Operante
Data Inicial: 2006-08-24
Data Final: 2023-10-11
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2006-08-31;2;null;null;null;null;null;
2006-09-30;15;74,4;964,281876;20,930449;5,8;1,843968;
2006-10-31;18;68,6;961,219355;22,417608;6,9;2,215457;
2006-11-30;21;329,2;959,728431;22,579179;6,5;1,916236;
2006-12-31;19;371,6;960,4295;23,657539;10,3;1,59892;
2007-01-31;14;71,2;959,627419;25,399597;5,5;1,713306;
2007-02-28;20;158,6;960,554167;23,718006;7,9;1,899256;
2007-03-31;9;84,6;961,646634;24,637611;5,6;1,528898;
2007-04-30;14;60,6;962,043056;23,456111;6,2;1,275833;
2007-05-31;11;37,2;963,351904;21,027805;5,8;1,16818;
2007-06-30;5;3,4;965,821806;19,875694;5,5;1,139861;
2007-07-31;7;14,4;965,311717;20,591023;5,8;1,485158;
2007-08-31;10;13,8;966,74231;20,29273;6,5;1,882924;
2007-09-30;10;20,4;966,2925;21,24727;8,2;2,42162;
2007-10-31;5;4;961,91352;24,314599;7,7;2,882886;
2007-11-30;7;null;958,959691;25,066667;7,2;2,694537;
2007-12-31;14;86,8;959,240042;24,881897;6,6;2,101363;
2008-01-31;13;108;959,495626;24,087158;9,2;1,871652;
2008-02-29;13;165,4;959,692885;24,544397;7,3;1,775456;
2008-03-31;18;103,6;959,732124;24,237366;8,4;1,485753;
2008-04-30;9;76,8;959,263056;24,428056;5,6;1,203611;
2008-05-31;1;,6;962,823684;21,753517;4,9;1,219256;
2008-06-30;3;null;965,273596;20,851957;5,9;1,354786;
2008-07-31;4;6,8;966,868414;19,519355;5,3;1,380511;
2008-08-31;6;16,8;964,445699;21,60457;6,3;2,057796;
2008-09-30;8;30,4;963,905914;21,868038;6,7;2,285611;
2008-10-31;5;2,8;962,621909;24,826479;8,4;2,895161;
2008-11-30;21;437;959,403997;23,588482;7,5;1,807046;
2008-12-31;17;225;958,496221;23,540873;7,5;1,843734;
2009-01-31;19;220,8;959,967993;24,410513;5,5;1,708333;
2009-02-28;5;18,2;960,010268;25,651637;7,9;1,89747;
2009-03-31;13;176,6;958,815188;25,632392;6,7;1,329839;
2009-04-30;14;136,8;961,220972;23,176806;8,8;,619722;
2009-05-31;9;11,8;963,318683;21,041935;4,1;,548925;
2009-06-30;8;47,8;964,669028;20,359028;4,2;,609167;
2009-07-31;7;11,8;965,150672;20,452016;4,8;,694758;
2009-08-31;11;29,4;965,299328;20,95121;6,1;,764247;
2009-09-30;6;4,6;963,094861;24,002639;7,8;,76875;
2009-10-31;9;290,6;959,56706;24,07956;6,9;1,217835;
2009-11-30;9;139,2;959,356528;24,888056;7,8;1,88;
2009-12-31;14;191,8;959,44664;24,934812;9,1;1,67164;
2010-01-31;5;12;960,730804;26,298094;6,9;2,350183;
2010-02-28;9;42,8;960,770833;26,09628;8;2,214881;
2010-03-31;20;252,4;959,606317;24,930242;9,3;1,405107;
2010-04-30;11;86,2;961,864306;23,169861;5,8;1,245417;
2010-05-31;10;83,2;962,232527;21,882527;4,8;1,186828;
2010-06-30;10;13,8;966,360694;19,400694;4,8;,976667;
2010-07-31;20;42;967,218952;19,841667;5,6;1,298522;
2010-08-31;4;8,4;966,592052;19,994612;6,7;1,746447;
2010-09-30;6;17,8;964,478056;21,905;7,3;2,473056;
2010-10-31;14;48,8;960,797312;22,942473;6,9;2,254435;
2010-11-30;21;284,8;958,8975;23,126389;8,2;1,707222;
2010-12-31;14;198,8;956,850134;24,93535;8,9;1,766129;
2011-01-31;12;59;959,054704;24,785753;6,4;1,905645;
2011-02-28;1;null;null;25,517892;7,3;null;
2011-03-31;17;172,6;958,802763;24,229;5,5;1,407135;
2011-04-30;19;133;961,884167;22,885417;5,8;1,167778;
2011-05-31;6;7,4;963,336845;20,932433;4,6;1,075158;
2011-06-30;1;,8;964,419028;20,579028;5;1,237917;
2011-07-31;5;44,6;965,448656;19,891532;5,6;1,467742;
2011-08-31;4;5,6;964,854301;21,444758;5,4;1,705645;
2011-09-30;3;5;966,101389;20,886111;5,9;2,235139;
2011-10-31;18;155,6;961,053226;22,149866;6,3;2,003629;
2011-11-30;18;267,2;961,110833;21,437222;8,4;2,039444;
2011-12-31;16;199,2;959,49543;23,49328;8;1,693548;
2012-01-31;15;177,2;960,767339;23,88414;6,6;1,932393;
2012-02-29;11;64,6;961,203736;24,322414;6,6;2,119828;
2012-03-31;6;15,6;961,225134;24,653091;6,7;1,961156;
2012-04-30;9;64,6;961,133472;24,411111;5,7;1,530556;
2012-05-31;13;63;964,022685;21,19408;5,1;1,245701;
2012-06-30;3;12;964,933931;21,579348;5,7;1,20654;
2012-07-31;7;20,4;965,680645;20,473656;5,9;1,376882;
2012-08-31;21;81,6;968,247389;19,888611;6;1,937001;
2012-09-30;8;34,4;965,363056;22,07;6,4;2,111389;
2012-10-31;9;18,8;962,235081;23,738844;7,5;2,746371;
2012-11-30;25;512;959,278472;22,939167;6,1;1,872639;
2012-12-31;4;45,2;959,173387;26,250806;9,1;1,950672;
2013-01-31;14;195;960,162634;25,067204;6,7;2,097177;
2013-02-28;4;14,4;960,790923;25,470238;6,9;2,156101;
2013-03-31;12;139,2;960,759528;25,121983;5,7;1,650056;
2013-04-30;14;45,4;962,401111;22,712917;5,9;1,324167;
2013-05-31;8;40;963,403495;21,663844;5,3;1,29328;
2013-06-30;8;38,4;964,780859;21,033674;5,5;1,083902;
2013-07-31;7;10,8;966,076478;20,887634;4,8;1,460618;
2013-08-31;4;11,4;965,536425;21,225941;6,4;2,002957;
2013-09-30;7;31;964,518611;22,102222;6,3;2,381944;
2013-10-31;10;65,6;962,962634;22,154973;7,4;2,378495;
2013-11-30;13;119,6;960,419861;23,638611;7,7;2,529306;
2013-12-31;23;513,6;957,881183;24,202419;6,5;1,777688;
2014-01-31;9;100,6;961,975134;24,791935;6,5;1,995296;
2014-02-28;12;52,4;961,439286;24,678571;9,6;2,092262;
2014-03-31;13;110,4;961,52836;24,433871;7,5;1,80457;
2014-04-30;8;57,4;961,798194;23,800694;5,3;1,227361;
2014-05-31;7;11,6;963,255376;22,047446;6,3;1,175807;
2014-06-30;9;45,8;965,461111;20,780833;5;1,153472;
2014-07-31;11;27,6;967,860484;20,123118;6,1;1,444489;
2014-08-31;6;27,8;966,3625;20,569489;6;1,660753;
2014-09-30;4;1,4;964,45;22,6625;7,3;2,677024;
2014-10-31;6;146,6;963,508602;23,401613;6,7;2,628091;
2014-11-30;13;146,6;960,594444;23,784306;6,5;2,275972;
2014-12-31;12;202,4;961,068952;24,234677;6,8;2,006183;
2015-01-31;0;0;961,854839;26,367608;7,6;2,350538;
2015-02-28;1;null;null;null;null;null;
2015-03-31;null;null;null;null;null;null;
2015-04-30;3;null;null;null;null;null;
2015-05-31;12;43,8;964,465323;21,819624;5,2;1,284409;
2015-06-30;14;32,6;966,879445;20,957639;4,9;1,221667;
2015-07-31;9;23;966,657258;20,947043;5,1;1,474328;
2015-08-31;11;28;966,37836;20,789113;6,4;1,687769;
2015-09-30;3;1;962,52;24,8125;6,9;2,514444;
2015-10-31;3;22,4;962,573387;25,391129;6,9;2,758871;
2015-11-30;10;190;959,219444;26,858055;7,4;2,385694;
2015-12-31;5;80,2;961,334099;26,652601;7,4;2,17029;
2016-01-31;11;null;null;25,325219;10,7;null;
2016-02-29;null;null;null;null;6,4;null;
2016-03-31;8;34;962,31523;26,096552;8;1,806322;
2016-04-30;4;13;962,335972;25,283611;6,2;1,689861;
2016-05-31;5;50,4;964,395161;22,993817;6,4;1,154167;
2016-06-30;11;20,2;966,244583;20,936528;5,2;1,314167;
2016-07-31;9;32,2;966,323925;20,510618;5,1;1,514247;
2016-08-31;7;9,4;965,361828;21,787903;6,5;1,988844;
2016-09-30;7;10,2;964,315694;23,160833;7,1;2,463194;
2016-10-31;12;60,8;961,792742;24,038441;6,9;2,661694;
2016-11-30;17;137;960,622639;23,6075;9,4;2,244167;
2016-12-31;20;186,2;960,472043;24,332796;5,8;1,605511;
2017-01-31;5;41,6;961,049194;25,844086;8;2,332527;
2017-02-28;18;126;961,30878;24,193006;6,5;1,738988;
2017-03-31;4;null;960,953629;25,092667;6,8;1,663441;
2017-04-30;null;null;962,407778;null;5,3;1,646389;
2017-05-31;null;null;963,888441;null;5,3;1,54664;
2017-06-30;null;null;965,886389;null;6,2;1,391528;
2017-07-31;14;null;970,102228;18,917083;5,2;1,336467;
2017-08-31;3;2,4;965,889382;20,105376;5,2;1,847177;
2017-09-30;17;38,4;967,489444;21,075139;7,5;2,734306;
2017-10-31;10;81;962,301344;24,319624;7,6;2,798387;
2017-11-30;19;167,2;960,264167;23,209167;6,7;1,82375;
2017-12-31;15;130,8;959,503629;23,872715;6,7;1,618817;
