Nome: GUANHAES
Codigo Estacao: A533
Latitude: -18.78694444
Longitude: -42.94305555
Altitude: 852.68
Situacao: Operante
Data Inicial: 2007-06-01
Data Final: 2023-10-11
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2007-06-30;7;5,2;923,015972;17,696142;6,2;1,523661;
2007-07-31;8;3,2;922,558288;17,776478;6,3;1,69235;
2007-08-31;2;,6;923,695477;18,072312;7,7;2,269863;
2007-09-30;3;2,6;923,170996;19,716787;7,2;2,675006;
2007-10-31;4;12;919,313762;22,579599;9,9;2,759426;
2007-11-30;10;null;916,517203;22,890001;10,3;2,278226;
2007-12-31;12;106,4;917,10928;22,618987;9,2;2,03494;
2008-01-31;21;243,4;917,335776;21,628705;8;1,981282;
2008-02-29;15;101;917,723621;22,199405;10,9;1,697213;
2008-03-31;17;249,6;917,779535;21,745237;7,9;1,718998;
2008-04-30;17;62,8;917,414444;21,628472;4,9;1,22375;
2008-05-31;17;34,8;920,531111;18,171806;6,3;1,179861;
2008-06-30;5;1;922,601691;17,649988;5,4;1,402083;
2008-07-31;5;1;923,929411;16,432781;6,5;1,490846;
2008-08-31;4;12,4;921,574831;19,005867;8,2;2,072873;
2008-09-30;7;74;920,931389;19,980694;7;2,233472;
2008-10-31;7;71,2;920,18535;22,203495;8,5;2,392473;
2008-11-30;22;291,8;917,409167;21,106111;6,6;2,129306;
2008-12-31;24;364,6;916,636378;21,161209;9,5;1,877606;
2009-01-31;22;383,2;917,867654;22,122306;8,5;1,942648;
2009-02-28;12;69,6;918,078979;22,618252;8;1,881282;
2009-03-31;12;192,4;917,126613;22,684543;5,8;1,522984;
2009-04-30;16;130;919,161805;20,65997;5,3;1,425224;
2009-05-31;13;5;920,791789;18,667672;5,8;1,338073;
2009-06-30;15;45,2;921,899214;17,752724;5,1;1,401819;
2009-07-31;7;6,6;922,34828;18,260982;6,1;1,534712;
2009-08-31;7;20;922,472399;18,411688;7,6;1,880599;
2009-09-30;9;74,8;920,629221;21,354547;6,3;1,952983;
2009-10-31;16;295,2;917,403948;21,3992;8,4;1,837156;
2009-11-30;10;52,6;917,233907;22,804438;10,6;1,778382;
2009-12-31;18;264,6;917,355108;22,034023;11,5;2,002542;
2010-01-31;5;22,6;918,774453;23,51808;11,1;1,952163;
2010-02-28;9;43,2;918,85372;23,800595;7,7;2,19003;
2010-03-31;21;169,6;917,765364;22,849983;6,5;1,779091;
2010-04-30;13;49,4;919,830122;20,571976;6,4;1,622143;
2010-05-31;21;49,4;919,881179;19,365815;5,1;1,484106;
2010-06-30;15;11,2;923,544499;16,270054;4,8;1,378701;
2010-07-31;9;9,4;924,276661;17,577372;7,3;1,831863;
2010-08-31;0;0;923,393601;17,648492;5,7;1,708953;
2010-09-30;2;3,4;921,524209;19,882397;5,4;2,219137;
2010-10-31;14;96,2;918,201882;21,040188;6,6;2,063038;
2010-11-30;25;262,6;916,589444;21,195972;11,2;1,801389;
2010-12-31;17;360,8;914,795699;22,700672;8,7;1,750806;
2011-01-31;13;71,4;916,91707;22,382258;6,9;1,923521;
2011-02-28;7;93,6;917,871726;23,069792;7,3;1,920536;
2011-03-31;20;232;917,015914;21,628018;7,4;1,565668;
2011-04-30;14;118,4;919,768297;20,717301;6,2;1,528895;
2011-05-31;5;1;920,802291;18,151134;5,4;1,181072;
2011-06-30;8;4,6;921,6775;17,269076;6,3;1,323883;
2011-07-31;9;10,6;922,522674;17,058935;8,3;1,502881;
2011-08-31;4;6;921,948773;19,46953;6,1;1,806598;
2011-09-30;3;1,6;922,844366;19,363792;6,2;2,38128;
2011-10-31;17;167,8;918,536022;19,921237;8,7;2,025806;
2011-11-30;21;303,8;918,28535;19,612216;6,7;2,163786;
2011-12-31;24;281,6;917,155242;21,296774;11,2;1,819624;
2012-01-31;19;244,4;918,381335;21,574264;6,6;1,986635;
2012-02-29;5;111,2;918,951124;22,184995;6,9;2,002299;
2012-03-31;9;132,8;919,169168;21,797598;6,7;1,631066;
2012-04-30;5;10,4;919,117591;21,431709;5,2;1,477663;
2012-05-31;12;94;921,637617;18,464101;6,3;1,484251;
2012-06-30;9;28,8;922,40003;18,508635;5,4;1,145694;
2012-07-31;6;6,8;922,863493;17,83047;6,1;1,463359;
2012-08-31;14;29,2;925,288453;17,38599;7,7;2,357758;
2012-09-30;6;26,4;922,393333;20,357222;9;2,145417;
2012-10-31;7;48;919,560624;22,025941;8,4;2,408345;
2012-11-30;24;387,6;916,906316;21,212047;8,9;2,047945;
2012-12-31;10;89,6;917,302151;23,551613;10,2;1,625672;
2013-01-31;18;236,8;918,043665;22,617608;8,6;1,927945;
2013-02-28;5;43,8;918,74881;22,542857;9,2;1,838988;
2013-03-31;14;92,8;918,89905;22,549019;6,7;1,885706;
2013-04-30;15;55;920,119913;20,129985;5,9;1,488246;
2013-05-31;13;34,8;920,939633;18,730499;4,9;1,312342;
2013-06-30;17;22,4;922,229241;18,141627;9,2;1,242288;
2013-07-31;9;2,8;923,264601;18,067753;5,7;1,466152;
2013-08-31;6;1,6;922,622779;18,653721;7,8;1,938874;
2013-09-30;7;39,2;921,676516;20,130157;6,6;2,199305;
2013-10-31;17;89,6;920,149129;20,351005;10,7;2,269478;
2013-11-30;12;61,4;917,995254;21,975918;7,5;2,510737;
2013-12-31;24;573;915,758947;22,3062;9,5;1,824024;
2014-01-31;10;50,6;919,750158;22,98362;9,7;1,974229;
2014-02-28;6;12,4;919,232292;22,857589;7,6;2,221726;
2014-03-31;13;141,8;919,478629;21,787103;7,2;1,784975;
