Nome: FLORESTAL
Codigo Estacao: A535
Latitude: -19.88527777
Longitude: -44.41694443
Altitude: 753.5
Situacao: Operante
Data Inicial: 2008-06-26
Data Final: 2023-10-11
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2008-06-30;2;null;null;null;null;null;
2008-07-31;7;1,4;934,976882;14,844489;4,2;,617742;
2008-08-31;4;56,6;932,223253;17,984409;6,5;,83414;
2008-09-30;10;93,6;931,471806;19,414722;5;1,15375;
2008-10-31;9;11,2;930,627688;22,459543;4,3;1,210081;
2008-11-30;21;296,8;928,165833;22,169722;6,1;,990694;
2008-12-31;21;597,4;927,237903;21,83629;3,9;,791801;
2009-01-31;27;325;928,679949;22,808211;5;,820173;
2009-02-28;17;322,8;928,865923;22,999554;4,7;,780655;
2009-03-31;15;202,8;928,089919;22,906989;4,4;,742876;
2009-04-30;16;64,8;930,218472;20,462361;3,1;,605972;
2009-05-31;14;8,8;931,794892;18,164382;3,6;,570699;
2009-06-30;14;12,8;933,012361;16,516944;4,1;,585972;
2009-07-31;8;1,6;933,048925;17,603226;3,6;,620027;
2009-08-31;7;26,2;933,14422;18,123253;4,4;,968414;
2009-09-30;11;64,8;931,123611;22,060694;4,9;,945417;
2009-10-31;14;253,8;928,202874;22,383046;4,5;1,051149;
2009-11-30;13;169,6;927,844583;23,595;4,2;,841111;
2009-12-31;26;530,4;928,13078;22,254167;5;,810753;
2010-01-31;19;164,4;929,508429;23,434722;7;,726786;
2010-02-28;3;3,4;929,5875;23,785863;5,2;,930357;
2010-03-31;22;258,4;928,693952;22,875941;3,4;,85121;
2010-04-30;11;63;930,875972;20,378889;4,8;,78;
2010-05-31;17;58,6;930,931452;17,84543;5,2;,667876;
2010-06-30;12;3,8;934,620278;14,969167;4;,703056;
2010-07-31;6;1,4;935,100672;16,478763;4,1;,870968;
2010-08-31;2;,8;934,113149;16,302548;4,5;1,006516;
2010-09-30;5;74,8;931,835695;19,616111;4,3;1,158333;
2010-10-31;10;172;928,649731;21,949193;4,8;,873656;
2010-11-30;19;295;927,303472;21,714028;4,4;,546111;
2010-12-31;11;190;925,500672;23,399059;3,7;,565054;
2011-01-31;15;294,2;927,452688;22,932527;3,8;,659543;
2011-02-28;7;34,2;928,391816;23,926339;4,8;,77753;
2011-03-31;17;380;927,964284;22,307589;3,1;,487549;
2011-04-30;12;37,4;930,615332;21,038533;3,6;,602283;
2011-05-31;13;3,4;931,732527;17,925134;3;,441398;
2011-06-30;10;16,2;932,616389;16,196806;4,9;,557083;
2011-07-31;6;1,2;933,350672;16,010618;3,4;,584005;
2011-08-31;2;,6;932,479102;18,656621;4,9;,890077;
2011-09-30;2;,6;933,073056;19,501111;4,7;1,082361;
2011-10-31;18;174,6;929,111156;21,071371;5,6;,956586;
2011-11-30;18;405,2;928,772639;20,507222;5,5;,773472;
2011-12-31;24;790,8;927,836559;21,745564;4,6;,604704;
2012-01-31;19;394,4;928,907527;22,034274;5,3;,703226;
