Nome: ESPINOSA
Codigo Estacao: A543
Latitude: -14.91222222
Longitude: -42.80861111
Altitude: 565.36
Situacao: Operante
Data Inicial: 2007-11-13
Data Final: 2023-10-11
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2007-11-30;9;null;null;null;9,5;null;
2007-12-31;9;117,2;947,627688;25,307393;7,5;2,320699;
2008-01-31;10;82,4;947,654167;25,527554;8,2;2,510887;
2008-02-29;10;174,4;948,105431;25,4125;8,1;2,258937;
2008-03-31;10;108,4;948,207953;24,687816;7,3;1,990574;
2008-04-30;10;58,2;947,77468;24,670296;6,6;1,875296;
2008-05-31;null;0;950,517754;23,85093;7,8;2,084771;
2008-06-30;2;,4;952,794569;22,494973;7,2;2,717465;
2008-07-31;1;,8;954,054973;21,662903;8,2;2,761962;
2008-08-31;0;0;951,649059;23,99207;7,8;3,122984;
2008-09-30;4;12;950,837083;25,735139;8,8;3,215;
2008-10-31;0;0;949,723925;27,822446;9,1;3,812903;
2008-11-30;16;164,6;947,511806;25,660694;8,4;2,091667;
2008-12-31;15;116;947,397984;24,454839;6,5;1,956855;
2009-01-31;12;151,4;948,454658;24,943934;6,8;1,89311;
2009-02-28;3;17,2;947,914435;26,373512;6,9;2,288244;
2009-03-31;12;176,4;947,1375;26,413844;7,1;1,947715;
2009-04-30;12;70,2;949,387083;24,173472;5,8;1,575417;
2009-05-31;5;13,2;950,977688;22,807124;6,4;1,952285;
2009-06-30;1;8;952,283889;22,773889;8,1;2,195833;
2009-07-31;1;,2;952,651882;23,204301;7,9;2,5375;
2009-08-31;0;0;952,200538;24,25;8,4;3,107527;
2009-09-30;2;10,2;950,261174;27,154028;8,1;3,021452;
2009-10-31;11;192,8;947,444306;26,5625;7,6;2,485694;
2009-11-30;3;14,2;947,545417;26,164722;6,7;2,201944;
2009-12-31;11;132,4;948,214113;25,594489;7,4;2,063038;
2010-01-31;7;36,6;948,661962;26,317339;8,8;2,352957;
2010-02-28;7;52,4;948,462054;27,143601;7,6;2,694494;
2010-03-31;16;118;948,418385;25,372265;6,9;1,768478;
2010-04-30;3;21,8;949,647639;24,950833;7,1;2,144028;
2010-05-31;2;3,6;949,725807;25,595699;7,1;2,025941;
2010-06-30;0;0;953,325139;22,606667;7,8;2,399444;
2010-07-31;0;0;953,832124;23,116801;8,1;3,214382;
2010-08-31;0;0;953,37666;23,162938;8,4;3,049725;
2010-09-30;null;0;951,248737;24,833166;8,9;3,800739;
2010-10-31;7;20,8;947,818283;28,038801;7,8;3,058005;
2010-11-30;17;143,4;947,036389;25,634444;6,9;2,332083;
2010-12-31;14;115;945,824328;24,985887;8,1;1,798387;
2011-01-31;9;46,8;947,321909;25,115591;7,1;2,257124;
2011-02-28;4;30,2;947,746131;26,842113;6,7;2,707292;
2011-03-31;16;182;947,500548;24,650265;6;1,671323;
2011-04-30;6;98,8;949,472077;24,50462;6,8;2,129644;
2011-05-31;2;3;950,710484;23,109274;6,3;2,180242;
2011-06-30;0;0;951,871806;22,569861;7,5;2,299167;
2011-07-31;0;0;952,637366;22,356048;7,7;2,780376;
2011-08-31;0;0;952,098527;24,409046;7,9;3,009677;
2011-09-30;0;0;952,665;24,488472;8,5;3,571111;
2011-10-31;10;77,6;948,218952;25,508737;8;2,81129;
2011-11-30;14;78,4;948,592083;24,145;6,5;2,549444;
2011-12-31;13;54,2;947,852554;25,107661;7,3;2,181989;
2012-01-31;6;107,6;948,648387;25,359946;6,8;2,620161;
2012-02-29;4;74;948,587644;26,554741;7,5;2,839368;
2012-03-31;5;28,8;948,624252;27,268174;6,8;2,761302;
2012-04-30;0;0;948,545833;27,713056;7,4;2,717778;
2012-05-31;3;3,6;951,163978;24,793548;7,6;2,559005;
2012-06-30;1;2,2;952,310586;24,884994;8,2;2,613641;
2012-07-31;0;0;952,855511;23,571505;8,6;2,967742;
2012-08-31;null;0;954,684428;23,172917;9,3;3,821256;
2012-09-30;1;,4;952,170417;26,166389;7,9;3,59375;
2012-10-31;1;,4;949,079839;27,419489;9,1;4,023925;
2012-11-30;21;229,8;947,593016;24,488481;10,5;1,678926;
2012-12-31;2;32,4;947,335753;26,845296;7,1;2,160081;
2013-01-31;11;68,8;948,370027;26,412097;7,3;2,160215;
2013-02-28;2;1;948,249702;27,806399;7,5;3,151637;
2013-03-31;null;null;null;null;6,6;null;
2013-04-30;null;null;null;null;6,1;null;
2013-05-31;1;null;null;25,319167;7,5;null;
2013-06-30;0;0;952,105581;24,413119;7,8;2,359154;
2013-07-31;0;0;953,208871;24,049866;7;2,69543;
2013-08-31;0;0;952,48078;24,285215;8,1;3,272446;
2013-09-30;0;0;951,191806;26,304722;7,8;3,678333;
2013-10-31;9;37,8;949,842876;26,326747;7,8;3,306183;
2013-11-30;12;93,2;947,665139;26,622778;8,2;2,914306;
2013-12-31;21;398,8;947,392204;24,179032;5,9;1,543817;
2014-01-31;3;9;949,645699;25,68535;7,6;2,675;
2014-02-28;2;4;948,792411;26,504911;7,3;3,10506;
2014-03-31;5;26,2;949,124328;26,457661;6,9;2,555511;
2014-04-30;7;35,8;949,471528;26,067083;7,4;1,908333;
2014-05-31;3;10,4;950,632796;24,977957;6,6;2,174597;
2014-06-30;3;,8;952,622529;23,647951;8,6;2,468176;
2014-07-31;null;null;954,625668;23,290224;8,2;2,869934;
2014-08-31;null;null;null;null;7,6;null;
2014-09-30;1;null;null;null;8;null;
2014-10-31;3;28,6;950,427554;26,622312;7,6;3,488978;
2014-11-30;8;130,2;948,334583;26,045278;6,7;2,686945;
2014-12-31;10;74;949,099866;25,55457;6,8;2,492876;
2015-01-31;1;,4;949,672177;27,297984;7,8;2,968548;
2015-02-28;5;57;949,502232;26,254167;9,7;2,629464;
