Nome: AGUAS VERMELHAS
Codigo Estacao: A549
Latitude: -15.751536
Longitude: -41.457787
Altitude: 754.07
Situacao: Operante
Data Inicial: 2007-09-08
Data Final: 2023-10-11
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2007-09-30;4;null;null;19,985417;7,8;null;
2007-10-31;1;,4;929,988406;22,241637;7,6;3,263856;
2007-11-30;11;null;927,397685;23,267628;7,4;3,012994;
2007-12-31;10;116,6;927,793548;22,576613;8,4;2,222043;
2008-01-31;12;78,8;927,937097;22,188038;7,9;2,000134;
2008-02-29;12;138,6;928,245402;22,499569;11,5;1,718103;
2008-03-31;18;71,6;928,268011;21,899866;6,1;1,648387;
2008-04-30;4;6;927,819167;22,1425;6,1;1,403055;
2008-05-31;3;,6;930,697563;19,278331;6,9;1,424205;
2008-06-30;13;12,4;932,950102;18,085409;6,7;1,877926;
2008-07-31;8;14,2;934,252016;16,234005;7,4;1,91922;
2008-08-31;2;1,2;932,042742;18,71828;7;2,312634;
2008-09-30;3;17,8;931,571667;20,651667;7,2;2,549167;
2008-10-31;6;3,6;930,65;22,617204;8,2;3,029839;
2008-11-30;20;172;927,781504;22,712548;8,3;2,188098;
2008-12-31;14;186,4;927,416532;22,215995;8;2,183871;
2009-01-31;19;204,2;928,539306;22,470103;9,1;1,869489;
2009-02-28;3;14;928,356548;23,063542;8,2;2,024703;
2009-03-31;5;13,6;927,315591;23,556183;6,7;1,601075;
2009-04-30;20;85;929,392361;21,625278;6,6;1,59375;
2009-05-31;13;15,2;931,100403;19,197446;7,2;1,586425;
2009-06-30;8;8,2;932,416667;18,76375;6,7;1,57;
2009-07-31;6;4,6;932,910887;18,320699;6,7;1,709005;
2009-08-31;10;16,2;932,803629;19,244355;6,8;2,347043;
2009-09-30;4;8,4;931,223889;22,119167;8,4;2,74625;
2009-10-31;10;207,4;927,897126;22,886638;8,7;2,486494;
2009-11-30;5;55,8;928,076111;22,690556;6,9;2,170694;
2009-12-31;10;57,2;928,30457;22,961694;7,5;2,028898;
